,KO_none,KO_node_1,KO_node_10,KO_node_11,KO_node_12,KO_node_13,KO_node_14,KO_node_15,KO_node_16,KO_node_17,KO_node_18,KO_node_2,KO_node_3,KO_node_4,KO_node_5,KO_node_6,KO_node_7,KO_node_8,KO_node_9
node_18,16.813970590085102,0.17821190834095776,17.384215053969825,16.63879703343647,16.89881539996494,16.34387371727212,15.755526268050662,16.463338468094868,16.496310926564263,16.47954330207652,0.0,17.230437575693372,16.628288623818026,16.612286015835586,16.52039767561645,16.622609068578985,15.7669402266778,16.657559773138484,0.35909236728306787
node_19,18.19019592864494,0.0687921290915721,-4.488436584696685,31.041798168826826,17.159614533949444,18.024611703763945,16.444777047851918,17.058315433936112,17.627022683159733,17.379202307695635,3.135159374263323,31.240884148421102,16.881790305706183,16.868388317815523,16.43850283698449,17.328911009975158,16.829870573534766,16.871070975434673,2.2899563393359856
node_2,28.673517310426895,0.3547336922998538,30.419347802197425,29.438155129414938,28.9200397010166,29.02840572057705,29.995550921851738,29.64957757850673,28.629286771812826,30.510401856548512,28.92310322122053,0.0,29.70665843204337,29.525211015796714,28.708663291448534,29.847243774488547,29.522737152552317,29.14545805221155,29.794666061452045
node_3,-25.12741768950728,0.14894301359443607,-26.245595528702392,-25.936358381129143,-24.963286492664462,-25.77208360251491,-25.449741874940614,-25.36289963937325,-25.639837152113774,-25.929421288364328,-25.297089482142102,-26.567159790375122,0.0,-25.518773452136216,-25.339923267220488,-25.489096687533383,-26.30071650437115,-25.049917931168363,-25.28273374107653
node_4,-15.609285918890116,0.3007830703696619,-17.02755217594215,-16.506518260951704,-16.308876875365783,-16.493944096369347,-16.60236187568626,-16.51972815728559,-15.732602737029874,-16.797211592447475,-15.947959592930275,-16.43985823888344,-15.93050125616381,0.0,-16.13823643123636,-16.14626162901326,-16.423760722944106,-16.66674988112467,-15.93531278759242
node_5,-7.807049946835259,-0.13243981082412007,-8.839678896876448,-8.616018871000925,-8.223568652371288,-8.251356130762899,-8.777570457223986,-7.989891255146199,-8.154687686317823,-8.293634425601672,-7.599712852748147,-8.513026473930502,-8.308383579846243,-8.522888482103474,0.0,-8.127740150085584,-8.57169543031746,-8.383990864422614,-8.715360206789105
node_6,-13.557358670286957,-0.2597990491478151,-13.669626982908564,-13.314062992851435,-13.735029554857869,-14.285243858005497,-14.11357849428682,-13.744642258439974,-13.67942992730092,-13.455741729507217,-13.38348390625688,-13.407324842512445,-13.603010061686827,-13.448359247506328,-13.81446375864178,0.0,-13.85531355217357,-13.281238473136487,-13.041635561573752
node_7,-5.396673472289337,0.0011460998473235074,-6.088807501653918,-5.793520128723604,-6.000718937651713,-6.023838589898662,-5.705588065100103,-5.5151936533603125,-5.896486788436193,-5.513472260762582,-5.944299346781003,-5.889951388175303,-5.438269875549776,-5.533202826143917,-5.8926456160842795,-4.928649690753662,0.0,-5.447826260289185,-5.2399217108098854
node_8,-12.71257655826441,0.3308138009327318,-11.947167796596132,-12.323321052091693,-12.048891819639309,-12.461666845241368,-12.451460234183815,-11.79431663042629,-11.767476908321285,-12.476338556303544,-12.504409442878107,-12.101009381145138,-12.681971924356283,-13.177051184881872,-11.605855236263398,-11.898657990028823,-11.845364581582373,0.0,-12.231718869143752
node_9,26.25628067789923,-0.006055826117095642,26.65273630682244,26.840804578740794,26.481740481155885,26.75589963895613,26.99954032708563,26.771731065500404,26.176241141342047,26.50448524271738,26.433929750677493,27.024842844630367,26.67093407503129,26.57157326823636,27.142113446627196,25.98307803202222,26.659087386598557,26.41147381341399,0.0
