Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median,meta_r,meta_p,meta_fdr
Eif2s2_B3<==>Nars_B3,0.0936459642334688,0.6309523809523809,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Eif2s2_B5<==>Rpl17_B5,0.028683944153193,-0.7619047619047619,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Rbm39_B3<==>Sh3glb1_B3,0.0936459642334688,0.6309523809523809,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Scand1_M0<==>Igha_M0,0.1292448816497496,-0.5833333333333333,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Rps21_T2<==>Rps29_T2,0.0070129302935945,0.8571428571428572,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rps21_T2<==>Rps29_T6_2,0.1017330374542646,0.6190476190476191,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rps21_T2<==>Rps28_T2,0.0149026676862301,0.8095238095238095,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rps21_T2<==>mt-Co2_B3,0.1025443485757329,-0.6190476190476191,0.1,-0.8999999999999999,0.1,-0.8999999999999999,-0.9908737765092546,0.00020930700090816606,0.0002441915010595271
Ccnl1_M3<==>Bhlhe40_T5,0.1827207505397149,0.5238095238095238,0.1,0.8999999999999999,0.1,0.8999999999999999,0.8996625780029758,0.0007620338165380616,0.0007902572912246565
Rps3a1_B5<==>Rps3a1_T5,0.1195298061387926,0.5952380952380952,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_B1<==>Rps27_T1,0.041540496668514,0.7261904761904763,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_B2<==>Rpl6_B2,0.1122594240866899,0.6071428571428572,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_B2<==>Rpl39_B2,0.1106314217965286,0.6071428571428572,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_B3<==>Rps27_T1,0.0782732726668304,0.6547619047619048,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rps27_T2<==>Rpl6_B2,0.0465282322841672,0.7142857142857143,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Rps27_T2<==>Rps28_T1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_T2<==>Rpl39_B1,0.1049738057408471,0.6190476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9908737765092546,0.00020930700090816606,0.0002441915010595271
Rps27_T2<==>Rpl39_B5,0.1835284462694483,0.5238095238095238,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Ctss_M5<==>Lamp1_M5,0.1600256425388966,0.5476190476190477,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps20_B3<==>Rpl32_B3,0.0125391039048434,0.8214285714285714,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Rps20_B3<==>Rpl18a_B3,0.0465282322841672,0.7142857142857143,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rps20_M1<==>Rps23_M1,0.015495333688491,0.8095238095238095,0.0,1.0,0.0,1.0,inf,0.0,0.0
Sfpq_M1<==>Fosb_B3,0.0322788501029663,-0.75,0.1,-0.8999999999999999,0.1,-0.8999999999999999,-1.1512637941903578,1.650096237812061e-05,2.200128317082748e-05
Cd52_B0<==>Rpl5_B1,0.1608403538502108,-0.5476190476190477,0.1,-0.8999999999999999,0.1,-0.8999999999999999,-0.9211331968712488,0.0005677623217342359,0.000605613143183185
Clic4_B3<==>Lcp1_T7,0.1729956035803533,-0.5357142857142857,0.1,-0.7999999999999998,0.1,-0.8999999999999999,-0.8569293898664281,0.0013443682702945822,0.0013564796961530918
Rpl11_B2<==>Rpl4_B2,0.1713731965393057,0.5357142857142858,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9103018471400153,0.0006591309339314898,0.0006964402320785553
Rpl11_B2<==>Rpl17_B2,0.0587579433025774,0.6904761904761905,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl11_T5<==>Rpl13_T5,0.1025443485757329,0.5357142857142857,0.0,1.0,0.0,1.0,inf,0.0,0.0
C1qb_M0<==>C1qc_M0,0.0005616841036436,0.9404761904761904,0.0,1.0,0.0,1.0,inf,0.0,0.0
C1qb_M0<==>C1qa_M0,0.0065300172547153,0.8571428571428571,0.0,1.0,0.0,1.0,inf,0.0,0.0
C1qb_M5<==>C1qc_M5,0.028351886203812,0.7738095238095238,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Capzb_M0<==>Cox7a2_M0,0.0782732726668304,0.6547619047619048,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Fgl2_M0<==>Ldha_M0,0.1494927998498016,0.5595238095238095,0.0,1.0,0.0,1.0,inf,0.0,0.0
Fgl2_M0<==>Tma7_T4,0.134139820776194,0.5833333333333334,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9549001605865449,0.00035303714779238716,0.0003838850539101706
Selplg_T3<==>Pafah1b1_T3,0.1017330374542646,0.6190476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9908737765092546,0.00020930700090816606,0.0002441915010595271
Rpl6_B1<==>Rps28_T2,0.0038503204637324,0.8809523809523809,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rpl6_B2<==>Rps29_T1,0.0982892017958787,0.6428571428571429,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Rpl6_B2<==>Rps29_T2,0.0936459642334688,0.6309523809523809,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Rpl6_B2<==>Rps28_T1,0.0863603458876261,0.6428571428571428,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl6_B2<==>Rpl39_B2,0.015495333688491,0.8095238095238095,0.0,1.0,0.0,1.0,inf,0.0,0.0
Gimap6_T5<==>Smchd1_B3,0.0936459642334688,-0.6309523809523809,0.1,-0.8999999999999999,0.1,-0.8999999999999999,-1.00343351385425,0.0001736847808812083,0.00020916876837306803
Igkv15-103_B2<==>Ighv1-77_B2,0.1206053524752623,0.6006935374610932,0.0917517095361369,0.9082482904638632,0.11741006051088,0.8825899394891199,0.9603596718550121,0.0003264700825957791,0.00036933989142148746
Igkv12-44_B4<==>Ighv1-67_B0,0.1681763952579898,0.5406013440558048,0.0,1.0,0.1835034190722738,0.8164965809277261,inf,0.0,0.0
Igkv12-41_B3<==>Ighv8-5_B3,0.1579768704907498,0.5520483429327427,0.0917517095361369,0.9082482904638632,0.1835034190722738,0.8164965809277261,0.8618148034586864,0.0012614186236829673,0.0012843535077499304
