variable,p_val,avg_log2FC,p_val_adj
Eif3k_B5,0.0376191530113233,-0.2094731071926339,0.1398381237652155
Napsa_B5,0.0401454534659647,-0.2993917310563062,0.1430181779724992
Rps11_B5,0.015860919266492,-0.0393011069144984,0.0847567873303166
Cd37_B5,0.004096213384139,-0.2607124748664211,0.0382064993829692
Ftl1_B5,0.0073033261887751,0.1649614678882615,0.0535229476405946
Rps13_B5,1.5876796062554575e-05,0.0983031068117684,0.0027149321266968
Rps15a_B5,0.038707628800508,0.0274394437120495,0.1398381237652155
Coro1a_B5,0.0181755328890937,-0.2956471786697366,0.0961242100217017
Irs2_B5,0.0392705514701251,-1.1494975965824992,0.1408796706585607
Hmgb2_B5,0.0583492399385958,-0.3014173915268424,0.1709050276518493
Jund_B5,0.0010374103461443,-0.5431373972487457,0.0181900452488678
Ifi30_B5,0.0002219962051443,-0.6928708823874374,0.0094903377699188
Cox4i1_B5,0.015860919266492,0.0946729566730613,0.0847567873303166
Irf8_B5,0.038707628800508,-0.3255692065073282,0.1398381237652155
Rpl13_B5,0.2082876875446535,0.0212478895478433,0.3957466063348416
Sept7_B5,0.0473446058585377,0.151991251039968,0.157019177865158
Ets1_B5,0.022796347982707,-0.4240363203085195,0.1063138774102608
Hspa8_B5,0.0029848376597602,0.2328618317340937,0.0319004524886871
Cox5a_B5,0.0021592442645074,0.2637979057264171,0.0257602862254022
Rplp1_B5,0.0573787409700722,-0.0291551391394957,0.1709050276518493
Dennd4a_B5,0.004096213384139,-0.3231532208496109,0.0382064993829692
Rps27l_B5,0.0267227434121398,0.8392453263029389,0.1161759946646416
Eef1a1_B5,3.175359212510915e-05,-0.0907369700980482,0.0027149321266968
Syncrip_B5,0.0267227434121398,0.629962883477982,0.1161759946646416
Bcl2a1b_B5,0.0021592442645074,0.2207228149744425,0.0257602862254022
Rpl29_B5,0.0119351084161146,-1.4322813736636817,0.0731159307224214
Gnai2_B5,0.0211509943557161,-2.559337322870607,0.1023628311743618
Shisa5_B5,0.0001905215527506,-0.4204277655256362,0.0088852324146416
Srgn_B5,0.038707628800508,0.0900053830780405,0.1398381237652155
Ddx21_B5,0.0278317489826975,0.2760934673051055,0.1179974151084613
Mif_B5,0.015860919266492,0.2071817964441822,0.0847567873303166
Rps15_B5,0.0690958164642375,-0.0930001995420229,0.1899709549246175
Eef2_B5,0.3053901722632373,-0.0621825839368734,0.5136562569542319
Slc25a3_B5,0.0252441057394617,0.2153137267336896,0.1116398814167573
Snrpf_B5,0.0013430421695079,0.5325860089379079,0.0217194570135741
Btg1_B5,0.6784313725490196,-0.0171672428200495,0.7377368862972506
Llph_B5,0.0038003384534461,0.2797928510307317,0.0382064993829692
Ptges3_B5,0.038707628800508,0.1757984892309202,0.1398381237652155
Ppia_B5,0.0021592442645074,0.1619378068429064,0.0257602862254022
Rel_B5,0.038707628800508,0.0707399994601462,0.1398381237652155
Rps27a_B5,0.0201317774073192,0.0363710006147681,0.0983581124757595
Npm1_B5,6.35071842502183e-05,0.2083871710832571,0.0040723981900452
Hnrnpab_B5,0.007750865708345,0.2037675394650136,0.0544684124435751
Ube2b_B5,0.0201317774073192,0.1966046407590611,0.0983581124757595
2410006H16Rik_B5,0.0007205978134571,-0.8816214949063805,0.0147866671321396
Rpl26_B5,0.7344923394458999,0.0064721545145514,0.7550993389493921
Eif4a1_B5,0.0001905215527506,0.3082361890610221,0.0088852324146416
