Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median
Atp2b1_M2<==>Retnlg_M2,0.1871350319777904,-0.5193944082161126,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Lyz2_T0<==>Rpl39_B2,0.1828994038727547,-0.5269555552418339,0.0,-1.0,0.1,-0.8999999999999999
Lyz2_T0<==>mt-Nd3_B1,0.1549836702017178,-0.5546747837893219,0.0,-1.0,0.1,-0.8999999999999999
Rpl41_M5<==>Rpl39_M5,0.0936459642334688,0.6309523809523809,0.0,1.0,0.0,1.0
Rel_M5<==>Rpl39_B2,0.1835284462694483,0.4880952380952381,0.0,1.0,0.1,0.8999999999999999
Rps27a_T5<==>Rpl17_T5,0.1762326703944453,0.5357142857142857,0.0,1.0,0.1,0.8999999999999999
Rack1_B1<==>Rpl36_T5,0.1422268939969897,0.5714285714285714,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Irf1_M4<==>Calm1_B2,0.1122594240866899,0.6071428571428572,0.0,1.0,0.1,0.8999999999999999
Rpl19_M1<==>Ssr4_M1,0.028683944153193,0.7619047619047619,0.1,0.8999999999999999,0.1,0.8999999999999999
Limd2_M3<==>Atp5md_M3,0.0244100332032985,-0.7738095238095237,0.0,-1.0,0.1,0.8999999999999999
Smc6_M7<==>Etf1_M0,0.1017330374542646,-0.6190476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999
Pdia6_M0<==>Rpl3_T5,0.1017330374542646,-0.6190476190476191,0.0,-1.0,0.1,-0.8999999999999999
Dnajb9_B3<==>Pcsk5_O7,0.1106314217965286,0.6071428571428572,0.0,-1.0,0.1256583509747431,0.8743416490252568
Nfkbia_M4<==>Calm2_B1,0.1948760002698574,-0.5119047619047619,0.0,1.0,0.1,0.8999999999999999
Rps29_T1<==>Sub1_T1,0.0587579433025774,-0.6904761904761905,0.1,0.8999999999999999,0.1,0.8999999999999999
Rps29_T1<==>Rps28_T1,0.0070129302935945,0.8571428571428572,0.0,1.0,0.0,1.0
