celltype,gene,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_FCmedian,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_sign,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_expr_Salmonella_infNonTLSwk3,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_expr_IL10_KOnonTLS,Salmonella_infTLSwk6_vs_IL10_KOTLS_FCmedian,Salmonella_infTLSwk6_vs_IL10_KOTLS_sign,Salmonella_infTLSwk6_vs_IL10_KOTLS_expr_Salmonella_infTLSwk6,Salmonella_infTLSwk6_vs_IL10_KOTLS_expr_IL10_KOTLS,Salmonella_infTLSwk3_vs_IL10_KOTLS_FCmedian,Salmonella_infTLSwk3_vs_IL10_KOTLS_sign,Salmonella_infTLSwk3_vs_IL10_KOTLS_expr_Salmonella_infTLSwk3,Salmonella_infTLSwk3_vs_IL10_KOTLS_expr_IL10_KOTLS,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_FCmedian,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_sign,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_expr_Salmonella_infNonTLSwk6,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_expr_IL10_KOnonTLS
B0,Neurl3,-0.3855996181916518,negative,0.82893194421781,0.616816600864875,30.21811877468876,positive,0.0,1.2587000861325888,30.221168811876005,positive,0.0,1.257723419289044,-0.1211819360530497,negative,0.7207801777314224,0.6176648489736275
B0,Ighd,-0.1347532545854634,negative,1.65759755480314,1.506990348823397,-0.0577427826670563,negative,1.6482470025244325,1.58540191124307,0.0265085672390695,positive,1.5586579925557351,1.58470605634387,-0.1207569156195738,negative,1.64673387091928,1.5060545713906688
B0,Satb1,-0.0401934187432555,negative,2.098850616922375,2.0430847152111675,0.0287226350980237,positive,2.046299115258157,2.089395667416848,0.1076158592259558,positive,1.9316810127270951,2.089135228724384,-0.0786915783680544,negative,2.1556474751642627,2.0408634578157074
B0,Scd1,0.3436102136105748,positive,1.18100702950466,1.5069923503459826,0.0573440585227114,positive,1.44517793309778,1.50229149132361,0.131425377197027,positive,1.3722440765759152,1.502492997243816,-0.1520861039125796,negative,1.672837859991315,1.5073792707752451
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,Samhd1,-30.463345300432135,negative,1.487437143027173,0.0,0.0,zero,0.0,0.0,-30.354099735287143,negative,1.3726956832468873,0.0,-30.200395146273834,negative,1.2532567986833687,0.0
B2,Ighd,-0.3036489741521365,negative,2.061363093238625,1.6691552890589887,0.0023517388441967,positive,1.6553147979022276,1.65451095387364,-0.1730276729694322,negative,1.8655350734301488,1.6529958198333723,-0.0912574577467284,negative,1.77533745828718,1.66425901735378
B2,BE692007,-0.253926369990199,negative,1.959086540942325,1.642253885099445,-0.3905962141373696,negative,2.052162250077735,1.5669380413560323,-0.3434443136649336,negative,1.994940796453411,1.569046702092355,-0.1835462042421868,negative,1.86721045919429,1.642253885099445
B2,Gm8369,0.1390490916474138,positive,1.42432271493399,1.5685206326967651,0.0173339337341794,positive,1.2800795136434775,1.2976458238452864,-0.0651116248107448,negative,1.3534809069938525,1.2981123743230576,0.1917071098042904,positive,1.371932756691965,1.56706012935928
B2,Stat1,-0.3368122225995418,negative,1.4704173409437338,1.1669214573158486,-30.152784859295743,negative,1.2215391520047825,0.0,-30.37761747308813,negative,1.4063702195933336,0.0,-0.2009146573196554,negative,1.338228307993405,1.1705858336052026
B2,Malt1,-0.0239347974887352,negative,1.4655898280024875,1.4411212554694002,-0.0541256119273774,negative,1.4011867099481583,1.34894257205501,-0.0350676923425472,negative,1.3877901485101771,1.3493971157859088,-0.0629686657734769,negative,1.5000429542975624,1.4429844233429088
B2,Pax5,-29.95761835989783,negative,1.0426586725052405,0.0,-29.027793811619368,negative,0.54731410982662,0.0,-29.731669035886465,negative,0.8915058738740457,0.0,0.0,zero,0.0,0.0
B2,H2-Oa,-0.0878684025353304,negative,1.3297426689643863,1.252989504428835,-0.355154427144846,negative,1.3831104954072162,1.0817075697585,-0.3029619046941225,negative,1.3389949320039476,1.0849528904100527,-0.0912238330350922,negative,1.3296285707354538,1.2533778555562325
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B2,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B3,Prg2,-1.065277283481807,negative,1.0786463317726565,0.5160623461589929,-1.4190516989188633,negative,1.0451087632565237,0.4019462230589972,-1.511112098159485,negative,1.1298068300645552,0.402869445996583,-1.200264769601378,negative,1.1874010244384825,0.5170486588039417
