gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Jones1B	Jones2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845028356	CA6	0	0	0	0	3.999999733384	0	1.99999970032385	8.99999980327853	0	0	0	1.00000019982937	1.00000017527179	2.99999983007951	1.00000032005667	0	0	6.99999955487764	0	1.00000009130656	0	1.26652892185125	0	0	0	0	0	1.99999950350062	0	0	0	0	1.00000021743588	3.99999998543695	0.99999979240271	0.999999635681691	2.00000026250384	3.99999979680544	0	4.00000099321135	0	1.00000006858071	0	3.00000000581457	0	0	0	2.99999984752011	0	2.00000008042774	0.999999846341476	0	0	3.99999909640655	0	0	2.99999952069169	0.9999998073708	0	34.0000001518959	1.00000015840439	0	0.999999514371679	0	6.00000029556766	3.00000007791713	0	8.00000012698433	0	0.999999843435983	0	0	6.99999918460875	1.99999947924813	0.999999776329456	8.99999965957679	0	1.00000003407187	3.99999917996595	14.9999996681974	0.999999882805096	0	4.99999967386433	0.999999933777816
ENSCAFG00845028357	SIRT3	4.99999947451674	0	6.99999985578683	5.99999947173873	10.000000002748	0	15.9999980999148	19.0000004534771	0	4.99999994278351	0	1.00000019982937	2.00000035054357	14.0000000550564	5.00000032663528	14.0000003083727	17.9999996834638	48.0000000998774	0	4.99999974972877	0	2.00000019544485	1.99999967142231	0	0	1.99999987675162	0	0	0	0	4.9999998753674	0	0	3.00000017631821	1.99999958480542	10.9999997467386	7.99999960445742	8.9999989844073	1.99999922586881	13.9999991161814	1.99999978420008	2.99999967247615	1.99999954114826	7.00000001356733	15.9999998063774	0	0.999999428213352	4.00000000064214	0	5.99999967720124	9.99999940080271	7.00000008345849	9.99999959132456	11.9999997808496	1.99999984633495	0	1.99999931215117	7.99999948376636	0	16.9999994100624	2.99999953787722	0	44.9999988027512	0	21.0000004342713	6.99999950746367	7.99999911646825	11.999999929198	2.9999994798956	5.99999976493687	2.00000003078653	0.999999315535338	0	2.99999932137617	3.99999939670977	6.99999965323661	2.00000004666241	2.9999997795626	9.99999959356976	28.9999996200859	0.999999882805096	10.0000002135839	13.9999997888441	0
ENSCAFG00845028358	ENSCAFG00845028358	0	0	0	0	0	0	1.0000000988239	0.999999543753054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99999986519816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99999843858205	0	0	0	0	0	0	1.00000002597238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845028359	ENSCAFG00845028359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999893116342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999637120093	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845028360	USP19	2.99999990629242	0.999999747462977	8.53070329366864	1.08769278044439	13.999999736132	0	1.99999970032385	20.7940027182633	0	2.0000002640334	6.99999966258688	7.99999939872307	10.1645546681563	11.999999320318	16.0000000263144	10.0000002202662	0.999999563490167	48.7336956871231	0	1.20801710469386	0	3.45154530309583	0	0	0	0.999999938375811	0	0.999999751750309	0	0	16.3207562143707	0	5.99999944487635	9.02049662257515	0	8.00000008884552	4.99999993348063	5.99999969520816	2.73348640266748	12.0000004881721	0.999999892100041	1.00000006858071	0	5.23394341185758	13.9999998305802	0	0	0	0	9.45625413141766	4.99999970040136	20.4602866706582	9.55375183462787	10.9999990723867	0.999999923167474	0	4.99999883284285	2.99999993451238	0.999999225721021	33.0814737053815	1.00000015840439	3.99999916387582	23.9999998204901	1.99999955990134	23.9840966717682	6.99999950746367	4.07756420272944	13.6072154216124	2.99999938812962	2.99999953030795	0	0	1.1155178786251	0	2.99999962038032	20.9502809326444	5.24997753018162	4.99999984770633	4.29254147822003	19.459315447782	7.00000044208166	11.0000000097307	29.1445198076754	5.49989558829155
ENSCAFG00845028361	GOLGA4	7.99999919615718	5.99999866091683	106.999994170293	83.9999926043422	151.327926331023	0	139.361698546495	423.000006392095	0	92.0000006687365	11.9999987240068	59.9999971403569	32.9999967635688	159.000001170438	272.000014457474	107.046961909028	110.999995953404	77.0310714710118	0	40.0000001182422	48.0000011699104	59.000001962486	48.9999960947003	8.99999957777464	123.999982343961	37.014711236188	13.9169902265749	24.9999980588274	15.9999950186077	14.9999673496827	20.9999986818731	5.99999919118896	30.9999986816436	35.9260645888793	16.9999978664789	82.0000001598186	73.9999974253996	175.99998212496	138.999987116638	462.992956682703	7.9999994171073	205.999985864529	0.999999770574128	120.999997486809	38.9999995280449	0	16.9999900868831	77.9999972592148	13.9999997391571	28.9999994739563	97.9999947840382	23.9999991774234	9.99999959132456	475.993987309529	8.99999986866525	20.9999973167172	110.999987790242	95.9999968795963	0	166.99999882676	25.9999989631664	0	342.99999523502	6.99999845965469	38.0000002713539	76.9999945821004	161.999982217485	116.999999048402	43.9999918517949	100.999996864812	12.0000001847192	0	74.999988801197	21.9999940667215	117.999980308891	128.000000405771	88.999999338016	22.9999994930409	45.999996158035	11.9999995383797	81.9999992271398	109.990895354911	154.184345665124	9.99999933777816
ENSCAFG00845028362	ANO6	0.99999996876414	0	5.99999962346044	9.99999911956455	17.999999469516	0	4.9999994994716	30.0000006474288	0	4.9999999427835	1.999999474322	4.99999934921293	8.99999949581526	16.0000001537807	8.00000064998125	7.00000015418634	0	5.99999982860955	0	4.00000036522622	0	2.00000019544485	2.99999950713346	1.99999983244437	0	2.99999981512743	1.99999968938546	0	0	0	13.9999996510287	0	4.00000024983054	9.99999958911138	3.99999916961084	13.000000519798	16.9999993401668	9.99999893360866	8.99999915632939	40.9999992802705	0	9.99999908600915	0	6.00000001162914	15.9999998063774	0	0	4.00000000064214	0	15.0000000391261	3.99999985405988	20.9999994742715	19.5678478354959	42.9999980727139	0	0	0	2.99999993451238	0	31.9999984194925	3.99999969628161	2.99999947800985	50.9999993316523	1.99999955990134	44.0000005669215	6.99999950746367	9.99999900458781	13.0000000103907	0	50.9999976498029	4.00000006157306	0	3.99999986239124	0	5.99999894936869	19.9999993254938	2.00000004666241	2.00000006814373	7.99999967485581	6.99999997594425	5.00000004524848	10.0000002135839	39.9999985609546	1.99999986755563
ENSCAFG00845028363	ENSCAFG00845028363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999997822485314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845028364	ENSCAFG00845028364	0	0	0	0	0	0	1.0000000988239	0.999999543753054	0	0	0	0	0	0	2.00000000328931	0	0	0	0.999999783084425	0	0	0	0	0	0	0	0	0	0	0	0.99999997507348	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999987898586	0	0	0	0	0	0	1.99999980210129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999634216089	0	0	0	0	0	0	0	0
ENSCAFG00845028365	CA4	0	0	0	0	7.00000020271	0	1.0000000988239	2.00000039067312	0	0	0	0	0	0	4.00000064340264	12.0000002643194	0	5.00000010234146	0	1.00000009130656	0	0.999999805173415	1.99999967142231	0	0	1.99999987675162	1.99999968938546	0	0	0	10.9999997258083	0	0	5.99999960367443	0	3.00000040874107	13.0678684839057	4.9999997460068	14.9999981538957	3.01269941484955	1.99999978420008	1.00000006858071	0	4.00000000775276	13.9999998305802	0	0	0	0	0	1.00349442863868	1.99999980210129	0	4.0176448193209	1.99999984633495	0	0	4.99999954925398	0	1.0000002003162	1.00000015840439	0	9.99999973394472	0	12.0000005911353	2.99999940357417	2.99999961417435	0	0	6.99999960837285	0	0	0	0	0	6.99999965323661	2.00000004666241	0	3.0000002068019	6.99999997594425	0	0	9.00000011497978	0
