gene_cell,source,log2fc_median_LP
Arpc5_T3,DEG,0.0026106436461088
Arpc5l_B4,Signature,0.3884230053123138
Arpc5l_M4,DEG,-0.6726457676992443
Arpc5l_T5,DEG,-0.420098637887464
Arpp19_M1,DEG,-1.5071591903823238
Arpp19_M4,DEG,-0.2160313922595747
Arsb_M4,Signature,-0.2536588422830458
Asah1_M0,DEG,-0.4866409146276976
Asah1_M1,DEG,-0.2681191917943639
Asah1_M4,DEG,-0.6095091220127009
Asah1_M5,DEG,-0.7464573297614162
Asap1_M4,DEG,-0.6099663030746756
Asap2_M4,Signature,0.0641738704473575
Asf1b_T5,DEG;Signature,-2.292567106969684
Aspn_O7,DEG,0.2567467082248849
Atf3_O7,DEG,-0.7706592735935281
Atf4_B3,DEG,0.5483107282679769
Atf4_M1,DEG,0.3884946608550067
Atf4_M3,DEG,0.5014111531637536
Atf4_M4,DEG,0.3823176177415417
Atf4_M5,DEG,0.3027924674539992
Atf4_O10,DEG,0.4168444141547447
Atf4_O4,DEG,0.2453104401976908
Atf4_O7,DEG,0.393012121369952
Atf4_T5,DEG,0.3242801273998394
Atf6_B3,DEG,0.607964637697386
Atg3_M4,DEG,-0.7597161609307403
Atox1_M0,DEG,0.1291183993179256
Atox1_M1,DEG,0.0805047578430718
Atox1_M3,DEG,0.1141860482330411
Atox1_M4,DEG,0.1677820405102317
Atox1_M5,DEG,0.2160905851320336
Atox1_O7,DEG,-0.3452570008667889
Atp10b_O15,Signature,0.2303352727109837
Atp13a2_M0,Signature,
Atp1a1_M1,DEG,0.2214424831483323
Atp1a1_M3,DEG,0.4725775374797456
Atp1a1_M4,DEG,0.675457308580942
Atp1a1_M5,DEG,0.4276248383323964
Atp1b1_M7,DEG;Signature,-0.705018734953608
Atp1b3_M0,DEG,-0.249508383476295
Atp1b3_T6,Signature,0.0305169378883407
Atp2a2_M4,DEG,0.3533609185360314
Atp2a2_O7,DEG,-0.3078744674493833
Atp2b1_M4,DEG,0.2822102681979856
Atp2b1_O4,DEG,-0.3409661499705697
Atp2b1_T1,DEG,0.3007899189263102
Atp2b1_T2,DEG,0.3575477762760016
Atp2b1_T4,DEG,0.195474581209869
Atp2b1_T5,DEG,0.1507906277499425
Atp5a1_M0,DEG,-0.2982926618426246
Atp5a1_M1,DEG,-0.1887453305753501
Atp5a1_M3,DEG,-0.1539575422271227
Atp5a1_M4,DEG,-0.2293030498094718
Atp5a1_O10,DEG,-2.616821359867356
Atp5a1_T2,DEG,-1.6556248773635835
Atp5a1_T5,DEG,-0.237393576909433
Atp5b_M0,DEG,-0.4008731986224766
Atp5b_M3,DEG,-0.1359098380174511
Atp5b_M4,DEG,-0.1286266200906877
Atp5b_M5,DEG,-0.2728836438837153
Atp5b_O10,DEG,0.0728752139334118
Atp5c1_B1,DEG,-2.268065074567107
Atp5c1_M0,DEG,-0.5142403327512158
Atp5c1_M1,DEG,-0.2878655610986286
Atp5c1_M3,DEG,-0.3223879514273549
Atp5c1_M4,DEG,-0.1357574337367105
Atp5c1_M5,DEG,-0.3168456568672547
Atp5c1_T0,DEG,-0.9228612667530088
Atp5c1_T5,DEG,-0.1987118851223236
Atp5d_B3,DEG,0.0635924179529461
Atp5d_O7,DEG,-0.3173828975508084
Atp5d_T5,DEG,0.0926023056901458
Atp5f1_M0,DEG,-0.2907738081394148
Atp5f1_M3,DEG,-0.118634181041804
Atp5f1_M4,DEG,-0.1858799977988484
Atp5f1_T4,DEG,-0.2323710082484155
Atp5f1_T5,DEG,-0.1525773899159331
Atp5g1_B3,DEG,0.1489700505184768
Atp5g1_M3,DEG,-0.1494384118816019
Atp5g1_M4,DEG,-0.1278968481730873
Atp5g1_O4,DEG,-0.2957221575655681
Atp5g1_O7,DEG,-3.222613097796863
Atp5g1_T3,DEG,-1.402152926378206
Atp5g1_T5,DEG,-0.1233908855779103
Atp5g2_M0,DEG,-0.2165837191215163
Atp5g2_M1,DEG,-0.1320141407807815
Atp5g2_M3,DEG,-0.1489396537119824
Atp5g2_O7,DEG,-0.2432292493556805
Atp5g2_T2,DEG,-0.1753653414452801
Atp5g3_M0,DEG,-0.5705733676945013
Atp5h_B3,DEG,0.153969137693698
Atp5h_M3,DEG,0.0951191634880612
Atp5h_O7,DEG,-0.1756987040790563
Atp5h_T2,DEG,0.0421894474230297
Atp5j2_B3,DEG,0.0377988884390326
Atp5j2_M0,DEG,-0.1857235317218315
Atp5j2_M1,DEG,-0.1537211344621285
Atp5j2_M4,DEG,-0.1401471307759896
Atp5j2_O7,DEG,-0.2943020690508624
Atp5j2_T5,DEG,-0.1170550858895431
Atp5j_M0,DEG,-0.141307633925442
Atp5j_M5,DEG,-0.2907747178138199
Atp5j_O7,DEG,-0.1994703758697463
Atp5j_T4,DEG,-0.1255101912949872
Atp5k_M0,DEG,-0.440302615671453
Atp5l_B1,DEG,-0.1955744106216985
Atp5l_M0,DEG,-0.09932425139681
Atp5l_M1,DEG,-0.0972233386648971
Atp5l_M2,DEG,0.1426205013873812
Atp5l_M3,DEG,-0.0546675545907365
Atp5l_M4,DEG,-0.0862703535010834
Atp5l_M5,DEG,-0.0945001017917446
Atp5l_O10,DEG,-0.2066965317592882
Atp5l_O7,DEG,-0.1262716135101019
Atp5l_T2,DEG,-0.1210133080374536
Atp5l_T3,DEG,-0.1420096419371747
Atp5l_T4,DEG,-0.2601824403958025
Atp5md_B1,DEG,0.2974741389450116
Atp5md_M0,DEG,-0.3373134756188465
Atp5md_M3,DEG,0.106567772110739
Atp5md_T1,DEG,0.2534380648336403
Atp5md_T2,DEG,0.2622325829739991
Atp5md_T3,DEG,0.173656371300153
Atp5mpl_B1,DEG,-0.5541135576546861
Atp5mpl_M0,DEG,-0.3708228295934246
Atp5mpl_M1,DEG,-0.1601802025965174
Atp5mpl_M4,DEG,-0.194216548047678
Atp5mpl_O7,DEG,-1.241406777802473
Atp5mpl_T2,DEG,-1.5682333794655476
Atp5o_M0,DEG,-0.3363322240435915
Atp5o_M4,DEG,-0.2488348225105866
Atp6ap1_M1,DEG,-0.3300930926888048
Atp6ap2_M3,DEG,0.1134780362952596
Atp6ap2_M4,DEG,0.094030618275581
Atp6v0b_M0,DEG,-0.1238079730484918
Atp6v0c_B3,DEG,-0.0956271537076769
Atp6v0c_M0,DEG,-0.0713890124191296
Atp6v0c_M2,DEG,0.0963267862527854
Atp6v0c_M5,DEG,-0.244160624525124
Atp6v0d1_M0,DEG,-2.505301333362917
Atp6v0e_B3,DEG,0.2169565900595672
Atp6v0e_M0,DEG,-0.2085477167723587
Atp6v1a_M0,DEG,-2.4445819566356617
Atp6v1b2_M0,DEG,-2.241800819753445
Atp6v1e1_M0,DEG,-0.4011571346669993
Atp6v1e1_M5,DEG,-0.8907034371964031
Atp6v1f_B3,DEG,0.0747663109387158
Atp6v1f_M1,DEG,0.0940155092321825
Atp6v1f_O7,DEG,-0.2947288472245172
Atp6v1g1_M0,DEG,-0.3093943530083698
Atp6v1g1_M3,DEG,-0.2352545349756549
Atp6v1g1_M4,DEG,-0.1738841147992723
Atp6v1g1_M5,DEG,-0.3355316632716808
Atp6v1g1_O4,DEG,-0.3104546151346092
Atp6v1g1_O7,DEG,-0.8788828504790593
Atp6v1g1_T4,DEG,-2.3868413564105904
Atpif1_M1,DEG,-0.1684949639264015
Atpif1_M5,DEG,0.1005028144518643
Atrx_M1,DEG,-0.4888142666754708
Atrx_M3,DEG,-0.1800803691027395
Atrx_M4,DEG,-0.3309948085491306
Atrx_O4,DEG,-0.3077833779091679
