Difference_threshold,Permutation_FDR_cutoff,N_edges,N_nodes,N_valid_KO_p,KO_P_min,KO_P_1pct,KO_P_5pct,KO_P_10pct,KO_P_25pct,KO_P_median,KO_P_75pct,KO_P_90pct,KO_P_95pct,KO_P_99pct,KO_P_max,KO_FDR_min,KO_FDR_1pct,KO_FDR_5pct,KO_FDR_10pct,KO_FDR_25pct,KO_FDR_median,KO_FDR_75pct,KO_FDR_90pct,KO_FDR_95pct,KO_FDR_99pct,KO_FDR_max,N_KO_FDR_0.001,N_KO_FDR_0.005,N_KO_FDR_0.01,N_KO_FDR_0.05,N_KO_FDR_0.1,N_KO_FDR_0.2
0.52,0.0005,18525,5439,18525,0.0,0.008352778689086,0.0244100332032985,0.0372665857186195,0.0894231182201424,0.1339745962155613,0.1608403538502108,0.1762326703944453,0.1806487262216459,0.1905562066997805,0.2225288721578459,0.0,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.18940263911004693,0.19187160175635576,0.2225288721578459,4,4,4,4,4,18504
0.52,0.001,20040,5525,20040,0.0,0.008352778689086,0.0244100332032985,0.0372665857186195,0.0921553762378828,0.1339745962155613,0.1572247839425326,0.1753111160584365,0.17978311258036167,0.1905562066997805,0.2376426561588487,0.0,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.18899789677667922,0.19179078812031544,0.2376426561588487,4,4,4,4,4,20018
0.52,0.002,20826,5551,20826,0.0,0.008352778689086,0.02442365270803535,0.0378724891765138,0.0952587302298901,0.1339745962155613,0.1550351690317931,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.18876275249972024,0.1917439030163612,0.2376426561588487,4,4,4,4,4,20804
0.52,0.005,21451,5562,21451,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534968336337055,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.18853487847281677,0.19170908873074718,0.2376426561588487,5,5,5,5,5,21429
0.52,0.01,21456,5562,21456,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534816667471158,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.19170881844377974,0.2376426561588487,5,5,5,5,5,21434
0.52,0.02,21456,5562,21456,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534816667471158,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.19170881844377974,0.2376426561588487,5,5,5,5,5,21434
0.52,0.05,21456,5562,21456,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534816667471158,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.19170881844377974,0.2376426561588487,5,5,5,5,5,21434
0.52,0.1,21456,5562,21456,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534816667471158,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.19170881844377974,0.2376426561588487,5,5,5,5,5,21434
0.52,0.2,21456,5562,21456,0.0,0.008352778689086,0.0257277143695454,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1534816667471158,0.175087026451086,0.1795617565065983,0.1905562066997805,0.2376426561588487,0.0,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.18853275270223996,0.19170881844377974,0.2376426561588487,5,5,5,5,5,21434
0.53,0.0001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
