gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Jones1B	Jones2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845005581	ANXA6	19.998	16	42.999	69	82	2	15	278	0	56.999	23.001	13	53	159	165	74	41	168	0	41.494	5	20	47	0	12	14	0	12	4	0	114.001	3	8.001	45.999	7	37	33	32.999	50.999	125	26	55	6	141	78.001	0	0	23	0	77.999	96.999	53	87.999	131.001	26	11	10	53	1	190	22	11	460	6	174.001	29	109	192	25.002	124	35	0	85	13	91	53.001	53.031	9	184.001	121	46	47	161	14
ENSCAFG00845005582	ENSCAFG00845005582	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSCAFG00845005583	ENSCAFG00845005583	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005584	ENSCAFG00845005584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005585	ENSCAFG00845005585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005586	DNAJC25	0	2	2	9	28	0	4	38	0	12	0	9	4	22	8	31	15	17	0	5	0	2	3	0	7	2	0	0	0	0	6	0	4	10	1	24	8	11	2	31	0	16	2	7	11	0	0	11	0	9	10	3	2	33	0	0	10	6	0	20	0	0	22	0	19	7	17	21	2	15	2	0	6	6	7	12	8	9	0	3	8	4	25	4
ENSCAFG00845005587	ANAPC16	1	0	2	4	16	0	13	28	0	12	0	5	7	21	17	24	8	36	1	1	0	4	1	0	2	8	0	3	0	1	6	0	7	11	1	15	5	13	4	18	4	14	0	6	14	0	0	7	0	6	7	7	3	18	4	0	5	12	0	59	0	1	28	0	19	16	12	8	1	11.653	0	0	5	3	5	22	15	7	6	10	16	3	17	0
ENSCAFG00845005588	ENSCAFG00845005588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005589	ENSCAFG00845005589	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005590	ENSCAFG00845005590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00845005591	ENSCAFG00845005591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005592	CHST4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
ENSCAFG00845005593	ENSCAFG00845005593	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSCAFG00845005594	U1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845005595	SMIM8	0	0	1	0	0	0	1	13	0	0	0	2	2	8	0	4	1	7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	4	1	2	1	1	0	0	7	0	0	0	0	1	4	0	0	2	1	0	1	2	0	9	0	0	4	0	1	3	2	4	1	0	0	0	1	1	0	3	3	1	1	3	2	1	6	0
ENSCAFG00845005596	TRERF1	2	0	5	7	10	0	12	34.999	0	10	3	9	7	18	10	11	4	14	0	4	5	2	4	0	3	4	0	0	2	1	5.137	0	1	8	0	14	2	10	3	21	0	1	0	2	11	2	1	7	0	8	16	13	5	21	0	0	2	3	0	28	2	0	34	0	36.826	16	6	5	1	7.69	1.02	0	9	2	9	24	3	4	6.372	9	7	5	9	1
