Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median,meta_r,meta_p,meta_fdr
Rpl37a_T2<==>Rpl39_B2,0.0365527610528608,0.7380952380952381,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rpl39_B5,0.0782732726668304,0.6547619047619048,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>mt-Co2_T5,0.1511252783392538,-0.5595238095238095,0.0,-1.0,0.1,-0.8999999999999999,-inf,0.0,0.0
Arpc2_B1<==>Crip1_M1,0.1534664998605261,-0.5833333333333334,0.2000000000000001,-0.7999999999999998,0.1,-0.8999999999999999,-0.9015277033129578,0.0007429786058081397,0.0011079296969811027
Arpc2_M0<==>Itgb2_M0,0.0372665857186195,0.7380952380952381,0.0,1.0,0.2000000000000001,0.7999999999999998,inf,0.0,0.0
Arpc2_M3<==>Gns_M4,0.1195298061387926,0.5952380952380952,0.1,0.8999999999999999,0.2000000000000001,0.7999999999999998,0.8865666131555101,0.0009091522320965006,0.0012867576010841893
Slc11a1_M1<==>Gm42418_B2,0.1608403538502108,-0.5476190476190477,0.1,-0.8999999999999999,0.2000000000000001,0.3999999999999999,-0.5148756783476443,0.054043420747059014,0.05678519519307666
Sp110_M4<==>Dut_B4,0.0709876543209876,0.6666666666666666,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Sp110_M4<==>Uqcrh_M1,0.1106314217965286,0.6071428571428572,0.3000000000000001,-0.3999999999999999,0.0,1.0,inf,0.0,0.0
Sp140_B1<==>Dazap2_M0,0.0644889862427802,0.6785714285714286,0.0,1.0,0.2000000000000001,0.7999999999999998,inf,0.0,0.0
Sp140_B2<==>Iglv3_B2,0.1293757297260778,0.5849778497638591,0.2000000000000001,-0.7999999999999998,0.0,1.0,inf,0.0,0.0
Sp140_B4<==>Tmed2_M0,0.1511252783392538,0.5595238095238095,0.1,0.8999999999999999,0.2000000000000001,0.7999999999999998,0.8521095137626385,0.0014311105428832453,0.0018448063982948611
Sp140_M3<==>Axl_M1,0.0472715396087168,0.7142857142857143,0.0,1.0,0.3000000000000001,0.4999999999999999,inf,0.0,0.0
Ncl_T1<==>Gfpt2_O7,0.0494962967370297,0.7142857142857142,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,1.0483429041151515,8.762035141735082e-05,0.00016530803141896956
Ncl_T2<==>Cox7c_B5,0.1632805280693963,0.5476190476190477,0.1,0.8999999999999999,0.2000000000000001,-0.5999999999999999,0.45712605326914213,0.08719025426472572,0.09019014092644215
Ncl_T3<==>Ighg2c_B2,0.1474112616455806,-0.5649837461302352,0.2000000000000001,-0.7999999999999998,0.1,-0.8999999999999999,-0.8839282851873185,0.0009418085103180439,0.0013319659053359892
Ptma_B3<==>Dnajb6_B3,0.1389599571607067,0.5714285714285714,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,0.8900468910480037,0.0008676787796460995,0.0012469955630380336
Ptma_B3<==>Capg_T4,0.0887600621516827,-0.6428571428571428,0.0,-1.0,0.2000000000000001,-0.7999999999999998,-inf,0.0,0.0
Ptma_B3<==>Morf4l1_B3,0.0780412835958267,0.6666666666666667,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Ptma_B5<==>Rps27l_M4,0.1600256425388966,0.5476190476190477,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Arl4c_M5<==>mt-Nd1_B1,0.1268542024303512,0.5952380952380952,0.1,0.8999999999999999,0.2000000000000001,-0.5999999999999999,0.5026181554637842,0.06002295746200706,0.06292620512327399
Ramp1_T4<==>Hilpda_M1,0.0372665857186195,-0.7380952380952381,0.1,-0.8999999999999999,0.2000000000000001,-0.7999999999999998,-1.0540581859104186,8.015887135897038e-05,0.00015309030349705
Cops9_M0<==>Uqcr11_M0,0.1049738057408471,0.6190476190476191,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,0.9375013192356674,0.0004518137561682282,0.0007285301397037866
Cops9_M0<==>Cox17_T4,0.1713731965393057,0.5357142857142858,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Hdlbp_B3<==>Elob_B3,0.0336716797688463,0.75,0.2000000000000001,-0.7999999999999998,0.0,1.0,inf,0.0,0.0
Pdcd1_T4<==>Psma7_M0,0.1389599571607067,-0.5714285714285714,0.0,-1.0,0.2000000000000001,0.7999999999999998,-inf,0.0,0.0
St8sia4_M3<==>Azin1_B3,0.1608403538502108,0.4404761904761904,0.1,0.8999999999999999,0.2000000000000001,0.6999999999999998,0.7001238435527619,0.0088026879432195,0.009837056550456325
Actr3_B1<==>Ube2i_M0,0.1608403538502108,0.5476190476190477,0.2000000000000001,-0.7999999999999998,0.1,0.8999999999999999,0.5538715142639162,0.038228391668024754,0.040952713832872495
Actr3_M3<==>Sqstm1_M3,0.039402722709049,-0.7380952380952381,0.1,-0.8999999999999999,0.2000000000000001,-0.7999999999999998,-1.0540581859104186,8.015887135897038e-05,0.00015309030349705
Actr3_M3<==>Map3k14_M3,0.1025443485757329,-0.6190476190476191,0.0,-1.0,0.2000000000000001,-0.3999999999999999,-inf,0.0,0.0
