Edge Name,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_sign,Present_Count
Gfpt2_O7<==>Odc1_B1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Gm26917_B7<==>Lars2_B7,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Gm42418_B1<==>Gm42418_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Gm42418_B2<==>Gm42418_B5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Gm8797_B3<==>Ywhaz_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-Aa_M0<==>H2-Ab1_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-Ab1_M1<==>H2-Eb1_M1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-D1_B3<==>H2-K1_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-D1_B3<==>H2-Q7_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-D1_T4<==>H2-Q7_T4,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-D1_T4<==>Scand1_M1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
H2-K1_B3<==>H2-Q7_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Havcr2_M3<==>Il1r2_M3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Hnrnpa3_B3<==>Ptma_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
