Endpoint_CellType_Pair,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
B0__B0,991,461,226,374,60,101,0,0,358,243,6,261,101,143,15,37,0,41,30,163,126,108,221,139,29,7,5,66
B0__B1,13275,13275,2814,4377,986,1329,23,28,4993,2435,177,3386,1223,1566,228,373,0,432,566,1699,1882,1518,2988,1688,318,26,63,786
B0__B2,6345,2539,6345,2253,386,607,1,8,2622,1133,142,1728,702,732,120,168,0,236,398,846,732,821,1539,843,157,22,23,327
B0__B3,18225,6276,3156,18225,1300,1781,20,13,5946,3608,403,4189,1968,2224,398,496,90,874,1193,2330,2878,2057,3581,2573,353,27,144,1005
B0__B4,6840,2679,1196,2510,6840,825,45,16,2991,1335,49,1820,750,672,188,271,0,242,380,971,801,719,2031,844,192,22,23,656
B0__B5,7290,3007,1675,2591,632,7290,57,2,3093,1250,82,1835,778,891,155,271,0,196,377,975,1098,991,1771,996,126,16,34,526
B0__B6_0,720,196,173,323,115,91,720,0,256,181,2,267,156,84,19,14,0,41,54,101,96,89,150,229,16,5,0,47
B0__B7,855,366,151,362,45,120,0,855,325,116,5,287,108,108,13,17,0,54,112,175,147,86,213,134,25,4,1,58
B0__M0,17550,5403,3263,5143,1032,1428,6,45,17550,2853,180,3907,1401,1963,220,541,0,306,710,1907,1717,1455,4235,2413,377,13,48,989
B0__M1,14715,5161,2397,5563,1082,1315,4,14,4778,14715,125,3856,1616,1820,397,512,2,579,674,2268,2428,1878,2986,2066,265,33,77,950
B0__M2,2925,1035,696,1414,179,284,15,3,1212,503,2925,684,302,389,35,101,9,99,195,595,434,327,665,480,183,17,9,166
B0__M3,20160,6970,3945,6813,1594,1859,21,19,7948,3971,119,20160,2464,2669,455,737,0,545,1140,2425,2356,2612,4779,2656,458,58,81,1063
B0__M4,15885,5894,3199,6033,1229,1619,7,18,6786,3279,260,4811,15885,1964,489,476,0,428,1026,2388,2368,1973,3858,2336,570,29,75,1054
B0__M5,13590,4920,2746,4389,1135,1414,12,21,5947,2315,274,3698,1051,13590,181,458,0,495,936,1590,1623,1632,3302,2017,250,38,108,811
B0__M7,2025,736,469,648,182,312,0,3,703,455,26,544,213,304,2025,229,0,142,123,308,217,233,538,374,47,5,7,161
B0__O10,2340,918,488,947,244,280,0,1,918,450,12,739,355,471,43,2340,46,88,174,337,280,262,507,347,53,3,15,187
B0__O4,450,165,58,311,66,43,1,0,210,78,7,112,54,57,9,10,450,12,25,60,70,51,121,58,6,0,5,86
B0__O7,2745,1021,549,910,158,195,7,26,1133,464,71,633,171,522,23,62,4,2745,98,359,339,264,686,380,67,1,25,185
B0__T0,3825,1434,774,1479,276,308,20,18,1855,601,23,874,451,718,39,101,0,192,3825,514,554,501,929,640,94,6,17,221
B0__T1,7830,3359,1584,2817,521,911,4,7,3176,1410,110,1929,843,980,184,309,0,459,579,7830,1111,1032,1745,1263,232,54,27,529
B0__T2,11070,4406,2065,3746,623,1101,7,5,4499,2291,178,2770,1099,1573,197,253,1,291,640,1466,11070,1637,2614,1658,198,27,50,662
B0__T3,7335,2766,1707,2561,517,753,12,14,3198,1225,109,1929,822,1165,108,178,2,202,624,1015,1097,7335,1811,938,122,16,34,501
B0__T4,10440,3810,2240,3387,961,1066,3,34,4921,1798,63,3025,1066,1505,153,363,0,168,526,1202,1248,1034,10440,1396,200,25,40,672
B0__T5,13545,5297,2717,4802,945,1412,1,139,5533,2283,238,3361,1415,1785,199,354,50,649,805,1745,2247,1350,2928,13545,265,24,109,863
B0__T6,1980,749,409,843,249,230,1,2,788,452,74,601,235,312,25,57,0,97,87,303,216,230,462,324,1980,40,7,173
B0__T6_2,495,183,102,135,54,38,0,21,285,119,5,112,111,123,3,18,0,1,149,166,80,70,113,123,20,495,0,34
B0__T6_3,450,241,92,188,34,75,0,0,205,88,2,121,21,106,7,55,0,6,39,43,66,38,174,88,15,0,450,33
B0__T7,3330,1353,670,1270,366,474,6,1,1299,735,45,882,497,483,80,138,0,103,208,433,415,355,779,474,84,10,22,3330
B1__B1,1604,43366,8983,10423,3477,3896,154,141,15810,5268,883,10768,4066,4070,764,940,0,1426,2369,4402,5871,4744,9292,4700,919,34,156,2061
B1__B2,1561,41597,41597,10998,2922,3870,91,126,17322,4895,1208,10784,4515,4121,887,730,0,1338,3096,4059,5240,4950,9700,5177,696,127,81,1678
B1__B3,4489,119477,17418,119477,11386,12296,332,216,39607,18953,3816,26694,12022,12720,1950,2733,592,5189,9109,11120,19534,13915,24143,14999,1734,129,695,6001
B1__B4,1715,44840,7292,11844,44840,4371,383,118,18535,6144,687,11637,5062,3978,1123,1411,0,1528,3192,4828,5562,4894,13013,4786,1230,87,96,3472
B1__B5,1543,47790,10570,12639,4438,47790,468,94,20414,5550,871,11071,5340,5088,857,1272,0,1222,3103,4814,7417,6322,11818,5448,807,74,76,2658
B1__B6_0,97,4720,953,1825,807,672,4720,4,1710,1050,63,1678,996,487,58,49,0,195,384,411,764,556,1012,1403,71,9,3,298
B1__B7,236,5605,887,1790,302,723,11,5605,2324,458,59,2040,712,626,62,77,0,346,844,1013,1010,674,1373,953,89,3,6,270
B1__M0,3206,115050,20096,21644,6764,7999,305,504,115050,10173,2120,22709,8568,11952,1584,1857,1,2469,5910,8059,11524,9528,24671,12752,2120,64,246,4591
B1__M1,4860,96466,15146,29512,9358,9051,206,251,32349,96466,1516,25509,10961,10290,2206,2847,5,3739,5519,11802,15710,12260,19207,12032,1496,161,173,5652
B1__M2,450,19175,4044,7678,1333,1877,136,67,7929,2414,19175,4452,1866,2251,196,524,85,603,1320,3570,2851,2088,4175,2845,926,41,26,844
B1__M3,3887,132160,22854,33740,12984,11561,354,322,51764,20071,1998,132160,15466,15049,2187,3747,1,3088,8404,11166,15859,16758,31783,14459,2644,175,221,5380
B1__M4,3120,104135,18633,29944,9198,10448,209,225,43631,16746,2703,30553,104135,11789,2793,2409,5,2605,7737,12040,15581,13281,24431,13305,2970,81,320,5797
B1__M5,2484,89090,17372,20010,6156,8438,212,311,37470,9857,2178,23261,7019,89090,1124,2628,0,3212,7228,7150,10930,9592,21338,10644,1728,315,154,4304
B1__M7,376,13275,2846,3253,1399,2073,25,25,5129,2329,308,3773,1433,1628,13275,1316,0,840,832,1527,1641,1473,3347,2160,290,14,19,888
B1__O10,614,15340,2944,4978,1874,1725,22,26,5997,2161,233,4564,2310,2877,248,15340,307,522,1243,1856,1885,1685,3222,1812,311,7,15,1087
B1__O4,160,2950,343,1889,464,208,8,6,1355,376,61,666,308,342,29,56,2950,76,171,332,417,431,787,294,44,0,3,520
B1__O7,618,17995,3689,5043,1279,1242,64,157,7048,1783,515,4232,1071,3377,147,357,8,17995,923,1616,2604,1567,3934,2488,341,8,198,998
B1__T0,857,25075,4598,7095,1772,1807,196,215,11766,2481,367,5453,2935,4588,276,465,0,1198,25075,2226,3508,3103,5741,3861,371,22,71,1193
B1__T1,2139,51330,9747,13955,3648,5716,148,120,20868,6356,1145,12041,5552,5541,1120,1659,1,2751,4485,51330,7520,6348,10840,7489,1536,334,71,2998
B1__T2,1795,72570,12634,18135,4543,6801,186,148,29019,10665,1825,17316,7401,8840,1215,1293,1,1748,4972,7577,72570,10208,16721,9555,1074,77,194,3350
B1__T3,1185,48086,10425,12166,3394,4381,167,166,21076,5208,1079,12303,5121,6834,704,877,10,1235,4768,4721,7318,48086,11522,5491,725,33,87,2581
B1__T4,1943,68440,13304,14795,6668,6055,175,329,30482,8211,979,19312,6612,8955,996,1615,0,1257,4207,5312,8730,6549,68440,7551,1184,36,256,3471
B1__T5,2897,88795,16641,23619,6684,8698,171,989,37112,10069,2236,20849,9420,10243,1037,1812,312,3965,6349,8640,14682,7968,19424,88795,1387,90,583,4778
B1__T6,475,12980,2485,4550,1788,1378,22,31,5253,2195,592,4135,1458,1703,159,292,0,561,690,1459,1620,1479,2990,1896,12980,318,24,886
B1__T6_2,153,3245,569,619,379,207,8,135,1763,576,41,728,763,725,26,71,0,40,996,1037,556,412,750,759,131,3245,7,226
B1__T6_3,81,2950,583,996,275,448,4,4,1157,344,32,813,175,690,41,329,0,61,330,202,395,358,1086,493,53,1,2950,166
B1__T7,808,21830,4068,6630,2755,2976,70,27,8529,3875,406,5499,3460,2921,460,744,13,601,1555,2203,2651,2508,5152,2540,588,22,153,21830
B2__B2,346,3321,9870,2745,564,947,3,25,4467,1057,356,2708,1211,950,232,95,0,344,912,943,1096,1391,2474,1304,98,63,6,332
B2__B3,2238,15932,57106,57106,5216,6284,77,112,21413,8322,2476,13584,6421,6010,1057,1209,282,2518,5794,5277,8287,7681,12352,7534,776,207,298,2251
B2__B4,895,7224,21432,5951,21432,2133,147,79,9747,2672,418,5588,2561,1892,544,471,0,646,1835,2189,2349,2699,6780,2272,447,118,11,1435
B2__B5,785,7973,22843,6369,1821,22843,185,34,10654,2458,580,5571,2820,2389,492,463,0,604,1947,2254,3124,3264,6011,2794,271,97,18,1117
B2__B6_0,55,497,2256,932,372,337,2256,5,912,448,56,792,517,256,26,33,0,81,265,224,337,321,508,619,32,17,1,128
B2__B7,99,918,2679,927,108,357,0,2679,1143,224,48,999,393,324,35,28,0,156,450,492,437,348,751,530,42,7,3,106
B2__M0,1251,12746,54990,11395,2510,4384,17,239,54990,3844,1222,11421,4747,5121,887,388,0,1162,3537,3550,4518,5036,12047,6482,383,205,36,1648
B2__M1,2473,14132,46107,15235,4144,4665,26,97,17339,46107,1155,12813,5928,4847,1058,1237,2,1825,3673,5728,6795,6712,9607,6053,607,127,35,2209
B2__M2,198,2742,9165,3944,548,1000,61,33,4232,1049,9165,2094,1014,1105,127,206,52,287,757,1539,1232,1123,2132,1449,406,41,1,338
B2__M3,1936,19141,63169,16985,5282,5777,73,134,26606,8969,1630,63169,8352,7053,1290,1466,1,1511,5644,5375,6463,9016,16417,7379,1052,289,31,2039
B2__M4,1636,15755,49773,15038,3724,5270,5,104,22949,7400,1723,14853,49773,5360,1458,727,0,1215,4708,5547,6576,7004,12568,6566,1212,221,67,2208
B2__M5,1128,12166,42582,10406,2337,4472,26,152,19017,4306,1252,11572,3913,42582,726,912,0,1451,4170,3341,4509,5119,10684,5402,453,271,30,1657
B2__M7,208,1918,6345,1665,547,1040,3,13,2751,1089,205,1862,794,740,6345,603,0,430,495,751,643,859,1657,1093,129,24,0,391
B2__O10,307,2369,7332,2420,784,856,1,13,3133,943,161,2272,1153,1352,133,7332,148,283,724,936,790,920,1740,943,107,27,5,438
B2__O4,84,403,1410,908,197,101,0,2,680,146,33,391,172,145,15,20,1410,36,114,148,161,237,418,157,17,4,0,230
B2__O7,260,2816,8601,2610,527,620,28,53,3703,841,305,2194,632,1604,127,113,3,8601,543,793,1107,936,1943,1346,140,23,93,400
B2__T0,349,3624,11985,3615,656,1063,79,94,5862,990,232,2617,1511,2167,187,138,0,562,11985,1026,1462,1564,2947,1895,84,43,14,444
B2__T1,1040,8865,24535,7271,1459,2861,20,46,10915,2884,733,6174,3103,2713,625,640,0,1358,2619,24535,3279,3421,5555,3747,573,199,13,1200
B2__T2,868,11668,34686,9301,1823,3504,16,64,15281,4793,1143,8615,3883,4307,717,423,1,836,3075,3460,34686,5332,8405,4980,325,112,56,1343
B2__T3,583,7067,22983,6198,1350,2273,26,99,10858,2143,662,6127,2773,3272,406,244,4,575,2704,2092,3102,22983,5709,2797,206,89,16,987
B2__T4,926,9788,32712,7687,2716,3068,23,154,15581,3462,643,9442,3552,4319,528,489,0,581,2521,2438,3525,3539,32712,3763,381,136,50,1251
B2__T5,1381,13787,42441,12237,2745,4398,7,435,19647,4478,1495,10819,5043,4822,647,707,149,1963,3741,3899,6173,4568,9659,42441,386,122,225,1855
B2__T6,205,2071,6204,2298,791,687,4,15,2736,974,327,2014,762,807,94,116,0,246,426,680,677,829,1497,930,6204,145,3,365
B2__T6_2,58,427,1551,351,161,125,0,70,846,246,24,369,372,330,25,23,0,20,491,486,264,222,428,316,43,1551,2,73
B2__T6_3,34,661,1410,522,132,228,0,5,630,131,19,372,101,311,15,152,0,24,187,90,189,201,508,224,10,3,1410,51
B2__T7,416,3683,10434,3313,1206,1453,16,17,4480,1795,280,2752,1783,1366,258,313,2,328,989,1041,1094,1410,2640,1230,258,39,50,10434
B3__B3,2944,18944,9142,81811,6165,7474,204,112,22833,13284,3140,16026,8077,8429,1338,1811,809,4201,7221,6717,13873,9211,13007,11800,467,72,806,3422
B3__B4,2406,17781,7380,61561,61561,6536,471,96,23455,9374,1321,14838,7043,5650,1315,1815,304,2277,5479,5919,8186,6115,16076,7008,1343,140,323,4530
B3__B5,2272,20200,10786,65610,7609,65610,624,36,25158,9122,1809,14695,7304,7358,1117,1873,325,2327,5582,6194,10949,8906,14607,8154,590,113,331,3661
B3__B6_0,161,1118,992,6480,1101,771,6480,3,1967,1564,134,2115,1263,629,64,78,35,369,759,559,967,822,1007,2038,36,3,32,351
B3__B7,236,2498,868,7695,500,1156,8,7695,2655,715,135,2625,899,917,89,157,38,547,1247,1260,1297,1051,1767,1304,73,13,39,348
B3__M0,4165,30282,19304,157950,14779,14558,257,351,157950,18546,4955,32151,13734,16355,1946,3225,780,4163,12348,10826,20043,14360,32557,19763,2058,161,803,5604
B3__M1,6480,32347,14655,132436,11962,12665,147,151,38430,132436,3123,30379,14950,12785,2784,3747,686,6178,11130,14239,21425,16195,21705,17759,1195,207,688,6902
B3__M2,569,6398,4740,26325,1961,2759,125,62,9497,3813,26325,5369,2614,2738,264,835,315,993,1941,4004,4191,3333,4828,4238,1172,87,130,982
B3__M3,5572,43913,23092,181440,17918,17017,420,239,61515,29268,4088,181440,21485,21035,2415,5461,901,5834,15749,13375,24523,24078,37615,23401,2071,291,945,7509
B3__M4,4447,36513,19060,142967,14505,15596,183,169,53593,25229,4464,39107,142967,15958,3727,3693,710,4781,14185,15313,23489,18124,30437,20127,3793,208,811,7274
B3__M5,3447,30710,16705,122310,13030,12742,295,268,44819,17329,4583,30514,10284,122310,1326,3509,605,5105,12334,9028,16423,14285,27142,15919,1356,411,638,5896
B3__M7,532,4668,3023,18225,1919,2782,23,37,6136,3235,538,4847,2009,2209,18225,1862,90,1384,1643,2115,2815,2439,3783,3232,221,23,90,1305
B3__O10,845,5425,2693,21060,2837,2570,23,5,7137,3479,498,5962,3149,4094,234,21060,549,947,2211,2160,3136,2272,3647,2663,204,9,104,1416
B3__O4,222,920,304,4050,599,337,8,7,1683,513,130,870,516,494,27,96,4050,150,236,352,715,522,1015,505,28,1,20,713
B3__O7,714,6737,3457,24705,2142,1928,69,227,8283,3299,880,4452,1735,4289,187,523,176,24705,1890,2083,3556,2256,4807,3399,183,18,287,1251
B3__T0,1211,8797,4679,34425,4012,2999,238,152,14510,4070,911,6967,4065,6271,327,771,172,2022,34425,2777,5380,4574,7962,5612,304,43,177,1561
B3__T1,2608,23426,10286,70471,6076,8910,266,89,25626,11300,2332,15142,7867,7869,1492,2294,354,5059,8001,70471,12010,9383,13667,11060,1631,472,348,3891
B3__T2,2637,27644,13011,99631,7526,10814,139,77,37262,17995,3523,21855,10221,12417,1727,2015,499,3366,8835,8445,99631,14679,20989,14203,787,156,569,4157
B3__T3,1651,17281,11160,66016,6568,6923,124,197,25881,8836,1974,15710,7428,9585,879,1310,381,2239,7942,5661,11405,66016,14674,8117,397,65,333,3273
B3__T4,2758,22959,14008,93963,12072,9754,166,317,37785,12821,2191,25992,9670,12680,1216,2688,464,2207,7681,6268,13593,9974,93963,11346,891,73,578,4647
B3__T5,4062,34450,17897,121907,10321,13208,190,1188,45455,17136,4599,25920,14470,13558,1388,2784,1087,6543,11253,11077,23054,12880,22984,121907,1122,109,1117,5479
B3__T6,624,5005,2598,17821,2387,2046,23,36,6445,3332,1056,5261,2263,2317,227,451,88,1024,1449,1900,2390,2210,3656,2779,17821,437,90,1122
B3__T6_2,156,976,559,4455,614,379,5,184,2273,963,105,878,1068,971,29,143,22,115,1469,1395,831,594,1019,1075,246,4455,22,252
B3__T6_3,194,1647,591,4050,421,663,3,0,1716,565,80,924,288,928,36,501,20,127,472,259,668,489,1408,675,71,4,4050,246
B3__T7,1206,8491,4063,29970,3783,3716,92,14,10916,5750,812,7081,4936,3819,581,1149,153,1176,2812,2641,4333,3342,6453,3911,430,32,263,29970
B4__B4,413,3596,1513,2976,11481,1106,153,37,5003,1311,59,2623,1286,842,383,312,0,326,920,1260,1151,1130,3634,999,379,54,5,1101
B4__B5,942,8654,4289,6616,24624,24624,366,30,11302,3048,192,5999,3205,2313,705,858,0,642,2130,2684,3083,3093,7513,2462,533,78,12,2273
B4__B6_0,63,553,370,995,2432,340,2432,3,1018,556,11,822,559,213,41,52,0,95,236,281,359,280,637,708,37,3,2,189
B4__B7,107,1048,393,989,2888,411,19,2888,1300,300,7,971,397,276,49,48,0,179,490,528,468,353,967,607,83,9,0,217
B4__M0,2119,14391,8420,11101,59280,4350,420,263,59280,4646,454,10758,5060,4553,1187,1040,0,1347,3492,4199,4920,5182,17002,5373,1457,176,13,3495
B4__M1,2775,14647,6699,17290,49705,5439,347,117,19417,49705,386,13761,6560,4471,1408,1927,4,1578,3706,6467,6618,5517,12777,5582,1203,193,27,3899
B4__M2,280,3074,2043,4143,9880,1213,115,34,4625,1263,9880,2253,1101,988,165,311,89,282,875,1572,1323,1056,2869,1399,543,44,4,694
B4__M3,1978,20115,9302,19134,68096,6504,506,171,28464,11445,432,68096,8592,6290,1326,2274,0,1627,5826,5798,6312,7993,20264,6726,1752,137,50,4817
B4__M4,1688,16909,7722,16206,53658,5790,358,118,24488,8985,777,15656,53658,4751,1720,1461,0,1259,5091,5896,6770,6404,15694,6296,1752,127,107,4258
B4__M5,1721,13564,6896,10807,45904,4471,326,120,20481,5756,801,12666,4162,45904,1083,1903,0,1627,4489,3910,4812,4853,14575,4988,1253,137,21,3346
B4__M7,246,1957,1177,1801,6840,1134,45,20,3102,1288,61,2083,815,773,6840,700,0,419,576,833,690,789,2157,1097,214,22,6,679
B4__O10,338,2505,1166,2622,7904,981,53,11,3361,1165,41,2422,1239,1343,193,7904,158,283,839,1002,807,744,2211,849,213,10,3,765
B4__O4,111,496,134,947,1520,115,11,4,778,183,11,392,183,120,26,18,1520,32,117,178,137,217,516,133,35,1,0,288
B4__O7,388,3301,1613,2555,9272,675,71,49,3901,1062,112,2399,673,1572,140,298,11,9272,643,1090,1298,932,2493,1084,205,28,119,760
B4__T0,524,3880,1984,3832,12920,960,166,80,6187,1301,63,2581,1530,2041,228,346,0,634,12920,1154,1496,1647,3890,1728,276,13,5,918
B4__T1,1221,9983,3973,7811,26448,3281,203,58,11937,3607,368,6344,3331,2596,857,1058,0,1568,2660,26448,3588,3113,7818,3763,1043,210,4,2287
B4__T2,1262,12626,5265,9908,37395,3875,258,54,16503,5853,625,8829,4123,4027,1126,1028,1,906,3087,4084,37395,5558,11096,4506,833,100,32,2787
B4__T3,827,7559,4256,6640,24776,2356,183,89,11623,2685,351,6569,2957,2852,537,554,4,563,2815,2628,3214,24776,7233,2551,558,51,6,1835
B4__T4,1119,9956,5396,7793,35265,3132,244,145,15851,4129,182,9430,3740,3792,884,1025,0,633,2723,2884,3561,3493,35265,3357,942,65,56,2582
B4__T5,1768,15179,7005,12728,45753,5079,308,392,22000,5622,775,11264,5577,4438,928,1263,164,2322,3721,4546,6546,4178,13560,45753,1008,97,241,3691
B4__T6,261,2152,967,2428,6688,781,44,11,2961,1052,263,2089,799,802,134,201,0,299,483,742,642,771,1832,985,6688,132,2,654
B4__T6_2,87,441,229,313,1672,134,11,54,879,247,15,329,388,355,35,58,0,27,534,540,245,197,598,333,84,1672,0,139
B4__T6_3,60,668,223,513,1520,247,10,3,617,131,0,311,113,338,28,181,0,23,204,84,204,252,630,200,35,4,1520,132
B4__T7,415,3694,1841,3428,11248,1582,85,18,4826,2032,106,2958,1830,1274,300,482,3,272,1087,1128,1037,1151,3306,1197,326,22,35,11248
B5__B5,438,4845,3032,3502,1357,13041,210,5,6187,1447,201,2985,1583,1413,263,394,0,299,988,1294,2150,2054,3447,1576,137,25,3,835
B5__B6_0,51,597,547,1017,472,2592,2592,0,1083,499,25,912,575,283,27,50,1,93,253,244,423,388,614,745,20,9,0,183
B5__B7,91,1145,561,1052,190,3078,23,3078,1384,198,26,1077,408,375,34,64,0,163,480,543,561,469,900,583,42,10,0,169
B5__M0,1556,16146,11827,12550,4713,63180,550,145,63180,4660,1019,11631,5782,6422,800,1108,0,1134,3675,4592,7137,6695,15069,6877,841,126,19,2937
B5__M1,2823,16861,9386,17306,6035,52974,401,56,20237,52974,696,13670,6609,5852,1226,1844,6,1685,3399,6521,8934,7743,11535,7008,542,120,12,3370
B5__M2,193,3391,2623,4508,932,10530,144,16,4881,1180,10530,2387,1234,1272,128,342,68,284,787,1847,1657,1285,2554,1683,449,26,1,580
B5__M3,2052,22665,13927,19533,7797,72576,631,76,32062,10044,887,72576,9246,8280,1188,2292,1,1289,5453,5705,8933,11047,19323,8276,1021,196,25,3809
B5__M4,1679,18630,11263,17254,5873,57186,455,55,26832,8417,1240,15949,57186,6536,1652,1454,1,1138,4824,6519,8779,8451,14758,7471,1347,155,57,3544
B5__M5,1318,15250,10397,11759,3935,48924,432,94,22888,4834,1156,11740,4457,48924,594,1511,0,1611,4393,3986,6553,6668,13111,5801,777,162,18,2558
B5__M7,203,2237,1648,1868,790,7290,57,8,3262,1241,135,2046,819,871,7290,737,0,436,526,801,934,1017,2004,1231,114,8,0,537
B5__O10,311,2854,1726,2762,1105,8424,67,0,3714,1074,99,2407,1353,1621,161,8424,172,269,798,1027,1091,1112,2031,1044,104,14,0,638
B5__O4,104,500,209,1032,266,1620,11,0,835,168,26,385,194,182,11,40,1620,24,111,174,240,272,485,151,22,1,0,281
B5__O7,304,3400,2308,2917,780,9882,87,65,4386,914,245,2142,734,1947,113,180,8,9882,644,920,1595,1140,2529,1404,110,9,98,607
B5__T0,423,4500,2645,4006,1150,13770,198,72,6946,1171,147,2627,1820,2504,162,298,0,608,13770,1336,2030,2089,3550,2061,104,13,9,685
B5__T1,1090,10833,5927,8118,2356,28189,234,31,13038,3305,551,6380,3465,3211,632,975,0,1416,2757,28189,4411,4070,6772,4084,710,186,0,1816
B5__T2,931,14181,7798,10465,3119,39852,332,30,18026,5545,929,9206,4577,5187,741,804,1,833,2893,3961,39852,6456,9889,5345,399,82,28,2160
B5__T3,598,8870,6050,7005,2237,26406,262,53,12719,2421,479,6634,3319,3906,401,558,5,524,2832,2568,4233,26406,6791,2892,236,46,7,1546
B5__T4,1015,11755,7888,8547,4228,37584,336,112,18341,4012,380,9997,4360,4858,532,1017,0,539,2653,2924,4932,4709,37584,4083,480,57,52,2200
B5__T5,1499,16705,10029,13829,4302,48762,371,442,22961,5060,1130,11197,5854,5684,572,1130,176,1989,3799,4715,8455,5394,11789,48762,518,71,232,2869
B5__T6,219,2440,1441,2636,1104,7128,53,6,3189,1068,291,2196,870,969,103,231,0,242,443,793,895,965,1700,1088,7128,189,2,555
B5__T6_2,74,564,312,357,245,1782,15,62,990,300,16,375,433,388,14,38,0,23,542,582,301,248,479,416,62,1782,0,109
B5__T6_3,44,767,306,564,187,1620,14,1,712,157,14,372,121,391,26,181,0,26,232,125,246,241,619,289,9,2,1620,97
B5__T7,448,4297,2532,3660,1670,11988,109,2,5269,1948,180,2821,1943,1576,285,463,1,240,1054,1118,1492,1583,3229,1394,290,25,57,11988
B6_0__B6_0,2,17,23,62,30,19,122,0,44,37,0,55,28,8,0,1,0,10,12,10,17,15,17,45,0,0,0,9
B6_0__B7,0,86,53,152,40,53,304,304,109,52,0,138,63,34,0,7,0,23,44,56,54,37,70,100,3,0,0,12
B6_0__M0,54,867,1001,2169,914,982,6241,13,6241,950,51,1903,1407,649,72,83,0,149,494,473,852,629,1328,1667,93,12,2,388
B6_0__M1,176,895,825,2293,958,579,5232,4,1590,5232,30,1959,969,555,89,103,0,277,460,497,783,715,948,1550,53,3,0,414
B6_0__M2,6,207,229,536,165,171,1040,0,403,212,1040,349,222,113,5,21,8,30,116,164,146,131,176,315,40,6,0,81
B6_0__M3,91,1223,1148,2822,1316,848,7168,10,2737,1607,26,7168,1501,761,59,137,2,312,710,497,812,934,1444,2108,84,17,3,272
B6_0__M4,79,1087,951,2462,1038,746,5648,6,2297,1358,60,2262,5648,621,124,121,0,221,583,615,937,695,1204,1682,147,27,4,362
B6_0__M5,42,904,888,1856,785,695,4832,2,2066,900,88,1727,962,4832,42,113,1,188,595,416,645,582,1131,1316,54,20,2,282
B6_0__M7,7,120,161,273,137,121,720,0,269,170,5,318,136,99,720,61,0,70,66,75,91,104,147,238,6,1,0,65
B6_0__O10,25,156,144,390,172,121,833,0,326,184,3,325,206,164,8,833,16,45,109,76,132,93,147,251,5,1,0,59
B6_0__O4,6,34,22,119,37,15,160,0,71,31,1,55,34,13,0,2,160,6,10,15,32,16,41,46,2,0,0,32
B6_0__O7,5,188,173,439,162,110,976,9,344,174,20,335,115,183,6,13,3,976,106,58,193,80,251,298,9,0,7,64
B6_0__T0,26,242,246,582,230,162,1360,5,649,208,8,405,322,258,6,29,2,73,1360,130,216,203,330,407,19,9,1,76
B6_0__T1,71,777,519,1115,463,486,2784,2,1140,563,48,952,632,269,48,63,4,191,301,2784,490,381,595,885,72,20,1,197
B6_0__T2,34,836,725,1521,608,541,3936,0,1546,902,51,1367,815,498,65,52,0,123,377,306,3936,615,903,1144,37,12,0,258
B6_0__T3,31,519,563,1031,452,347,2609,9,1107,456,30,919,585,360,33,33,4,86,340,223,437,2609,600,713,20,1,0,182
B6_0__T4,59,694,675,1396,722,482,3712,5,1653,687,13,1378,817,460,26,94,0,101,348,293,529,412,3712,1031,50,7,6,220
B6_0__T5,83,1088,923,1992,755,735,4817,42,1918,890,84,1728,1021,583,21,76,21,256,525,433,932,484,1062,4817,27,4,16,314
B6_0__T6,11,147,142,331,143,102,704,0,253,187,29,324,136,105,2,17,0,42,67,69,100,93,131,190,704,29,0,55
B6_0__T6_2,2,21,34,55,30,22,176,5,96,39,0,55,64,47,0,7,0,4,57,55,26,28,51,61,14,176,0,13
B6_0__T6_3,6,52,27,70,29,36,160,0,69,30,0,48,27,35,1,18,0,7,24,15,26,20,60,57,1,0,160,11
B6_0__T7,34,264,217,546,239,178,1184,0,453,277,12,422,309,145,20,31,1,52,115,116,145,150,242,341,19,0,3,1184
B7__B7,5,58,23,59,2,28,0,171,77,7,1,64,23,25,4,2,0,13,42,46,26,30,46,40,1,1,0,4
B7__M0,283,1983,960,1745,192,782,0,7410,7410,399,56,2223,874,1003,92,45,0,377,1161,1095,1258,765,2006,1666,131,4,5,229
B7__M1,251,2070,729,2584,381,872,2,6213,2245,6213,62,2202,865,695,119,148,1,316,947,1202,1103,821,1528,1112,60,11,2,290
B7__M2,12,388,252,524,47,165,8,1235,503,147,1235,401,166,159,12,28,7,55,184,327,218,156,381,256,64,0,0,46
B7__M3,244,2660,1155,3069,529,1105,3,8513,3578,833,49,8513,1145,1062,63,211,0,393,1357,1377,1349,1098,2193,1603,120,21,4,324
B7__M4,217,2210,938,2480,375,987,0,6707,2949,767,94,2635,6707,810,142,103,0,328,1126,1291,1147,914,1853,1412,174,19,6,327
B7__M5,228,1785,892,1659,256,814,2,5738,2609,419,86,2120,684,5738,38,107,0,364,1080,894,876,786,1478,1155,68,30,1,276
B7__M7,10,276,156,264,59,170,0,855,353,104,19,285,98,121,855,77,0,69,141,170,150,95,272,195,11,7,0,51
B7__O10,45,333,162,399,73,144,0,988,413,91,5,410,184,204,11,988,21,58,176,184,178,131,246,198,17,4,0,58
