gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Snrpe,0.1152655394141462,0.6784313725490196,1.0,-0.1059055634244849,-0.0078694838275486,0.1354770744461251,1.0330320309720809,1.0271526377072937,0.7492529890004783
Ptprc,0.2082876875446535,0.6784313725490196,1.0,-0.0656591094257239,-0.0011256435428617,0.0540064554336539,1.9117264538294787,1.91046439318898,0.7492529890004783
Rgs1,0.0001111375724378,0.0123997777248551,0.1813447646264983,-0.4542035675139667,-0.3323721329925703,-0.1754736760671273,2.183684670903185,1.7269115740054088,0.05377987886795392
Ptgs2,0.0473446058585377,0.343145193299992,0.8506311026434865,-0.0398389277678616,0.1727224969433358,0.4619917341911488,1.4015129699214626,1.5864607171762786,0.5263419496146219
Tpr,0.0001111375724378,0.0015241724220052,0.015860919266492,-0.5668500490453526,-0.4181878528142468,-0.3014379693208979,1.0544743828730176,0.7866607729794413,0.016751098851552296
Rgl1,0.4171856441993936,0.8450263631423363,1.0,-0.1274222879409541,0.1055512323002471,0.370018108283934,0.6345275773561078,0.6865579753864207,0.8480229105293658
Arpc5,0.0021592442645074,0.0573787409700722,0.4268635389378423,0.0231503951750471,0.0775183709132354,0.1633280652810701,1.494787410745765,1.576989520799975,0.161976894708533
Ncf2,0.0001905215527506,0.0095578312296578,0.2090299277605772,0.0752811503210914,0.1961019018906185,0.3397173129126136,1.0709376988865165,1.2290546795603774,0.046635624792985476
Ier5,0.1349368897356513,0.6784313725490196,1.0,-0.1647389221984949,-0.0034982538993582,0.1888118527515525,0.9866361242502978,0.988552045342705,0.7492529890004783
Tor1aip1,0.0057783182618149,0.0721281765335909,0.4342891302098599,-29.310586458038586,-0.8454629693482408,-0.0731304901269962,0.6452324737821947,0.3653741080324836,0.18900253665746503
Soat1,0.0010550130983567,0.015860919266492,0.1568627450980392,-0.4436377332867767,-0.330665634413992,-0.2041127385523705,1.24276214860202,0.9889200949650804,0.063443677065968
Gas5,0.0824958323410335,0.3053901722632373,0.6798328967214403,-0.3221436324522478,-0.1744561384454674,-0.0329489983577561,1.0213280209172104,0.9051742055870078,0.486903767608429
Prdx6,0.0021358168527197,0.0247131318485893,0.1736964858864386,-1.7449996145335005,-0.6030065387491033,-0.225868403915016,0.8965525745294722,0.594994489638492,0.08902282771673098
Prrc2c,0.0252441057394617,0.3837421608319441,0.9699293482575216,-0.1979969181798082,-0.0673676636030382,0.0605380717939954,1.2459737184477802,1.190258551189684,0.5656199558095842
Creg1,6.35071842502183e-05,0.0007144558228149,0.0054933714376438,-0.5520441456627957,-0.4223034600837384,-0.3133737015305222,1.159886823066895,0.8681669764724538,0.011553771306092383
Fcgr2b,0.004096213384139,0.0473446058585377,0.2379772961816305,0.1821887450334274,0.3436766988716425,0.5513973660547488,0.9493245502296987,1.2021472152243424,0.14132853672012222
Fcgr3,0.0001111375724378,0.0054933714376438,0.0824958323410335,-0.3402019953033667,-0.232728439420517,-0.1309234495755732,1.4494669290768525,1.2352785640993624,0.033253991804346426
Fcer1g,0.0029848376597602,0.0824958323410335,0.5713582599031516,-0.1519455469571061,-0.0939917814355781,-0.039244604455834,3.03306103828896,2.838904592430852,0.20389799609181206
Slamf7,0.1629460407254464,0.5028277071539042,0.967739567973502,-29.273683300159693,-1.1024054383979889,1.051406271135174,0.4634550830938614,0.2181493935619782,0.681677801794275
Pea15a,0.0367103646724126,0.3119748130387528,0.967739567973502,-29.189343290875264,-1.587644756206288,0.8277800689372011,0.5056072824139486,0.1232261605692352,0.4960048993818373
Igsf8,0.0137818194726874,0.0927576203686832,0.4602017451187122,-29.32286310202672,-1.1191102424200157,-0.1257044042286297,0.6932959205590257,0.307236017167508,0.22826440490728125
Tagln2,0.0003016591251885,0.015860919266492,0.1568627450980392,0.2299949318742598,0.3701822780869644,0.5403756652171827,1.015446622224075,1.30896907599769,0.063443677065968
Slamf8,0.0785410702493339,0.2282245285150198,0.5361639147533152,-1.533207707985594,-0.2570573466712437,0.0296919091124602,0.6047485514249404,0.5097201774658303,0.3980742161463828
Ifi207,0.0095578312296578,0.0978804477256489,0.7344923394458999,0.0398763170203583,0.335923338381197,0.7138164247074987,1.0820900363685515,1.3599811681809877,0.2284549831452259
Hnrnpu,0.038707628800508,0.5208065412399778,1.0,-0.1091450066574071,-0.0350931530849963,0.0905231504258224,1.2856288722935951,1.2542259726464275,0.6895356779925788
