gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_Salmonella_infTLSwk6_median,FDR_BH
Ubl3,0.2344988344988344,0.7209013209013208,1.0,-0.0965626264066978,0.0113049932189709,0.1075687471903998,1.3664936814961826,1.3773280072541312,0.7801472889302248
Hmgb1,0.2786324786324786,0.7984459984459983,1.0,-0.1397512951162129,-0.0214703330173983,0.0976354032652232,1.1484771284730575,1.1310547196371288,0.8016992708494454
Alox5ap,0.2629842126711115,0.7840226582999281,1.0,-28.924652322946816,-0.6180567634275878,28.19252702241518,0.444614104475428,0.31953823098728,0.8016992708494454
Sem1,0.3809324009324009,0.7984459984459983,1.0,-0.065735004692753,-0.0015604425011956,0.0540859137411331,1.988726355151705,1.983920424348504,0.8016992708494454
Ndufa4,0.1048951048951048,0.5737373737373737,1.0,-0.1521333356368958,-0.0437524841221005,0.0482121018746455,1.48890925208787,1.4435737866186051,0.7801472889302248
Mdfic,0.1411893573533081,0.6741981971505068,1.0,-0.1226655653577669,0.1261193576552957,0.3761849411482517,0.5788085605183534,0.6374578113514522,0.7801472889302248
Capza2,0.0006216006216006,0.0147630147630147,0.2344988344988344,-0.2692535344423494,-0.16828243153533,-0.0717100976370903,1.6250229645739476,1.44386839388627,0.7073944573944543
Ndufa5,0.0069930069930069,0.1411893573533081,0.8335142129533152,-1.3144847134976865,-0.4160030192804753,-0.1112057426355009,0.618599226777622,0.466528970885964,0.7801472889302248
Arf5,0.0147630147630147,0.1303807303807303,0.5053613053613053,-0.2691824994286789,-0.161050864494076,-0.056278128309396,1.1072969644297976,0.993164413644038,0.7801472889302248
Hilpda,0.001087801087801,0.0379176379176379,0.2786324786324786,-0.5834151425843455,-0.3480214036393934,-0.1287137689718728,1.4307180916802786,1.1236085895950796,0.7801472889302248
Atp6v1f,0.1043473193473193,0.6453768453768453,1.0,-0.1114118353505409,-0.0252922040966125,0.0742364846584437,1.4711411758647264,1.4448701012546077,0.7801472889302248
Irf5,0.0829836829836829,0.5053613053613053,1.0,-0.0535649543154609,0.164094184620391,0.4152428655301103,0.651142460141831,0.7300946229642751,0.7801472889302248
Lncpint,0.0785934912071024,0.5576726074341468,1.0,-28.893781356880023,-0.7640097478369812,0.9789888481879552,0.4687754133052363,0.2417609668043157,0.7801472889302248
Mkln1,0.0404794561132101,0.2172187573017174,0.7851533033220025,-0.0256700048020798,2.2006576595114984,29.08575864622953,0.1082852378045482,0.4360335057470077,0.7801472889302248
Akr1b3,0.214946955169527,0.7011912626598479,1.0,-27.146399478699102,0.0211479306655556,2.379645099166588,0.347141088608643,0.3527621384468712,0.7801472889302248
1810058I24Rik,0.1025458809789091,0.4589281861225893,1.0,-1.105753478892018,-0.221775944684201,0.0830358793182778,0.5879513093151616,0.5058785297016797,0.7801472889302248
Mtpn,0.1048951048951048,0.6453768453768453,1.0,-0.1376459925082342,0.0496030530105993,0.2308696917914034,1.0018086076039154,1.039296068866604,0.7801472889302248
Luc7l2,0.0046620046620046,0.0649572649572649,0.5053613053613053,0.0903911294412308,0.2199762115453533,0.3472859941555687,1.009859726257945,1.1790622754914075,0.7801472889302248
Kdm7a,0.1948717948717948,0.7209013209013208,1.0,-0.2234559729678573,-0.0548745884904439,0.0957879285721494,0.8902666711789979,0.855603185421401,0.7801472889302248
Mkrn1,0.0829836829836829,0.6453768453768453,1.0,-0.1450903384705791,0.046787374321117,0.2197204644612219,0.675194085886524,0.6994034562870393,0.7801472889302248
Ndufb2,0.0238375009673449,0.3282051282051281,0.959129759129759,-0.1771293273426498,0.1497477291469817,0.4521793260812333,0.5626493791849609,0.6283928157822545,0.7801472889302248
Mrps33,0.065285648928054,0.4305578876446536,0.9580911282267016,-1.4995162053702409,-0.5344299153389664,-0.0046631300899393,0.546642689144424,0.3837264493351867,0.7801472889302248
Tmem176b,0.2786324786324786,0.7984459984459983,1.0,-0.0433091258818649,0.0292162132933584,0.0955473143436429,2.105434874989097,2.1456528861674578,0.8016992708494454
Tmem176a,0.3282051282051281,0.7984459984459983,1.0,-0.0841667935399923,-0.00429584132986,0.0893464705657877,2.09804671110966,2.087187885946433,0.8016992708494454
Tra2a,0.0829836829836829,0.5053613053613053,1.0,-0.2608344175488089,-0.100252975024915,0.0868273829048433,0.808037800859291,0.75369530513616,0.7801472889302248
Cycs,0.0390633300330849,0.4503513435848739,1.0,-28.96790097420908,-0.7878093925949252,0.4000102291951588,0.5061972247311772,0.2822396739003319,0.7801472889302248
Hnrnpa2b1,0.2775291375291375,0.7984459984459983,1.0,-0.1235145293899618,0.0012522354337817,0.1217658073412039,1.4751002749467887,1.4738653019751375,0.8016992708494454
Skap2,0.0206682206682206,0.3282051282051281,0.959129759129759,-0.4330005388558721,-0.2495304234489116,-0.0571358025449298,0.8058642320930124,0.676780796409457,0.7801472889302248
Tax1bp1,0.3282051282051281,0.7209013209013208,1.0,-0.0161977304078753,0.0517243141449828,0.1332270426187391,1.3839843363832038,1.43188437998327,0.7801472889302248
Creb5,0.2344988344988344,0.6453768453768453,1.0,-0.1376660689485505,0.0700967501986034,0.2391535512611742,1.012097622696993,1.068661289471596,0.7801472889302248
