gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_IL10_KOnonTLS_median,FDR_BH
Cap1,0.0001808387981124,0.0002040915427345,0.0005026588905531,-29.849939298671284,-1.805267825443944,-0.6927577453870919,0.9354719197803056,0.2694654511951645,0.0025539400587392567
Macf1,0.0001111375724378,0.0005026588905531,0.0029316408379423,-1.695055298350474,-0.5568780347103797,-0.3977869748034762,0.8475026487513628,0.5780195917604349,0.004351269632483577
Ndufs5,9.016783792651294e-05,0.000975934543285,0.0078110762660852,-29.377881421550025,-29.254788059237168,-29.16695134448787,0.640573136701591,0.0,0.005571976283067797
Akirin1,3.529139494825728e-05,0.0001720247930818,0.0043495700900777,-29.112958508579705,-28.975566793742534,-28.728162317719537,0.5278551328820577,0.0,0.002385890623763593
Rragc,0.1272684290643955,0.5543742897628018,1.0,-29.07883594061001,-0.83790493657112,0.1648179820273412,0.5549675764018396,0.3008134825673734,0.6354089255938763
Zc3h12a,0.0201317774073192,0.2379772961816305,0.8506311026434865,-0.2684285309904316,-0.0961053731767827,0.0412985502735988,0.972440184525308,0.9106997879652368,0.3155185196834825
Stk40,0.0865723655317356,0.2217640684635702,0.6113519816838257,0.1165714997715197,0.5046167836127509,1.603541770914001,0.4472484199938993,0.6344876259630033,0.29791393609039907
Thrap3,3.529139494825728e-05,0.0001720247930818,0.0027786850681888,-29.19045726682752,-29.04227785704896,-28.81403960411172,0.5528365867427658,0.0,0.002385890623763593
Map7d1,0.0012455000145158,0.0059596923407427,0.0391489942439858,-29.44810175214206,-29.310491676056056,-29.15525895357183,0.665945472371297,0.0,0.01634888574555092
Psmb2,0.0002423343526326,0.0017731114297543,0.015049240840804,-0.558958260607109,-0.4473266897376006,-0.3125283062735189,0.8972094452937449,0.6569769466888152,0.008445166565065627
Sfpq,0.0095578312296578,0.0473446058585377,0.1568627450980392,0.2625714837977221,0.3741878274785856,0.4725632049628961,0.8463755343427178,1.0972485549946625,0.0782084944878376
Ak2,3.529139494825728e-05,0.0002391009389611,0.0075721656792071,-29.143282711866423,-28.97842366119284,-28.661444094353115,0.5289014385870955,0.0,0.0027704731297672172
Rnf19b,0.0201317774073192,0.2379772961816305,0.9116011748829072,-0.4083341484180907,-0.2066288725617668,0.0527797119518173,0.9135963962838812,0.7918597350554005,0.3155185196834825
Rbbp4,0.0027786850681888,0.009501095540355,0.0298677932975399,-28.551384829731088,-26.8767333394773,0.0,0.1232261605692352,0.0,0.01993396992760822
Marcksl1,1.5876796062554575e-05,0.0001905215527506,0.0029848376597602,-0.5854440260117509,-0.4769665234859774,-0.3533284081203715,1.3370066323979723,0.9616091478882308,0.00240057156465756
Eif3i,0.0007884764832411,0.0065360274816589,0.0557432987804457,-29.36255968722713,-29.23864980574628,-29.060428553217157,0.6348102399712805,0.0,0.017664677823950904
Tmem234,8.600635107884218e-05,0.000244141310286,0.0018447703965623,-29.58460163870109,-29.40040837741949,-29.262160604767324,0.7086059680757367,0.0,0.0027704731297672172
Khdrbs1,0.0067255636975068,0.042065641372109,0.2939626650378599,-29.386700737547876,-0.8720436741938744,-0.2037124458988562,0.6679640578887902,0.3602465525822241,0.07089845644542725
Ptp4a2,0.015860919266492,0.2082876875446535,0.8521179645947434,-0.1346452612468142,-0.0683555399100332,0.0213524955184648,1.4811666590622488,1.4156386475461888,0.2800158978249315
Sdc3,0.0034288832126691,0.0202098651191521,0.1131393705897797,-29.275549494090495,-29.015519614432,-28.42137477537011,0.5426774910118269,0.0,0.03798706128877663
Laptm5,3.175359212510915e-05,0.0015241724220052,0.0201317774073192,-0.0931551123707117,-0.0649187778211172,-0.0388560712502135,2.473085935447642,2.3668189846476486,0.007505830229119948
Epb41,0.0007335473709934,0.037650276439806,0.4591881861735847,-28.956573067330847,-28.306498685434605,0.0,0.3319748437991107,0.0,0.0652628605839901
Atpif1,1.5876796062554575e-05,0.0003016591251885,0.015860919266492,-0.2351943496964851,-0.1684949639264015,-0.1121637807485076,1.433192165166535,1.2782495185207223,0.0031674208144792503
Dnajc8,0.0004592558527205,0.0050666118127268,0.0471866693782339,-29.380363339773396,-29.231661736182737,-29.01136209388484,0.6303866466447807,0.0,0.01450893382735402
Ptafr,0.0252441057394617,0.1813447646264983,0.6784313725490196,0.0012372926907437,0.0953029975308402,0.1713034628485757,1.125080437519645,1.2029767843210637,0.2489232794685292
Stx12,0.0007335473709934,0.0027786850681888,0.009501095540355,-28.881355583489917,-28.69639863905704,-27.702246628565533,0.4349874798078045,0.0,0.009280909725010856
