gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Ddx6,0.1605283605283605,0.683139083139083,1.0,-0.2326066910247264,0.014828769226086,0.2079732906441444,0.9121972360734284,0.9203070374807676,0.7721257302743612
Arcn1,0.0933375471780228,0.6217687412649331,1.0,-28.351089422103733,-0.3418028319115038,27.9171163120394,0.1161482004570815,0.062276386637268,0.7721257302743612
Atp5l,0.1048951048951048,0.6453768453768453,1.0,-0.0521384639178152,0.0198114214249637,0.0854567027961515,2.042635015012868,2.0743373293482303,0.7721257302743612
Cadm1,0.0112746152015495,0.1501208222419232,0.7123816042098661,0.3350246938103638,1.9791600634691344,29.236897574568555,0.1464064940458745,0.592882794949888,0.7721257302743612
Rbm7,0.0379176379176379,0.2786324786324786,0.8784770784770783,-0.0643136465068341,0.1899466880201492,0.4186746361293801,0.6777249649605527,0.7759942157159907,0.7721257302743612
Sdhd,0.1705610877239446,0.6854434826775221,1.0,-2.361892652532098,1.7688377780077262,28.876069415939213,0.1071027169142727,0.3098749801599747,0.7721257302743612
Timm8b,0.2859747346155502,0.7463178799324552,1.0,-0.2454259012749269,1.026111939166154,29.036616525569123,0.2406394147360892,0.5249691864963026,0.792631077394327
Psma4,0.3180689668505534,0.7984459984459983,1.0,-0.2601345058463889,0.0061808633668779,0.2688760850769592,0.7621999029547515,0.7774466759824682,0.8028438038229958
Cox5a,0.0206682206682206,0.2344988344988344,0.8784770784770783,-0.004986475411061,0.1004279676875668,0.2209633852280026,1.6262522109541502,1.7436933432640225,0.7721257302743612
Scamp2,0.0147630147630147,0.2476478461028965,0.959129759129759,-0.6001823613118601,-0.2484110563424388,0.2970049896379587,0.6849060551562081,0.5727939525933154,0.7721257302743612
Nptn,0.1025458809789091,0.5576726074341468,1.0,-0.3445918338587737,-0.1073783965035019,0.3929782812293658,0.6074731340636534,0.5604254611139943,0.7721257302743612
Arih1,0.1275273133578452,0.6355065570939342,1.0,-0.1848693087997701,0.0426517364107334,0.5934258749648433,0.6331829648794913,0.6503431280123354,0.7721257302743612
Hexa,0.1948717948717948,0.7209013209013208,1.0,-0.1263215704504368,0.0083423597521161,0.1581277284449579,1.276099125195255,1.27496747744727,0.7721257302743612
Pkm,0.0829836829836829,0.5737373737373737,1.0,-0.0921134033957204,0.0708304852232703,0.2670585939323395,1.102835678892105,1.1597053617584976,0.7721257302743612
Rplp1,0.0046192696192696,0.0379176379176379,0.3282051282051281,0.0291700805585185,0.0537080328745301,0.0843935351115118,3.605068207235605,3.7409469745401,0.7721257302743612
