gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Wdr26,0.0391701660299839,0.1989589310924021,0.8153345943552276,-0.0341708550274564,0.2562546211129848,29.56761115772438,0.617230947123843,0.7317041770333279,0.41415091304799184
Srp9,0.0139860139860139,0.3356643356643357,0.9550893550893552,-0.0437545039080354,0.0787447804869346,0.2147369393316934,0.8989341157366265,0.9449617399954192,0.5360931203627833
Celf2,0.3356643356643357,0.778865578865579,1.0,-0.1808144395873915,0.1234974717910004,0.389895877995747,0.7648169329773504,0.8391153090293291,0.7875724095236291
Atp5c1,0.0003108003108003,0.0006216006216006,0.04009324009324,0.3435376424787125,0.4744490981436957,0.6057024077382068,0.891137956567513,1.238700136302414,0.01627612153927887
Vim,0.0003108003108003,0.0037296037296037,0.0205128205128205,-0.3170707923342745,-0.2347570304889813,-0.166342727506762,3.06235850830547,2.608520412086765,0.03865578865578835
Abi1,0.20261353134705,0.6843747548063993,1.0,-0.2792926980165704,-0.1181606752031248,0.129402799444273,0.748268587042754,0.6915752713970615,0.7525667264229358
Il1rn,0.2318570318570318,0.5358197358197359,0.9562121212121204,-0.3561670916664625,-0.1242693759744367,0.0859316939573356,1.67007374401692,1.5195852322621126,0.7024250818717223
Edf1,0.0938616938616938,0.5358197358197359,1.0,-0.0721993658739057,0.0680732737544117,0.2180541630371504,1.0327207869098651,1.0809006126867526,0.7024250818717223
Rpl7a,0.0205128205128205,0.0721056721056721,0.2318570318570318,0.0760144587639279,0.1331466716647344,0.1961647173185333,2.097511062818725,2.3002337735368674,0.22776236109569445
Set,0.1892773892773893,0.6943278943278944,1.0,-0.1126720443811744,0.0479527329327693,0.2195125139090014,0.9337012171501772,0.9674970733508363,0.7525667264229358
Rpl12,0.2318570318570318,0.778865578865579,1.0,-0.0400772373147091,0.0047279449178937,0.0479926845519744,2.724368089118035,2.735943171296585,0.7875724095236291
Hspa5,0.0059052059052059,0.1205905205905206,0.6125874125874127,-0.3708992908752027,-0.2201002680524356,-0.0400459864851311,2.38556280584336,2.0521175160085225,0.2992208677994214
Rab14,0.0037296037296037,0.042658103683907,0.3968919968919969,0.0519800409879405,0.2105313382369987,0.4459650380757799,0.8185963068033635,0.9455885136934916,0.163249281405721
Gsn,0.0124422693390676,0.2318570318570318,0.9550893550893552,-0.0426993627884264,0.1453958813481217,0.4730928534187995,0.7013892090915774,0.7601896236274619,0.44708865639098183
Ggta1,0.0012432012432012,0.0721056721056721,0.6943278943278944,-0.5411851978109024,-0.2804559227059007,-0.0572146663178014,1.05227463785805,0.8647089351557917,0.22776236109569445
Rpl35,0.1892773892773893,0.6125874125874127,1.0,-0.071558857315247,-0.0200799338068221,0.0332948618776213,2.17658683513193,2.1508891464873576,0.7451399456289434
Zeb2,0.0012432012432012,0.0139860139860139,0.0938616938616938,-0.3797053003156619,-0.3067299000505822,-0.2027282026228875,1.82545566694944,1.4683703203138825,0.08043979142244989
Prpf40a,0.008969389134836,0.1168971876059197,0.5603528781901712,0.0845881835151021,0.3431847146218585,29.528951333083874,0.578564408811792,0.7438337438956335,0.2992208677994214
Cytip,0.0006216006216006,0.0093240093240093,0.0721056721056721,-0.8270784884526642,-0.5449468559781245,-0.3181908687670114,1.757543386893055,1.20849153556531,0.063543762173899
March7,0.0316624349894849,0.3248386127491286,1.0,-0.0587218952659204,0.1489306810540379,0.5615983918211163,0.73435071546741,0.809066833966943,0.5360931203627833
Rbms1,0.0003108003108003,0.0012432012432012,0.0093240093240093,-0.9562985973201276,-0.7367069978271584,-0.5199693656864646,1.298590950812375,0.7801633293411975,0.02397586328983711
Tank,0.1476485888064738,0.6125874125874127,1.0,-0.1706841425562736,0.0113737515818881,0.2856143266330552,0.831757764317775,0.8335411937111026,0.7451399456289434
Ppig,0.1205905205905206,0.5358197358197359,1.0,-0.2779291153352694,-0.119810886759378,0.0137625220866967,1.29196308281032,1.192702692822955,0.7024250818717223
Ssb,0.1168971876059197,0.4502910796846515,0.9538159449155053,-0.1337462189845822,0.1465168985160719,0.5586749867598231,0.708335792370668,0.7807330734036295,0.6512517614212529
Atp5g3,0.0036907536907536,0.0289044289044289,0.152913752913752,0.2048876414955684,0.3487131407096834,0.5096998071908168,0.969513424005379,1.230463246937802,0.1250430728691598
Hnrnpa3,0.0205128205128205,0.1892773892773893,0.6125874125874127,-0.2211921136859179,-0.1026078153344675,0.0119041991157958,1.3338141207074474,1.2457739700481925,0.3956533662416016
Nfe2l2,0.0289044289044289,0.280963480963481,0.8665112665112666,-0.0324715782450559,0.0663230083059282,0.2165692683999595,1.65803584187422,1.7343312968283362,0.4878859747969696
Itprid2,0.0014457807008947,0.0874803339251971,0.768278203545834,-29.37735695515627,-1.0814935000652088,0.0970008771786741,0.7077397493016331,0.3246757952888714,0.2645676640010916
Ptprj,0.1407135248526926,0.4502910796846515,1.0,-0.2229888415427306,1.068203094337949,29.35916503853451,0.3111437355615505,0.6278497533552464,0.6512517614212529
Spi1,0.0721056721056721,0.4634032634032634,0.9550893550893552,-0.0231719064538839,0.0795117260240597,0.1915035017193619,1.53850984329308,1.6252655098958888,0.6512517614212529
Cd44,0.0003108003108003,0.0003108003108003,0.0093240093240093,-0.5704201626238584,-0.4565885474719018,-0.3429289782566597,2.02806607623365,1.4713862829661326,0.015462315462314925
Caprin1,0.0409744656069086,0.3248386127491286,1.0,-0.0966507173613902,0.1795686344979403,29.350009321077422,0.638684703776658,0.7258173099857163,0.5360931203627833
Nop10,0.1143932955073067,0.6125874125874127,1.0,-0.2351644194986959,0.008768553361179,0.3094422296945921,0.675004218350073,0.6834391477508335,0.7451399456289434
Srp14,0.0037296037296037,0.04009324009324,0.1892773892773893,0.1650497117495734,0.2975472532251652,0.4281495962424025,0.907442955857149,1.115810108766215,0.15644225055989727
Pdia3,0.0093240093240093,0.1205905205905206,0.6943278943278944,0.0161552073088995,0.1244033558862784,0.2342204130414504,1.4382031899400651,1.5644350432096874,0.2992208677994214
Serf2,0.0537296037296037,0.280963480963481,0.8665112665112666,0.0196361729210818,0.0580202136588131,0.0996744055718951,2.29890339106376,2.39497476092581,0.4878859747969696
B2m,0.0003108003108003,0.0003108003108003,0.0003108003108003,0.218997940298851,0.2528619267285288,0.2976455953533101,3.18852518958164,3.7926585676619777,0.015462315462314925
Gatm,0.0725809615755736,0.3248386127491286,0.778865578865579,-0.0240396331901216,0.0913819046474693,0.2183159658278603,1.319683183693185,1.406735611191165,0.5360931203627833
Sppl2a,0.0264405478264638,0.1989589310924021,0.9536916548852497,-0.0458288901024042,0.2321737984163364,29.53206948225912,0.635654308069555,0.7348250087203669,0.41415091304799184
Dusp2,0.0617066900283126,0.2094823757163304,0.6849276722122628,-29.70507803397434,-1.9682947220783624,-0.5994094408623236,0.862041095426431,0.2242412836877847,0.4324376843106821
Bcl2l11,0.1168971876059197,0.549152198741513,1.0,-0.2357413436931972,0.0720773863098998,0.411883875270904,0.8049747645886705,0.8458733675794275,0.718011087710651
Il1b,0.0721056721056721,0.3356643356643357,0.8665112665112666,-0.3033482384051769,-0.1260244252375974,0.1363837549621805,3.18990799921225,2.9511723471404427,0.5360931203627833
Sirpa,0.0003108003108003,0.0037296037296037,0.0721056721056721,0.2641584314866096,0.3703418450793527,0.4933547597367028,1.0157726086101202,1.308404627394435,0.03865578865578835
Snrpb,0.1892773892773893,0.6943278943278944,1.0,-0.2162215554380463,-0.063162624126452,0.1069681504101013,0.880600123194032,0.840511387716655,0.7525667264229358
Smox,0.0205128205128205,0.280963480963481,0.6943278943278944,-0.5812943214588004,-0.3922945997732899,-0.152055885796855,1.09002003488162,0.822662736810418,0.4878859747969696
Dstn,0.0441363158740108,0.3389798439791219,1.0,-29.12245187061617,-0.9900881646987868,28.251547253767736,0.272523718609279,0.108142507135942,0.5405207448064524
Rrbp1,0.0003108003108003,0.0037296037296037,0.1205905205905206,0.2335342051019408,0.3321922323975025,0.4294534221392897,1.38386180221948,1.7365057524319776,0.03865578865578835
Snx5,0.0127611587574058,0.0559774506991504,0.20261353134705,0.1384147255044012,0.2986981363305825,0.4771711861665334,0.880470112645132,1.0674381230770549,0.1954300471777356
Cd93,0.0085509792371253,0.0639390893075438,0.1465605182649672,-30.214383149787523,-1.5843048539375897,-0.8675792541932227,1.2278857836907848,0.4205416283326537,0.2216703618850386
Cst3,0.0139860139860139,0.2318570318570318,0.8687257187257168,-0.1614057252205031,-0.0769770651490103,0.009936162273701,2.7925727587859,2.646832225209645,0.44708865639098183
Fkbp1a,0.0031399928189788,0.0235255986784301,0.1816653005134988,-0.8386950957518841,-0.4576614086997476,-0.2304227005189836,0.8128296955299654,0.590922468135731,0.11146652707160928
Mapre1,0.1476485888064738,0.6851773174958848,1.0,-0.2087007938731534,0.0055858428905774,0.1956612202816418,0.8948926843354781,0.8930891107309021,0.7525667264229358
Chmp4b,0.04009324009324,0.2318570318570318,0.8665112665112666,-0.3464248312202624,-0.1075767174467468,0.0502142521422721,0.982917372375588,0.9123986950290426,0.44708865639098183
Eif2s2,0.2318570318570318,0.6125874125874127,1.0,-0.0404721526195461,0.1387621573033681,0.3034449426695843,0.917251808353706,1.0141163160413424,0.7451399456289434
Eif6,0.0289044289044289,0.280963480963481,0.9538159449155053,-0.4932458596949592,-0.24069119501639,-0.0215977972883801,0.816385309262303,0.6856202405217651,0.4878859747969696
Romo1,0.0715733401137411,0.451509187944989,1.0,-0.0665687342013304,0.1123875704336768,0.3079421700127536,0.766926152296325,0.8307935656052807,0.6512517614212529
Rbm39,0.0059052059052059,0.0938616938616938,0.5358197358197359,-0.2311705602971217,-0.1213666713633345,-0.0263566206500939,1.51806107253579,1.3982666620066324,0.2645676640010916
Scand1,0.0021756021756021,0.0289044289044289,0.1892773892773893,0.1254365269739776,0.2798591609063314,0.5561242629850787,0.976991352712383,1.1714545913569423,0.1250430728691598
Rpn2,0.0471253041839123,0.3502013891792955,0.9536916548852497,-0.1450328571406449,0.1899035161499622,29.49172827097644,0.6468895381273421,0.7348973759869426,0.5575206115734384
Tgm2,0.0003108003108003,0.0014457807008947,0.0031399928189788,0.784861038995759,0.9886532520844442,1.2194151038353822,0.8252741220876908,1.61438913507426,0.02397586328983711
Mafb,0.0012432012432012,0.0059052059052059,0.054079254079254,-0.3307870221992657,-0.2293080130901017,-0.1249349923125672,2.62041968126381,2.2289413846213098,0.05199716704141478
Top1,0.0938616938616938,0.3968919968919969,0.9550893550893552,-0.2140387649540486,-0.0941043664949374,0.0071985775324441,1.65038796340783,1.5578947570313175,0.5974395414637472
Serinc3,0.0139860139860139,0.280963480963481,0.9550893550893552,-0.0723478138082659,0.1284240210951512,0.2510114490747125,0.901404154502027,0.9922572272267532,0.4878859747969696
Ywhab,0.0037296037296037,0.1205905205905206,0.8665112665112666,-0.3476318079346236,-0.1543503721037748,-0.0048089480247531,1.02714446993705,0.927643690006558,0.2992208677994214
Sdc4,0.0003108003108003,0.0059052059052059,0.0640466338747707,-0.867808913367606,-0.589227626770959,-0.3615442071060586,1.489938162869775,0.981506261019056,0.05199716704141478
Ctsa,0.054079254079254,0.3356643356643357,0.778865578865579,-0.0135444780573767,0.0995177429986689,0.2199359920244414,1.474987392018995,1.5804793973301925,0.5360931203627833
Pltp,0.3837143535858314,0.8153345943552276,1.0,-0.7061320820117611,-0.2241759138531349,0.084098753344036,0.805482941202306,0.6856804987850189,0.8227767965349406
B4galt5,0.0172688724201217,0.1321178224188759,0.5169636389070447,-1.6079528318494154,-0.6152602272600474,-0.2122238993858347,0.7725713610407601,0.511990639330983,0.3245857612513124
Tmem189,0.054079254079254,0.3968919968919969,0.9550893550893552,-0.0448426382116173,0.1375460401908233,0.3524635567816344,0.883617180726014,0.9721514849317598,0.5974395414637472
Cebpb,0.0003108003108003,0.0012432012432012,0.0205128205128205,-0.2693121142002173,-0.2066056998821111,-0.1544939180965529,3.16445076684326,2.739318394383215,0.02397586328983711
Ptpn1,0.0003108003108003,0.0006216006216006,0.0093240093240093,0.3006440121614146,0.4397385034775408,0.5851538343034578,1.05310650569035,1.42433433992532,0.01627612153927887
