gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Rbx1,0.054079254079254,0.6125874125874127,1.0,-0.103204131013028,0.0058282268352421,0.1150761481620341,0.982917372375588,0.9881729708633192,0.6930692536356945
Tob2,0.3837143535858314,0.772139521993872,1.0,-0.2909254987636236,-0.0380418975328713,0.1614697936209086,0.7570864291098365,0.7348862096090842,0.78615270866234
Snu13,0.054079254079254,0.2318570318570318,0.6441632687487103,-0.3353952287132185,-0.1909726022503012,-0.0568100843512006,0.8421928358310025,0.7370486486437389,0.3630408064292646
Smdt1,0.1205905205905206,0.6125874125874127,1.0,-0.0723455644939536,0.0542276560085423,0.1905276077995057,1.11708103740762,1.1547639743841724,0.6930692536356945
Ndufa6,0.0205128205128205,0.1205905205905206,0.3968919968919969,0.045154451177139,0.2176584173246435,0.3966131112070533,0.91383777063941,1.063713598538345,0.22475916134452723
Poldip3,0.00800994232988,0.0702942294187667,0.4436570559117131,29.04649145131059,29.16579764950248,29.30986803876567,0.0,0.6022543412834828,0.16386840476059808
Tspo,0.0021756021756021,0.0289044289044289,0.1892773892773893,0.1879497569665015,0.2927934780409628,0.4059888383388544,1.2256466217019049,1.5026061430262136,0.10116550116550116
5031439G07Rik,0.1114870540402245,0.4457438981756782,1.0,-28.74462122244568,-0.607490231048802,28.744086091493635,0.449772813510279,0.314192156145749,0.5797831980526198
Pim3,0.0025903828378144,0.0191546447804258,0.2155290714411038,27.203727522716303,28.83592592414429,29.09008629746173,0.0,0.4791579169616606,0.07987370025586579
Zcrb1,0.0025903828378144,0.0687438363880664,0.530252539023499,28.31412817891221,28.84647947758511,29.02333768504499,0.0,0.4826758734545405,0.1637353193970309
Scaf11,0.0023049801979101,0.0327788695088586,0.3768684553497324,28.887799713865384,29.10164649024848,29.26815454633432,0.0,0.5760610596853599,0.10990209630575261
Slc38a1,0.0718263311415725,0.4478307404396433,1.0,-0.8734483027175866,-0.322384206107806,0.8787682267301519,0.709436020959291,0.5668582166947009,0.5802858098746391
Slc38a2,0.0112833336286544,0.0265056439856757,0.0921673180446737,-3.9728475672094423,-0.9438770193113392,-0.5125409184423662,0.867210670616159,0.4584243146406273,0.09840354467556527
Arf3,0.0074408008082341,0.1332470203401324,0.5039104645747324,0.0,28.230091873829608,28.912680313841012,0.0,0.3148537901482106,0.24340142958546093
Tuba1b,0.0409970611329001,0.3014633148718095,0.9536916548852497,-0.1396183017749635,0.1830035213402939,29.55251166713169,0.657730165735909,0.7220057922474925,0.4363723121348845
Tuba1c,0.1465059183883013,0.52296164404117,1.0,-0.4607664990615618,-0.2190621551975573,29.21423684776359,0.739005693864162,0.6353169684776232,0.6431239499302327
Tmbim6,0.0037296037296037,0.0289044289044289,0.152913752913752,0.1008970731025343,0.1803846948880474,0.2672407745653442,1.25895816894009,1.4257922452881375,0.10116550116550116
Cox14,0.0007946359005854,0.0101774423782037,0.1272980462544935,28.997704042895627,29.115233443564705,29.266955189332844,0.0,0.5815118866460027,0.06642501537945047
Dazap2,0.0205128205128205,0.2318570318570318,0.8665112665112666,-0.1969131747403151,-0.0992749844732418,-0.0114529060506486,1.29618835374121,1.2120302322200438,0.3630408064292646
Eif4b,0.0007946359005854,0.0025903828378144,0.0280438836937886,28.963979505139477,29.127056556295027,29.256187746500338,0.0,0.5862970573734658,0.03276387672104558
Pfdn5,0.0093240093240093,0.1892773892773893,0.8665112665112666,-0.0015930925466649,0.0484978338219951,0.0977269817560193,1.728715707939965,1.787696066800505,0.31105262718165944
Prr13,0.0086031545339284,0.0702942294187667,0.2698712949217355,0.1516274900869558,1.6611049870921657,29.60800027647358,0.2546021158359535,0.7675493130499342,0.16386840476059808
Pcbp2,0.054079254079254,0.3968919968919969,1.0,-0.1003911478321332,-0.0400191424940742,0.0350405399113977,1.42162860558442,1.3842698111112377,0.5210450410164083
Atp5g2,0.0012432012432012,0.0093240093240093,0.0938616938616938,0.118702967233115,0.1720226228398994,0.2394509208591086,1.491250330084185,1.674408345491545,0.06173369350264641
Hnrnpa1,0.0721056721056721,0.3968919968919969,0.9550893550893552,-0.2373162702926176,-0.091032802465405,0.0396462601509862,1.09883456028494,1.0363203642259062,0.5210450410164083
Nckap1l,0.002897406665267,0.0702942294187667,0.3209116751597887,1.3952218088631656,29.40755453162944,29.527892132958964,0.0,0.7141583094191599,0.16386840476059808
Crebbp,0.0173711500544092,0.2561796261420456,0.9513641829362992,0.0,28.419870082507693,28.980988611779416,0.0,0.36020956899085,0.3951500709373521
Glyr1,0.0191546447804258,0.0980347968077632,0.6791567288705544,0.0,26.70975557011085,28.4689783960018,0.0,0.109758357543328,0.19714453656297995
Ubn1,0.029108820245589,0.2465045573584016,0.9523456446736592,-0.0378465835458699,29.01632861370166,29.148182337922226,0.0,0.5472145809825038,0.38118832900110333
Ciita,0.0007946359005854,0.0007946359005854,0.0074408008082341,29.367071643591487,29.553130932332166,29.69085157820757,0.0,0.787732703788399,0.029147244833472474
Litaf,0.0012432012432012,0.0205128205128205,0.1892773892773893,-0.2158593346052722,-0.146814850910731,-0.0825031348602034,1.5872366417773351,1.4316579209449674,0.07987370025586579
Zc3h7a,0.0191546447804258,0.0449578329938776,0.3343475784622092,0.0,26.26308402814542,28.381638987483445,0.0,0.0805334057444212,0.11678847834386902
Rsl1d1,0.0191546447804258,0.0449578329938776,0.5039104645747324,0.0,27.704292088398716,28.9268935836566,0.0,0.2186869790471595,0.11678847834386902
Gspt1,0.0143267497659919,0.2628903364198475,0.9535370035568168,28.319092520865787,28.95176077855881,29.093837444954207,0.0,0.5192164250532334,0.4034651690326362
Mapk1,0.0191546447804258,0.3013890417146279,1.0,0.0,26.57217975593698,28.558066186338337,0.0,0.099775325290795,0.4363723121348845
Sdf2l1,0.0023049801979101,0.0231509519852463,0.1202328005368122,29.22620445534217,29.35815776589217,29.504892899140085,0.0,0.6881547379423015,0.08808889199365501
Ube2l3,0.0139860139860139,0.1205905205905206,0.5377389277389261,0.0119652985683173,0.1505015128776334,0.2784523156175233,0.876029118427685,0.9728243722648138,0.22475916134452723
Ranbp1,0.1116117682982922,0.5207033237981002,1.0,-0.1558888483231622,0.1524534968332818,29.31388194141393,0.5892651574488059,0.6414621005392156,0.6431239499302327
Ap2m1,0.0687438363880664,0.6477042192622259,1.0,-0.5928273278558783,28.516699426119203,29.016893415946647,0.0,0.4141333383631808,0.7247648188693852
Psmd2,0.0025903828378144,0.0191546447804258,0.1479409233004462,28.265174774173296,28.98655021440075,29.13965661517222,0.0,0.5318890928812419,0.07987370025586579
Eif4g1,0.0025903828378144,0.0191546447804258,0.1332470203401324,25.90787526203859,28.562780164249094,29.04113566147479,0.0,0.3965094916264045,0.07987370025586579
Tra2b,0.1892773892773893,0.6943278943278944,1.0,-0.2058739886341614,-0.0750828998190007,0.0439120382168331,1.051590029589325,1.0001367918854922,0.7369197674753232
Dnajb11,0.0025903828378144,0.0191546447804258,0.2414967793951539,0.0,28.531707131293164,29.03178381675446,0.0,0.3880610256846395,0.07987370025586579
Eif4a2,0.0240225178357029,0.0901559774973563,0.3013890417146279,27.8065726474922,28.97538626187658,29.18949525062905,0.0,0.5277890823259139,0.1940725440161741
Ccdc50,0.0056142135483653,0.0540064437120849,0.4502910796846515,0.0114901989308269,29.38438672628523,29.56034229914605,0.0,0.7287174458894686,0.13366759027136366
Atp13a3,0.0518299272179096,0.231997723628734,0.4436570559117131,28.94999162275823,29.134937045867577,29.24844152187378,0.0,0.589628933301916,0.3630408064292646
Acap2,0.0025903828378144,0.0901559774973563,0.530252539023499,27.717611069662503,28.863504142927106,29.037088712103355,0.0,0.488405478179273,0.1940725440161741
Ppp1r2,0.0729980454301154,0.3602408127769453,0.953446324928287,-0.1662773290147998,28.90199429147807,29.13610339121168,0.0,0.5054921254347525,0.4945221935875132
0610012G03Rik,0.0025903828378144,0.0191546447804258,0.0980347968077632,26.76489468548103,28.64811629120649,29.09061725966729,0.0,0.4206707559151655,0.07987370025586579
Pak2,0.2318570318570318,0.6943278943278944,1.0,-0.1928626778305171,-0.0577574253829282,0.109070525506982,1.0074210306452551,0.9568559852706064,0.7369197674753232
Nrros,0.0239017976171966,0.1828417017123981,0.6022000059254968,0.0116576079497242,0.2571622940610339,0.728204481859763,0.657730165735909,0.7860712830415936,0.30764374398214506
Pcyt1a,0.1149197468315532,0.4404378277683703,1.0,-0.2934731278222053,29.07269956475067,29.237336690501607,0.0,0.5709954020768299,0.5741030391806619
Rpl35a,0.0721056721056721,0.280963480963481,0.778865578865579,-0.0358940191347,-0.0187125077026075,0.0046737190493145,3.5137308074496,3.467232840484565,0.41859222102926413
Itgb5,0.0015383197232882,0.0049728499972615,0.0215562667600163,29.54540869727589,29.68389123607637,29.80112290797579,0.0,0.8624653784160876,0.04800108892093469
