gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Lrrfip1,0.022057266951135,0.1198301182821306,0.4824164483607208,-0.3141708665332572,-0.1303834986119963,-0.0100056400425726,0.871636647661803,0.8017402225410954,0.3757270725772566
Cops9,0.022057266951135,0.1422164007303326,0.6419036360134158,-0.0108580076726179,0.271172755833188,0.7238053963017154,0.657730165735909,0.8003811288249074,0.4086995593803733
Hdlbp,0.2187886196481921,0.7544930115071693,1.0,0.0,28.674281590175735,29.074553491441257,0.0,0.4358961946511998,0.8145157986833559
Vps4b,0.0098108848038747,0.0784432237751736,0.4970691104142616,0.0449754675306628,29.460904160211143,29.5559873964531,0.0,0.7572987669044093,0.3174457820218331
Dbi,0.0283400809716599,0.1673414304993252,0.9018020163531,-0.206849067045172,-0.1171581238124605,0.0179151805165719,1.15930125268211,1.07481779742009,0.4393176357232839
Actr3,0.2614114471699611,0.6503532587123918,1.0,-0.0862727461564282,-0.0206323574267625,0.0438543684005822,1.61732432517537,1.598017574846655,0.8145157986833559
Ubxn4,0.2614114471699611,0.7108438517107247,1.0,-0.1744955342859447,-0.0457892208956275,0.1327285547963576,0.856656764178783,0.8284160373108087,0.8145157986833559
Cxcr4,0.0002778439310947,0.0037310470747003,0.0221084385171072,0.1859480105853601,0.3097078118628729,0.4054085896391918,1.216983608798315,1.5145872202481074,0.09399063269032246
Mapkapk2,0.0283400809716599,0.3402397396205445,0.967135032150512,-0.0307779044768068,0.0779087115192691,0.2220150624216867,0.910362007949293,0.9610222801998106,0.637411157770134
Rab7b,0.0556481701992537,0.1198301182821306,0.384456616654759,-0.3151369380485912,-0.1982636749994635,-0.0737280442452764,1.593493588551385,1.3829145157246614,0.3757270725772566
Snrpe,0.0358418671112169,0.2614114471699611,0.967135032150512,0.0002320044139072,0.0990488012720798,0.1802974058875193,0.963915301084427,1.02738570955473,0.5659436496114031
Btg2,0.0164388168954547,0.0969142173739389,0.1725199962070955,-29.80318309038061,-29.46469676485587,-29.113891239327504,0.740896492496562,0.0,0.3401437509681319
Ptprc,0.0011907597046915,0.0170675557672461,0.2268397237437485,-0.1377035916616399,-0.0793365187678167,-0.028289462692869,2.01742049224816,1.908827217723456,0.15193974457458184
Rgs1,0.0026196713503215,0.0221084385171072,0.2201943430476198,0.2551902848177121,0.4480661136237991,0.757250879711962,1.27288339611673,1.7296819044838037,0.1745092746950328
Ptgs2,0.0991939225092344,0.5918075732317218,1.0,-0.0579465609308314,0.1589117322892591,0.7797732726529888,1.41458546225642,1.584132655948655,0.8128772235572606
Tpr,0.0683496070492974,0.5918075732317218,1.0,-0.1950352558712516,-0.0586576696242858,0.0961017170630728,0.818100468036554,0.7856379341282632,0.8128772235572606
Rgl1,0.3673988319436087,0.7967693409974488,1.0,-0.4094813707970621,-0.1601897020860003,0.3367936795326441,0.767234548898252,0.6847628474832362,0.8372378357569918
Arpc5,0.1948569103754862,0.5918075732317218,1.0,-0.0318478510749692,0.0283491936151456,0.0877693584257328,1.5437267097578848,1.5770499595286238,0.8128772235572606
Ncf2,0.1002619671350321,0.4824164483607208,0.967135032150512,-0.1769709097646836,-0.0919032309510106,0.0063770924431021,1.30788382248323,1.2293904646625762,0.7505664584219361
Rnasel,0.004583603093127,0.0635540513026328,0.3310550639210005,-29.45189399936768,-29.30606661035958,0.0,0.663750871003644,0.0,0.28720609443632533
Ier5,0.0128989045010716,0.1422164007303326,0.8369453044375644,-0.2330036316694862,-0.094872942976746,0.0105768766683603,1.05401891312529,0.9879113926121847,0.4086995593803733
Tor1aip1,0.2348193869804887,0.4647187908899939,0.9643668721326168,-29.30605444069208,-0.7097373081295572,28.44809758808812,0.64374585027623,0.3579730757950209,0.7415458873500712
Soat1,0.0026196713503215,0.0125040494402771,0.0826422754771948,0.1384701802069523,0.2606179947951061,0.5960624254826066,0.8244661969885234,0.9870334091467784,0.1409859490354839
Gas5,0.082632138132305,0.2195861585503833,0.4723279998326053,0.0174888729929679,0.1433568890849711,0.3423007303570692,0.829347466855935,0.9078339996055778,0.5350164002242992
Prdx6,0.3798757697432404,0.7585816806608056,1.0,-0.2114600415682746,29.10082732833205,29.338811158886656,0.0,0.5924243337500132,0.8145157986833559
Prrc2c,0.0556481701992537,0.4319679288719536,0.967135032150512,-0.0337730023268018,0.0686305590948609,0.1851054280119317,1.1311041336747,1.1895855271122864,0.7015775415423774
Creg1,0.271238133026078,0.7997601285820589,1.0,-0.1198084084026948,0.0396854700512455,0.1947276874729399,0.84046229681534,0.8672282263217825,0.8372378357569918
Fcgr2b,0.0011907597046915,0.005239342700643,0.1198301182821306,-0.4892770635491355,-0.3569137524376887,-0.2286759623446789,1.53564386274411,1.20131859684226,0.11077467424216629
Fcgr3,3.969199015638645e-05,0.0004763038818766,0.005239342700643,-0.4128393177120272,-0.3090417486586176,-0.2069852815809664,1.52886346931311,1.237117026434095,0.03317316447893496
Fcer1g,3.969199015638645e-05,0.0002778439310947,0.0026196713503215,-0.1477616763661035,-0.123362329434094,-0.093408593959538,3.09029701910837,2.837545463575665,0.029906110401465888
Slamf7,0.0191021715635158,0.1301449655357609,0.3304772363370218,0.0,27.628900604738348,29.006295662254452,0.0,0.2075534083302812,0.40232803967190844
Pea15a,0.3535903396961888,0.68089429484237,1.0,-1.4300191876214603,26.84102359208348,28.88937799853876,0.0,0.1232261605692352,0.8145157986833559
Igsf8,0.0191021715635158,0.0357321958146172,0.1666950039262406,0.0,28.21737044043908,29.177945814029503,0.0,0.312086440535996,0.21218385329840408
Tagln2,0.0001587679606255,0.0011907597046915,0.0170675557672461,-0.3096189166458322,-0.2224354271502636,-0.1312271189380947,1.52727860457013,1.3090162421489375,0.056394379614189444
Slamf8,0.0441785949743555,0.0909006044254698,0.3304772363370218,27.588345315449374,28.92235084406637,29.17461706978724,0.0,0.5087391362905908,0.3401437509681319
Ifi207,0.2991188378185282,0.7732396602365642,1.0,-0.1151155303825046,0.0139754603467573,0.1502617110789392,1.351329917452155,1.3627865854976726,0.8145157986833559
Hnrnpu,0.195562435500516,0.7108438517107247,1.0,-0.0702480109974051,0.0207563749812507,0.0989300728875843,1.2357736342759549,1.2550635978425075,0.8145157986833559
Acbd3,0.0868332607874794,0.4041576112195333,0.8262361973533733,29.158917668401923,29.427050537315612,29.531326607248467,0.0,0.7227722120182565,0.6995944615262096
H3f3a,0.0358418671112169,0.195562435500516,0.6503532587123918,-0.0512503796856594,-0.0266518858501965,-0.0048416282032333,2.7749355902496,2.7253789037860665,0.4937013297070596
Wdr26,0.0025821558136421,0.0248582541509547,0.1629806968918196,0.1354595888046584,0.3819529897849359,29.619524743358763,0.601550604950969,0.7964037314639494,0.18436624104640284
Srp9,0.0170675557672461,0.1673414304993252,0.7124037469238693,0.0179251573713227,0.1062566962591023,0.2413201574028928,0.902970787159965,0.966151657267514,0.4393176357232839
Celf2,0.1422164007303326,0.6461284473629039,1.0,-0.1890743678747257,-0.002886234701093,0.1334512233981786,0.76771229186611,0.764201663208352,0.8145157986833559
Atp5c1,0.0017861395570373,0.0283400809716599,0.3402397396205445,0.1178199300757798,0.2048906698440307,0.2967480404971877,0.88840990632183,1.022772414693075,0.18436624104640284
Vim,0.009764229578471,0.0556481701992537,0.1422164007303326,-0.2073860284187363,-0.1509567693601812,-0.1101385402607325,3.06235850830547,2.761502257866855,0.2656751351448241
Mrc1,0.0216312497181542,0.0667678090703781,0.1594569368853751,-2.58306360006727,-1.3135527994667435,-1.0175188458734206,1.63745632647704,0.6587424233372066,0.2890211955227433
Abi1,0.3302047790823897,0.7663825503387747,1.0,-0.3172011868934496,-0.1537318046549178,0.1358609448175902,0.748268587042754,0.6750634518859511,0.8145157986833559
Il1rn,0.535841867111217,0.9018020163531,1.0,-0.1237308290653393,0.0292103522371358,0.2208854677096227,1.67007374401692,1.6970898421697962,0.9018020163531
Edf1,0.0683496070492974,0.3402397396205445,0.8369453044375644,0.005181830420184,0.1061217622730846,0.2311319831938469,1.0327207869098651,1.107687332168545,0.637411157770134
Notch1,0.0018888773370054,0.0049541393262682,0.0443945668350431,-29.854955340442803,-29.689146983226845,-2.1693557207694005,0.865613033819709,0.0,0.11077467424216629
Rpl7a,0.0283400809716599,0.1422164007303326,0.6518655235373487,0.0304487011596122,0.068644740659406,0.1047708922439262,2.09323486381217,2.197673680434585,0.4086995593803733
Ralgds,0.009676412056069,0.0357321958146172,0.2387856877012992,26.612306334628816,28.90024960533741,29.130266820395484,0.0,0.5010049451953658,0.21218385329840408
Set,0.1198301182821306,0.5918075732317218,1.0,-0.0426220310086913,0.0499560669706948,0.1618705265002326,0.9328764680407056,0.9671935731849964,0.8128772235572606
Fnbp1,0.0171158788006423,0.1526965374369194,0.6877604395523811,0.2390140489475049,29.14610113388989,29.29698613011484,0.0,0.6007653055954005,0.4304588102983633
Rpl12,0.0071842502183059,0.0556481701992537,0.4824164483607208,-0.0942841727582349,-0.0545731426456987,-0.0165474253322151,2.724368089118035,2.620402880183713,0.2656751351448241
Hspa5,0.195562435500516,0.535841867111217,0.967135032150512,-0.0146500564883793,0.0616656845159714,0.1148114123634445,2.3844535781757177,2.4938003543857974,0.7871423953594056
Traf1,0.0056732103807533,0.0390562023728528,0.1791423658323184,1.6957670388445811,29.653840531292968,29.731123663232125,0.0,0.8461503078710398,0.22339393048047207
Rab14,0.0556481701992537,0.2268397237437485,0.9018020163531,0.0027249751140338,0.1115168180373631,0.3255374886937924,0.821133309338827,0.8885497740795716,0.5350164002242992
Gsn,0.0026196713503215,0.0383086691932545,0.3311086203992074,0.09728523103515,0.2364227933504432,0.5101536221902684,0.7013892090915774,0.81977203144125,0.22234051139614378
Ggta1,0.2614114471699611,0.7108438517107247,1.0,-0.1567988806564429,-0.0488695113685846,0.0626120917642931,1.05227463785805,1.0199547603255854,0.8145157986833559
Rpl35,0.3402397396205445,0.7108438517107247,1.0,-0.0296854241867139,0.0068430740819774,0.0352548010386181,2.176148202716,2.189210962046737,0.8145157986833559
Zeb2,0.0358418671112169,0.1422164007303326,0.4824164483607208,0.0022910441159902,0.0654988703309409,0.1449806861203693,1.82545566694944,1.9049351446733225,0.4086995593803733
Prpf40a,0.0367046746030574,0.2530530366638864,0.8982280851601329,0.0075003105356382,0.2840266112884724,29.461731673478432,0.563938464965742,0.7068180050227123,0.5659436496114031
Cytip,0.7108438517107247,0.9018020163531,1.0,0.0691787573797099,0.1716735772532645,0.2874090720134306,1.757543386893055,1.9803064080949115,0.9018020163531
March7,0.0987488370284312,0.5254410213627343,1.0,-0.4197454040246732,-0.1816075499296345,1.2519546208287449,0.727813882105881,0.6417464119796163,0.7871423953594056
Rbms1,0.2268397237437485,0.7108438517107247,1.0,-0.1276351136800883,-0.0201482806225165,0.0775903296022901,1.30558830846303,1.2859004730275123,0.8145157986833559
Tank,0.1503966612730918,0.6724684844374476,1.0,-0.2113499586697197,-0.0533773963208562,0.1873311991071207,0.834404128536679,0.8052297313714858,0.8145157986833559
Ppig,0.195562435500516,0.4319679288719536,0.8369453044375644,0.0296805000612685,0.1175165610703847,0.2179173354515758,1.29196308281032,1.4004420771781438,0.7015775415423774
Ssb,0.1629668384422399,0.6461284473629039,1.0,-0.0817534923276179,0.073339326840147,0.446955080491197,0.708335792370668,0.742696729803742,0.8145157986833559
Dync1i2,0.1951283583458704,0.7419456725118766,1.0,-28.74462122244568,27.71377027222188,28.971721335953045,0.0,0.341602656296531,0.8145157986833559
Wipf1,0.0009498533725066,0.0046137260846802,0.0270975086943181,29.36649103712096,29.482378301781296,29.56514857076061,0.0,0.7509841618509964,0.10925303368522714
Atp5g3,0.0002778439310947,0.0129792807811383,0.1002619671350321,0.1623565516621018,0.2577283350494913,0.37516401403609,0.969513424005379,1.1549828770166226,0.1409859490354839
Hnrnpa3,0.0283400809716599,0.2268397237437485,0.7732396602365642,-0.0032260695985487,0.0732631925153812,0.1532865005559045,1.333348529314835,1.4019737165410486,0.5350164002242992
Nfe2l2,0.0037310470747003,0.0221084385171072,0.0831150273874732,0.1166376260704503,0.1763437041373942,0.2506466343409173,1.65803584187422,1.8725589186588976,0.1745092746950328
