Variable 1,Variable 2,Edge Name,Measurable 1,Measurable 2,Cell Type 1,Cell Type 2,Edge Type,Percent Inclusion,Median Combined p-Value,Median Corrected p-Value,metapy_comb_pval,metapy_fdr_adj_pvals,Min,99.99% Confidence Interval Lower Bound,99.74% Confidence Interval Lower Bound,95.45% Confidence Interval Lower Bound,68.27% Confidence Interval Lower Bound,Median,68.27% Confidence Interval Upper Bound,95.45% Confidence Interval Upper Bound,99.74% Confidence Interval Upper Bound,99.99% Confidence Interval Upper Bound,Max,Percentile of 0
Srrm2_T4,Fau_T4,Srrm2_T4<==>Fau_T4,Srrm2,Fau,T4,T4,T4<==>T4,0.0,0.0461459070912627,0.2090411527696942,0.0026710028759055,0.0042191917333002,-0.85,-0.8499678571428572,-0.8491642857142857,-0.835375,-0.7449546428571427,-0.5511904761904761,-0.2141774999999999,-0.0818357142857143,-0.0652885714285715,-0.0643242857142857,-0.0642857142857142,1.0
Elob_B3,Matr3_M3,Elob_B3<==>Matr3_M3,Elob,Matr3,B3,M3,B3<==>M3,0.6,0.1196243498866212,0.6622548353107033,0.0007520392187891,0.0026458630829595,-0.6999999999999998,-0.6999796428571428,-0.6994707142857142,-0.6907374999999999,-0.6517058333333333,-0.5738095238095238,-0.2609290476190473,0.0354666666666665,0.0648838095238093,0.0665980952380951,0.0666666666666666,0.9
Prss32_O15,Rpl10_T4,Prss32_O15<==>Rpl10_T4,Prss32,Rpl10,O15,T4,O15<==>T4,0.0,0.0283474762100341,0.1548987092905438,0.0003603928163726,0.0019385804840049,-0.8619047619047618,-0.8618886904761904,-0.8614869047619047,-0.8545922619047619,-0.7905363095238096,-0.6749999999999999,-0.4639180952380951,-0.2431261904761906,-0.1934847619047622,-0.1905919047619049,-0.1904761904761904,1.0
Atp6v0c_M0,H2-DMb1_M0,Atp6v0c_M0<==>H2-DMb1_M0,Atp6v0c,H2-DMb1,M0,M0,M0<==>M0,0.8,0.2756273797839886,0.78326069713486,0.0009343509720206,0.0028480934883586,0.1047619047619047,0.1048690476190475,0.107547619047619,0.1535119047619047,0.3897169047619047,0.5357142857142857,0.8296863095238096,0.8951815476190476,0.8974797619047619,0.8976136904761904,0.8976190476190475,0.0
Atp6v0c_M0,Ssr4_T2,Atp6v0c_M0<==>Ssr4_T2,Atp6v0c,Ssr4,M0,T2,M0<==>T2,0.5,0.4499323560712968,0.9412102956898972,0.0020052861927299,0.0037075830211113,0.1976190476190475,0.1976586904761904,0.1986497619047618,0.2156565476190475,0.2938638095238094,0.4083333333333332,0.5265580952380953,0.6261690476190475,0.6463933333333332,0.6475719047619046,0.6476190476190475,0.0
Atp6v0c_M5,Gramd3_M5,Atp6v0c_M5<==>Gramd3_M5,Atp6v0c,Gramd3,M5,M5,M5<==>M5,0.8,0.0,0.0,0.001394788246017,0.0032719687009179,0.15,0.1500503571428572,0.1513092857142857,0.1729125,0.3148766666666667,0.6845238095238094,0.7765340476190475,0.8637767857142856,0.8844607142857142,0.8856660714285713,0.8857142857142857,0.0
Atp6v0c_M5,Unc93b1_M5,Atp6v0c_M5<==>Unc93b1_M5,Atp6v0c,Unc93b1,M5,M5,M5<==>M5,0.9,0.0,0.0,0.0,0.0,0.3142857142857143,0.3142964285714286,0.3145642857142857,0.3191607142857143,0.402272738095238,0.6333333333333333,0.7840445238095238,0.8307827380952381,0.837677380952381,0.8380791666666667,0.8380952380952381,0.0
Rps2_B0,Rps2_T3,Rps2_B0<==>Rps2_T3,Rps2,Rps2,B0,T3,B0<==>T3,0.7,0.1164506589155137,1.0,0.0009343509720206,0.0028480934883586,0.1547619047619047,0.1548572619047619,0.1572411904761905,0.1981494047619047,0.4135264285714286,0.5833333333333334,0.6990414285714286,0.7357142857142857,0.7357142857142857,0.7357142857142857,0.7357142857142857,0.0
Rps2_B0,H2-T22_M4,Rps2_B0<==>H2-T22_M4,Rps2,H2-T22,B0,M4,B0<==>M4,0.0,0.23240132899387,1.0,0.0027949639229216,0.0042191917333002,0.0595238095238095,0.0596716666666666,0.0633680952380953,0.1267988095238094,0.4206933333333333,0.588095238095238,0.65481,0.687120238095238,0.6880395238095237,0.6880930952380951,0.688095238095238,0.0
Rps2_B0,Man2a1_O7,Rps2_B0<==>Man2a1_O7,Rps2,Man2a1,B0,O7,B0<==>O7,0.0,0.2250096986218212,1.0,0.0011447386591745,0.0030072959779545,0.2261904761904762,0.2262397619047619,0.2274719047619048,0.2486154761904762,0.340807738095238,0.476190476190476,0.6513742857142857,0.8204672619047617,0.8595369047619045,0.8618136904761903,0.8619047619047618,0.0
