Variable 1,Variable 2,Edge Name,Measurable 1,Measurable 2,Cell Type 1,Cell Type 2,Edge Type,Percent Inclusion,Median Combined p-Value,Median Corrected p-Value,metapy_comb_pval,metapy_fdr_adj_pvals,Min,99.99% Confidence Interval Lower Bound,99.74% Confidence Interval Lower Bound,95.45% Confidence Interval Lower Bound,68.27% Confidence Interval Lower Bound,Median,68.27% Confidence Interval Upper Bound,95.45% Confidence Interval Upper Bound,99.74% Confidence Interval Upper Bound,99.99% Confidence Interval Upper Bound,Max,Percentile of 0
Ifitm1_M2,Calm1_T3,Ifitm1_M2<==>Calm1_T3,Ifitm1,Calm1,M2,T3,M2<==>T3,0.0,0.0,0.0,0.0087360073948469,0.0128156935922771,0.2126984126984127,0.2127255555555555,0.213404126984127,0.2250484126984127,0.3246295238095237,0.6634920634920634,0.797560634920635,0.9273559523809524,0.9509509523809524,0.9523259523809524,0.9523809523809524,0.0
Ifitm1_M2,Ighv1-14_B3,Ifitm1_M2<==>Ighv1-14_B3,Ifitm1,Ighv1-14,M2,B3,B3<==>M2,0.8,0.1523411354698656,0.8449401311215405,0.009652669441938,0.0132886994226487,0.3105796296034861,0.3106283071298847,0.3118452452898516,0.3327279041148824,0.4244632251180993,0.5479033565180775,0.7656383307106459,0.8173581336166785,0.819438718623102,0.8195599648355976,0.8195648146840974,0.0
Ifitm1_M2,Vapa_M1,Ifitm1_M2<==>Vapa_M1,Ifitm1,Vapa,M2,M1,M1<==>M2,0.0,0.4002152522690688,0.9668860403896096,0.0052812878003528,0.0103938071751297,0.1857142857142856,0.1857749999999998,0.187292857142857,0.2133392857142856,0.3226723015873015,0.4373015873015873,0.4891259523809522,0.7022555555555553,0.7525098412698409,0.7554384126984124,0.7555555555555554,0.0
Ifitm1_M2,Ms4a6c_M0,Ifitm1_M2<==>Ms4a6c_M0,Ifitm1,Ms4a6c,M2,M0,M0<==>M2,0.6,0.2907501575982956,0.9004182379088608,0.014972442477717,0.0180934199271585,0.2015873015873015,0.2016415873015872,0.2029987301587301,0.2262873015873015,0.3650072222222221,0.4841269841269841,0.6286515873015873,0.725420238095238,0.7373709523809524,0.738067380952381,0.7380952380952381,0.0
Ifitm1_M3,Ifitm3_M3,Ifitm1_M3<==>Ifitm3_M3,Ifitm1,Ifitm3,M3,M3,M3<==>M3,0.7,0.1963285398168737,0.6722027502115754,0.0066443084079656,0.0113665387449149,0.3714285714285714,0.3714457142857143,0.3718742857142857,0.3792285714285714,0.4129194444444443,0.6238095238095238,0.7401566666666666,0.7574301587301587,0.758655873015873,0.7587273015873015,0.7587301587301587,0.0
Ifitm1_M3,Rps2_M4,Ifitm1_M3<==>Rps2_M4,Ifitm1,Rps2,M3,M4,M3<==>M4,0.5,0.3537187663055088,0.9434922095144492,0.0169670590353727,0.0199766607392974,-0.7873015873015872,-0.7872573015873015,-0.7861501587301586,-0.7671515873015872,-0.6447456349206349,-0.4126984126984126,-0.0992326984126983,0.233874206349206,0.3022077777777773,0.3061899206349203,0.3063492063492063,0.9
Ifitm1_M3,H2-Oa_B2,Ifitm1_M3<==>H2-Oa_B2,Ifitm1,H2-Oa,M3,B2,B2<==>M3,0.0,0.379812152187208,1.0,0.0254637456808363,0.0281487022858496,-0.8222222222222221,-0.8222129365079364,-0.8219807936507935,-0.817997222222222,-0.61279,-0.3103174603174603,-0.2213140476190476,-0.0906178571428572,-0.0590557142857144,-0.0572164285714287,-0.0571428571428571,1.0
Ifitm3_M0,Rhoa_M0,Ifitm3_M0<==>Rhoa_M0,Ifitm3,Rhoa,M0,M0,M0<==>M0,1.0,0.0,0.0,0.0066443084079656,0.0113665387449149,0.4952380952380951,0.4952809523809522,0.4963523809523808,0.5147380952380951,0.6108499999999999,0.6976190476190476,0.8739480952380952,0.9330694444444444,0.9437944444444444,0.9444194444444444,0.9444444444444444,0.0
Ifitm3_M0,Abracl_M0,Ifitm3_M0<==>Abracl_M0,Ifitm3,Abracl,M0,M0,M0<==>M0,0.9,0.0305063858366974,0.1454430023853868,0.0018237519863876,0.0070037006093742,0.5206349206349206,0.5206492063492063,0.5210063492063491,0.5271349206349205,0.5951659523809523,0.7055555555555555,0.7805103174603174,0.8844988095238094,0.9080938095238094,0.9094688095238094,0.9095238095238096,0.0
Ifitm3_M0,Metap2_T5,Ifitm3_M0<==>Metap2_T5,Ifitm3,Metap2,M0,T5,M0<==>T5,0.0,0.3709604542117202,0.9055424186197852,0.0101674175593781,0.0132886994226487,-0.7444444444444445,-0.7444137301587301,-0.743645873015873,-0.7304694444444445,-0.635442857142857,-0.465079365079365,-0.201085714285714,-0.0065376984126984,0.0011230158730158,0.0015694444444444,0.0015873015873016,0.9
Ifitm3_M0,Atp5g1_M0,Ifitm3_M0<==>Atp5g1_M0,Ifitm3,Atp5g1,M0,M0,M0<==>M0,0.7,0.0,0.0,0.0011329227273124,0.0056825676777776,0.2666666666666666,0.2667595238095237,0.2690809523809523,0.3089166666666666,0.4784488888888888,0.6999999999999998,0.8241187301587303,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.0
Ifitm3_M0,Crip1_T2,Ifitm3_M0<==>Crip1_T2,Ifitm3,Crip1,M0,T2,M0<==>T2,0.6,0.190523479964818,0.767977735779575,0.0245645890228213,0.0274226709494877,-0.8031746031746031,-0.8031674603174602,-0.8029888888888888,-0.7999246031746031,-0.7153141269841269,-0.4230158730158729,-0.1604423015873014,-0.0444587301587302,-0.0309758730158731,-0.0301901587301588,-0.0301587301587302,1.0
Ifitm3_M0,Tgfbi_M0,Ifitm3_M0<==>Tgfbi_M0,Ifitm3,Tgfbi,M0,M0,M0<==>M0,0.6,0.121737127433412,0.4429259943505851,0.0345936640369274,0.0370806351257913,0.1412698412698412,0.1413734126984126,0.1439626984126984,0.1883948412698412,0.3816154761904761,0.5849206349206348,0.6807313492063491,0.684126984126984,0.684126984126984,0.684126984126984,0.684126984126984,0.0
Ifitm3_M0,Hnrnpc_T7,Ifitm3_M0<==>Hnrnpc_T7,Ifitm3,Hnrnpc,M0,T7,M0<==>T7,0.3,0.0,0.0,0.0123922303809794,0.0155386053079589,-0.6365079365079364,-0.6364700793650793,-0.6355236507936506,-0.6192829365079364,-0.5476270634920635,-0.3738095238095238,-0.2158329365079364,-0.1857519841269841,-0.1842198412698412,-0.1841305555555555,-0.1841269841269841,1.0
Ifitm3_M0,Egr3_B5,Ifitm3_M0<==>Egr3_B5,Ifitm3,Egr3,M0,B5,B5<==>M0,0.7,0.0,0.0,0.0082625685885044,0.0123091792771071,0.1333333333333333,0.1335219047619047,0.1382361904761905,0.2191333333333332,0.5809042857142857,0.6698412698412698,0.7519388888888889,0.8470912698412697,0.8685412698412697,0.8697912698412696,0.8698412698412697,0.0
Ifitm3_M0,Eif3h_M0,Ifitm3_M0<==>Eif3h_M0,Ifitm3,Eif3h,M0,M0,M0<==>M0,1.0,0.0636929968105137,0.2749099470656867,0.0004482727616519,0.0033934641635922,0.5968253968253967,0.5968439682539681,0.5973082539682538,0.6052753968253967,0.6476030158730157,0.7595238095238095,0.8333413492063492,0.8911119047619047,0.9039819047619048,0.9047319047619048,0.9047619047619048,0.0
Ifitm3_M0,Tspo_M0,Ifitm3_M0<==>Tspo_M0,Ifitm3,Tspo,M0,M0,M0<==>M0,1.0,0.0001804657843466,0.0009668149074227,0.0,0.0,0.657142857142857,0.6571571428571428,0.6575142857142856,0.663642857142857,0.6956801587301586,0.8047619047619046,0.854900476190476,0.8950873015873014,0.9012158730158728,0.9015730158730156,0.9015873015873016,0.0
Ifitm3_M0,Tspo_M5,Ifitm3_M0<==>Tspo_M5,Ifitm3,Tspo,M0,M5,M0<==>M5,0.5,0.5781672880597399,0.9531468326089036,0.0041441508232889,0.0094406292989719,0.1555555555555555,0.1555905555555555,0.1564655555555555,0.1714805555555555,0.2781557142857142,0.4079365079365078,0.4857303174603173,0.6706980158730156,0.7132915873015868,0.7157737301587298,0.7158730158730157,0.0
Ifitm3_M0,Rps14_B3,Ifitm3_M0<==>Rps14_B3,Ifitm3,Rps14,M0,B3,B3<==>M0,0.4,0.4333176950120808,1.0,0.0213513277925656,0.024229309255029,-0.165079365079365,-0.1648515079365079,-0.1591550793650792,-0.061404365079365,0.3643601587301587,0.4285714285714285,0.5758045238095237,0.6411190476190475,0.647247619047619,0.6476047619047618,0.6476190476190475,0.1
Ifitm3_M0,Slc25a5_T5,Ifitm3_M0<==>Slc25a5_T5,Ifitm3,Slc25a5,M0,T5,M0<==>T5,0.7,0.1318331961291207,0.5757844851459554,0.0009550875975733,0.0052085082420336,0.0031746031746031,0.0032596031746031,0.0053846031746032,0.0418496031746031,0.2423188888888888,0.6198412698412697,0.7374321428571428,0.7791765873015871,0.7868373015873014,0.78728373015873,0.7873015873015872,0.0
Ifitm3_M0,mt-Nd3_B2,Ifitm3_M0<==>mt-Nd3_B2,Ifitm3,mt-Nd3,M0,B2,B2<==>M0,0.2,0.3619172778736839,1.0,0.0091771314097633,0.0128156935922771,-0.7507936507936508,-0.7507257936507936,-0.749029365079365,-0.7199186507936508,-0.5864174603174602,-0.4555555555555555,-0.4249307142857142,-0.3846404761904761,-0.3766733333333333,-0.3762090476190476,-0.3761904761904761,1.0
Ifitm3_M2,Tpm4_M3,Ifitm3_M2<==>Tpm4_M3,Ifitm3,Tpm4,M2,M3,M2<==>M3,0.0,0.3030707414640382,0.9011456687744273,0.0082625685885044,0.0123091792771071,0.3936507936507936,0.3936600793650793,0.3938922222222221,0.3978757936507936,0.4203978571428571,0.5238095238095237,0.7703153968253967,0.814097222222222,0.8217579365079363,0.8222043650793649,0.8222222222222221,0.0
Ifitm3_M2,Fos_M4,Ifitm3_M2<==>Fos_M4,Ifitm3,Fos,M2,M4,M2<==>M4,0.0,0.0106112563184402,0.0604276590969905,0.0059327742532536,0.0108779854387587,-0.8777777777777778,-0.8777756349206349,-0.8777220634920635,-0.8768027777777778,-0.8173274603174603,-0.7015873015873014,-0.5686399206349205,-0.4086527777777778,-0.3795420634920636,-0.3778456349206349,-0.3777777777777777,1.0
