gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Sumo1,0.1948717948717948,0.7209013209013208,1.0,-0.0644839825441748,0.0482853981965766,0.1808111638196836,1.0005320164452955,1.0334414052602126,0.7494076618421543
Nop58,0.1500043975229742,0.7035283511416841,1.0,-2.364789515989429,-0.0519670603520962,1.7205648364924666,0.473809785239809,0.4387330350074052,0.7494076618421543
Fam117b,0.065285648928054,0.4004675495719816,1.0,-0.1113136936573921,0.2314757014996776,0.5347624361594159,0.5307083997230643,0.6222620903968309,0.7494076618421543
Eef1b2,0.0829836829836829,0.6095571095571095,1.0,-0.0483649022233602,-0.0072858562756782,0.0345635524018869,2.6915650594675675,2.67852843154322,0.7494076618421543
Rpl37a,0.0281274281274281,0.1303807303807303,0.3822843822843822,0.0265312471182844,0.0545536208794517,0.0817661369854002,3.59802925859606,3.733612284537255,0.7494076618421543
Arpc2,0.1303807303807303,0.5053613053613053,0.959129759129759,-0.0720564405273414,-0.0230556804720667,0.0202879314681655,2.519372986135945,2.4808700534648915,0.7494076618421543
Aamp,0.1383422729809652,0.6741981971505068,1.0,-0.2274768510727503,0.1960935357360688,1.1772100757386113,0.4898324313114672,0.5620848779602166,0.7494076618421543
Dock10,0.1303807303807303,0.5053613053613053,1.0,-0.0946388590393503,0.1330165092705807,0.3568424350020502,0.8923084165959829,0.9770867016360292,0.7494076618421543
Mff,0.1117076503738006,0.6662276454096188,1.0,-28.66641127191613,-0.732892418279713,1.38486135278296,0.2714500424262232,0.1624715994237019,0.7494076618421543
Trip12,0.031199774449795,0.4935627897033893,1.0,-0.3020098564078793,0.1906271458785157,0.7221973535303495,0.4615770102879493,0.5286492073625664,0.7494076618421543
A530032D15Rik,0.059093020192159,0.5255516528137945,1.0,-28.877348017086707,-0.7152101266940984,0.5931310120953244,0.459954544984872,0.2719514354984185,0.7494076618421543
Sp110,0.0379176379176379,0.3282051282051281,0.959129759129759,-0.4408341959958772,-0.2597406723009456,-0.0069242367601045,0.8120469248390014,0.6681180174017796,0.7494076618421543
Sp140,0.0104118104118104,0.0498834498834498,0.2786324786324786,-0.5369186435383329,-0.3332547884755561,-0.1613546396584446,1.1742177798060651,0.9337621320980428,0.7494076618421543
Sp100,0.1832329769288219,0.6854434826775221,1.0,-28.622715056134133,-26.44304192416313,26.85575410352516,0.180565980997554,0.0,0.7494076618421543
Cab39,0.1388637976716842,0.6246347736881842,1.0,-28.75387228155141,-1.1968111333746498,1.881171821390158,0.3446966659507952,0.1108864562583622,0.7494076618421543
Itm2c,0.1605283605283605,0.7209013209013208,1.0,-0.1848187336585496,0.0541141566688096,0.27734439102945,0.7298128446337184,0.7538488917560988,0.7494076618421543
Psmd1,0.0308091044172122,0.2202347585707377,0.8744592481051268,-28.94136478149764,-0.8705464783290962,-0.0221117657175323,0.5024507318984343,0.2719610093628777,0.7494076618421543
Ncl,0.0104118104118104,0.2344988344988344,0.959129759129759,-0.0131583935257685,0.0792484986149618,0.1567108896080392,1.6568160992226937,1.7506824377209425,0.7494076618421543
Ptma,0.0281274281274281,0.3822843822843822,0.959129759129759,-0.0838946908083365,-0.0389574645164044,0.0148416422038835,3.3251208389913023,3.2266701388961296,0.7494076618421543
Eif4e2,0.1303807303807303,0.7209013209013208,1.0,-0.2201046262961525,-0.063493371235441,0.1433893785448785,0.7380505751811002,0.7006318868953116,0.7494076618421543
Inpp5d,0.1179173600517424,0.5967990595834041,1.0,-1.512849469771487,-0.1115939292467016,0.4752872642074401,0.4938390673741198,0.48365768213614,0.7494076618421543
Arl4c,0.1303807303807303,0.7209013209013208,1.0,-0.2280228736373475,-0.0551056493578659,0.1292626881823731,1.2415942298540226,1.1869018181016036,0.7494076618421543
Lrrfip1,0.3282051282051281,0.7984459984459983,1.0,-0.1521155503044479,0.0215709565126261,0.1655508219952748,1.11061695648841,1.1235345772192726,0.7995452816012704
Ube2f,0.1717804108597191,0.7111541697294341,1.0,-1.0701073483669985,0.0753007581951942,0.3523385250749413,0.5016277844086532,0.525755852579696,0.7494076618421543
Ndufa10,0.1559265180741878,0.6408155567716205,1.0,-0.8957510097608333,0.0326975657497146,0.2883842359947735,0.5444989604368375,0.5598723814412887,0.7494076618421543
Cops9,0.1048951048951048,0.5053613053613053,0.959129759129759,-0.2782826311385698,-0.1139549056194714,0.0568147342542435,0.961308585264372,0.8913627356110003,0.7494076618421543
Gpr35,0.0037683700721513,0.0621104744239398,0.4935866947664938,-29.255774847125338,-0.8951556916952779,-0.1412825273450646,0.627273646204618,0.3356954853076002,0.7494076618421543
Hdlbp,0.1948717948717948,0.7209013209013208,1.0,-0.2386098813266628,-0.0544185831695728,0.1434162071353818,0.645637691773751,0.6198917701325155,0.7494076618421543
Fam174a,0.1411232837969484,0.6741981971505068,1.0,-0.2215174957906412,0.0137307559221597,0.2835969383566728,0.562546685826331,0.5668547198414745,0.7494076618421543
