gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Gadd45b,0.0003842020270349,0.00200950485566,0.0086155581188204,-0.7026197314469843,-0.5538594559175489,-0.3935929066615273,1.6398524109708923,1.1143319131292602,0.036193415233609555
Eef2,0.0606019697120061,0.4025038237820035,0.9769702553219756,-0.0169591822914831,0.0256199390926879,0.0634299324077347,1.78568971164911,1.8181793167003275,0.6092051338474581
Mrpl54,0.0141379694559114,0.126022121770373,0.5833604667027033,-0.2989923575472284,-0.1725351416783511,-0.0315574374986481,0.6917843184377881,0.611848047052533,0.32737477466310033
Tle5,0.2144938077835174,0.7074539677020747,1.0,-0.0827758984885401,-0.0130398113505455,0.0601364787711805,0.997357283274326,0.9872369196051944,0.7589562419887909
Txnrd1,0.0998774027692641,0.2602362026171888,0.5067205148778584,-0.2182217252781551,-0.1451191522223965,-0.0766331317147625,1.663580450536915,1.50549820508161,0.47882279732402167
Hsp90b1,0.0463865932813986,0.2365840933218761,0.7085384156117498,0.0156255002408161,0.0996949173209416,0.1650550231312869,1.463114969360905,1.5683511374428138,0.45384948553226173
Slc25a3,0.0013539414430926,0.0120228254076174,0.0998774027692641,0.0414202727047137,0.0749620690331459,0.1079351554363449,1.8781032574389864,1.9792382153971224,0.09022685178586948
Snrpf,0.3116502938556078,0.7508318840891169,1.0,-0.1081223751877279,-0.0175927542120408,0.0691668370075744,1.11751894442228,1.1043431717684675,0.7703154962711762
Metap2,0.102843063384468,0.5804659525464413,1.0,-0.145157304434279,0.1472028364581653,2.066661665758668,0.4934878419750855,0.5487441971791025,0.7434177016706619
Ndufa12,0.0161057840703089,0.197035431009625,0.8317780719610481,0.0,28.644389978823096,28.918835832494803,0.0,0.4277627488285498,0.4153373649760756
Cep83,0.0003833917265774,0.0061505879542366,0.0585157428344865,27.987074690399293,28.976046871086847,29.1273181913724,0.0,0.5280308838629681,0.06474092905076317
Ube2n,0.0350891160940478,0.3123214216762161,0.932136891610928,-0.1761209391202817,-0.0857518740853023,0.0135188818295944,0.752552494076153,0.7092334844149262,0.5279176481096417
Btg1,0.068964333339054,0.2854763088518824,0.7074539677020747,-0.0879135810611677,-0.036311596606944,0.0093291916297033,2.58177250142462,2.51606651696089,0.5008193686676422
Atp2b1,6.0057602968049e-05,0.0003080447056277,0.002436734808989,-0.6637866936759519,-0.5141892103474366,-0.3554135010734813,1.0673540359636826,0.7483182677590989,0.017794042452102084
Ppp1r12a,0.0600425766151654,0.4347302695803308,0.9769502088750937,-0.2692257523376316,-0.0812042351902234,0.0894513287320623,0.578215650188571,0.5424058523183335,0.6363237837040043
Nap1l1,0.0011061781840807,0.0225760625231335,0.2854763088518824,0.0295112207938373,0.0871636012376818,0.1378789963290626,1.5081521898713524,1.6063189378996474,0.12490033225255769
Atxn7l3b,0.0165743380768036,0.1939308522824107,0.8398599725400034,-0.0148499903950755,0.0857640180128197,0.1842360354318638,0.656091313576808,0.6968180201430955,0.4093254056637861
Tbc1d15,0.000119206107326,0.00109514607697,0.008328837590629,0.262951611920621,0.4289158466274537,0.6855052561771053,0.5438522684445268,0.7299057184652109,0.02598717154195384
Rab21,0.0350891160940478,0.2365840933218761,0.7074539677020747,-0.019725799878813,0.0761614442082504,0.2032349175669944,0.9925534588646984,1.0467321824686748,0.45384948553226173
Cct2,0.0035498386349135,0.0606019697120061,0.4357306600317365,0.0313331231041398,0.1079345002701484,0.1768850436474433,1.0200914519337552,1.0962958153044675,0.21590284154541073
Lyz2,0.0005920421458944,0.0025555818893392,0.0120228254076174,0.8215977486121553,1.1316552744011892,1.4147133072120317,0.8755347493460759,1.9285316314036771,0.042271410638967784
Rap1b,0.0885337720142295,0.2854763088518824,0.7508318840891169,-0.1068855153308363,-0.0589693807909414,-0.0147841995537552,1.687472429460745,1.6199010501819664,0.5008193686676422
Llph,0.026229387834857,0.3708443333042212,0.9769702553219756,-0.0423682115620928,0.0781314294245963,0.1669250390070081,0.8448186667260833,0.8925942785020804,0.5808103036581087
Rassf3,0.0011619060590793,0.0184587230845735,0.2551062288885958,0.2884195043583822,29.01962301544351,29.11839836219364,0.0,0.551785195680691,0.11404902133433568
Usp15,0.0010843325616735,0.0164731558055826,0.271122916523288,0.0,27.459534309487463,28.743472480423392,0.0,0.184562511668722,0.10413936535469781
Naca,0.0120228254076174,0.0885337720142295,0.3708443333042212,0.0133947241499664,0.041436067271618,0.0726821778831419,2.398926125042528,2.470230692397895,0.27129157738197734
Ptges3,0.0885337720142295,0.4704864220587896,0.9769702553219756,-0.0419689144055803,0.0406257646042367,0.1113798336286269,1.1963224782190824,1.2328044881677076,0.6577230976023668
Atp5b,0.0885337720142295,0.5443701458566098,0.9769702553219756,-0.0337534700962447,0.0197729445492379,0.0753019496557371,1.400561910745765,1.4183348080342726,0.7133581296956868
Myl6,0.1572127533400038,0.623604884395689,1.0,-0.0370066117647123,-0.0155947189913833,0.0120845979840362,2.4639630889009103,2.436881168119764,0.7589562419887909
Rpl41,0.026229387834857,0.1939308522824107,0.6650055421020291,0.0012352143821345,0.011614683824872,0.0200255419014511,3.8662982058765047,3.898138507545023,0.4093254056637861
Rps26,0.2602362026171888,0.7074539677020747,1.0,-0.0196248993732929,0.000954135945575,0.0213562516312684,3.413959646807575,3.41594930312092,0.7589562419887909
Sarnp,0.0606019697120061,0.4025038237820035,0.9769702553219756,-0.0317119953564372,0.0710673547956783,0.1776106315127316,0.6689429128945706,0.7041731614412565,0.6092051338474581
Cd63,7.857856636228814e-05,0.0011988085945709,0.0182829996797332,28.957367991294404,29.21897249415406,29.40734767101489,0.0,0.624866385459601,0.027760981882848985
Uqcr10,0.2144938077835174,0.7074539677020747,1.0,-0.0727042519098156,0.0155030177853444,0.0886977771994574,1.2921354761796735,1.3076433100665414,0.7589562419887909
Ewsr1,0.0042645562859729,0.0530979572855834,0.340358371306122,-0.5778530918431426,-0.3106944806630022,-0.1378493781267985,0.6665994174236538,0.5383856695462526,0.20063354023293867
Xbp1,0.1518622998668082,0.6193065349631823,1.0,-0.5107732786422853,-0.0192034102197562,0.5917401867795251,0.528092864440317,0.5251987944391383,0.7589562419887909
Mrps24,0.0088356720659487,0.0769565119845306,0.4182669726679624,0.0789234135584798,0.2615352023333843,1.3501160448461802,0.4925452162515482,0.5913362016523696,0.2547125751827915
Dbnl,0.0551582765757672,0.2943260733743341,0.8578325471830431,-0.0764237408363923,26.76696267653295,29.037110067264635,0.0,0.4914037620807663,0.51411914325409
Zmiz2,0.0008741902309157,0.0072093433582514,0.0464668696537501,0.161959935182142,0.2872120002974628,0.4201980135188181,0.6162928832990326,0.7504183036205749,0.06882097681787602
Ppia,0.0463084946702038,0.2144938077835174,0.6650055421020291,-0.0001057751813809,0.0227291194459413,0.0467068003410308,3.0706337371780776,3.11874444908775,0.43191858685351764
H2afv,0.0317810124966055,0.4233704816999597,0.9766847482197132,-0.3873226623363757,0.6512530400949228,29.074136533846463,0.3376826737977353,0.5352994569240426,0.6360366550839988
Purb,0.1123511976904639,0.623604884395689,0.9769702553219756,-0.0744454008206228,0.0156894176548749,0.1011856363210766,1.0350381031390623,1.0472532309946998,0.7589562419887909
Myo1g,0.0225760625231335,0.1748533068932927,0.5443701458566098,-0.2194545086709141,-0.0947282222373726,0.016774182914913,0.9856299182954794,0.9227193181290624,0.3888027578518895
Snhg15,0.0404041195882236,0.1939308522824107,0.6650055421020291,0.0690724289284753,0.1762643567312972,0.2689917818161135,1.08887644068367,1.2321839881814325,0.4093254056637861
Ramp3,0.0165749267498532,0.0885337720142295,0.3708443333042212,-0.2894851041275121,-0.1788705070644423,-0.0556806928002675,1.5562238438365474,1.3730769515045624,0.27129157738197734
Sec61g,0.126022121770373,0.6650055421020291,1.0,-0.0411538921269666,-0.0021228122057679,0.0340206799454993,1.8216927821158675,1.8182947966828515,0.7589562419887909
Plek,0.4704864220587896,0.8398599725400034,1.0,-0.0195887252473845,0.0323190254394188,0.0934079804242293,2.041565265186845,2.087141419206625,0.8403784046218182
Actr2,0.2144938077835174,0.7508318840891169,1.0,-0.0526619958726336,0.0020380334710297,0.0518180211870561,1.3951452641059523,1.396641552229845,0.7703154962711762
Rab1a,0.1561224737991832,0.6650055421020291,1.0,-0.1321210383780039,-0.0023799205842993,0.1554758020100896,0.5741870779217279,0.5739206461958174,0.7589562419887909
Aftph,0.0490815132056713,0.2716119325735385,0.837933164599485,-0.0812049903130924,0.0942448741677823,0.3740259323352505,0.5505496859615315,0.5851798311422229,0.4964942049096479
Mdh1,0.0100294522896813,0.1122731095827606,0.6649371351012803,-0.0122503755846154,0.1675084209396445,0.4057516176929053,0.5352152083758126,0.6002309310142331,0.3060862041281378
Cct4,0.1572127533400038,0.7074539677020747,1.0,-0.080266166652647,0.0207766914229073,0.1172891249367406,0.717434720459134,0.7287988025762631,0.7589562419887909
Usp34,0.0571840135829666,0.4452517593524018,0.9742877559007892,0.0,28.231298802704483,28.83786649439492,0.0,0.3183366689636189,0.6484753835671548
Rel,0.0101931049911082,0.0606019697120061,0.2144938077835174,-0.1074831267756778,-0.0659287944299813,-0.0236739135831756,2.686913959195465,2.56802736720208,0.21590284154541073
Ppp4r3b,0.1057625703338653,0.533495368853226,1.0,-0.92867762385401,0.1207892824341707,28.8816054593858,0.476948525241367,0.5219217985481425,0.7133581296956868
Ccdc88a,0.2327791752393629,0.6647316628002049,1.0,-0.0548587093764421,0.1277447204775206,0.4520353400369332,0.6034035577267213,0.658863837909425,0.7589562419887909
Rps27a,0.0120228254076174,0.0885337720142295,0.4025038237820035,0.0029606879418037,0.0141514395301918,0.023130447744189,4.019921066878415,4.06057957310648,0.27129157738197734
Rtn4,0.0225760625231335,0.2365840933218761,0.8852339144732017,-0.2258475230527717,-0.0966227008167441,0.036168477349756,0.8261708401316725,0.7735565889626405,0.45384948553226173
Npm1,0.0042647649140305,0.0350891160940478,0.2854763088518824,0.0189493798055545,0.0554716061407441,0.0930809338403271,2.1315273996929527,2.21668290030813,0.15669271952741456
Dock2,0.0632174246335526,0.4671304852023848,1.0,-28.907064928518025,-0.9051320049596792,1.1375680521436706,0.4640462783769555,0.234269148034436,0.6577230976023668
Clint1,0.0001961614737065,0.0060989459312143,0.0781874278919378,0.1139760952534901,0.2557787830413577,0.4872234239992103,0.5753903530408447,0.6857867604045587,0.06461693695750576
Havcr2,0.0001961614737065,0.0013539414430926,0.0141379694559114,0.1631764280705256,0.2371887095663714,0.3283213677936547,1.4424351300175275,1.70337506695181,0.029263187723374728
Rack1,0.0193733193315928,0.1572127533400038,0.623604884395689,-0.0469145451630941,-0.0278582675247655,-0.0101333735006359,2.99302567562007,2.935213927544865,0.3650784095458608
Cnot6,0.0307905366805146,0.299117385231852,0.9527244018395242,-26.882226906231008,27.81367906022657,28.95264944828073,0.0,0.2646865125277692,0.5202460101511074
Rnf130,0.0259040958078125,0.2143941431124333,0.8621933143902745,-0.0146516987924305,0.1662204964584697,0.688814284433434,0.5137618115466405,0.5761984747354427,0.43191858685351764
Sqstm1,0.0998774027692641,0.2602362026171888,0.5833604667027033,-0.1393567006188623,-0.0532475770166463,0.0475260204785032,1.3848887928770863,1.3343906806105,0.47882279732402167
Canx,0.0120228254076174,0.1156519323649137,0.6650055421020291,-0.1767183945861895,-0.0839184401821949,0.0050891066499041,1.0534367967062024,0.994192498929959,0.31402308603605544
Hnrnph1,0.1647422570787492,0.6647316628002049,1.0,-0.1123419658458736,0.0635731546690401,0.2005718853943559,0.615526857602978,0.6434284664303175,0.7589562419887909
Hnrnpab,0.0193733193315928,0.1939308522824107,0.8852339144732017,-0.1597262180723464,-0.0784111141198877,0.0082113155020107,1.1264864573919962,1.067141562046645,0.4093254056637861
