gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Tmem123,0.0017712550607287,0.0449313328570294,0.2991188378185282,0.0386754127773238,0.1283865282891352,0.2590511531423422,1.26851931163146,1.382072827884435,0.16347619187434262
Birc2,0.0004763038818766,0.0011158224689312,0.0029673539919835,0.7779650074330983,1.936386027825553,30.097977679785338,0.289672161365024,1.095162202659205,0.015205085459906845
Cwc15,0.005239342700643,0.195562435500516,0.9018020163531,-0.04095147866254,0.1116583414944329,0.2898596768987625,0.768720995742823,0.8334397405357428,0.4175352320654104
Ubl5,3.969199015638645e-05,0.0026196713503215,0.0683496070492974,0.0587767132658836,0.1082717702997862,0.1742237441629056,1.78978304009499,1.9270843117338552,0.025769804097977425
Cdc37,0.0221084385171072,0.4723279998326053,1.0,-0.3295235010123662,-0.1032116672653827,0.1200815700504342,0.686955210312024,0.640376414531969,0.677218861969384
Sept7,0.0283400809716599,0.1673414304993252,0.6503532587123918,0.0360824176715864,0.2084635674056332,0.4130860065971699,0.7860869212037804,0.9119966299284394,0.3824946982841719
Hspa8,0.1673414304993252,0.6503532587123918,1.0,-0.074973018622725,0.0034080733911333,0.08153471926672,2.135723502902875,2.1468261442298826,0.7033136217997201
Rps25,0.009764229578471,0.1100460427085814,0.535841867111217,0.0055383056949942,0.047799721161188,0.0862534889651437,2.91707972999469,3.0126409587409477,0.3063755654444362
Ddx6,0.009764229578471,0.2268397237437485,0.967135032150512,-0.2063634343716704,-0.0842098400539098,0.0180603951760417,1.61673095205238,1.527369509939045,0.453679447487497
Arcn1,0.1263468939041025,0.5918075732317218,1.0,-0.0830224820094182,0.0859339273941214,0.44196435558595,0.565681893352015,0.602640963109276,0.6948898826275213
Atp5l,0.0037032626815908,0.0556481701992537,0.2268397237437485,0.033064880644648,0.0829353802633997,0.128167894230823,2.076224675695555,2.196367546182,0.18709055702432636
Plet1,0.0250492914657497,0.1629806968918196,0.7035844410913497,0.0123832872606088,0.5012517789970039,1.370660494278385,1.1957858279482951,1.68751314565159,0.3824946982841719
Pts,0.1293317454163906,0.6231308747161564,1.0,-29.22664330490181,-0.4297811610675592,28.73640869636525,0.2799836716529685,0.21212950646422,0.7033136217997201
Psma4,0.0129792807811383,0.2991188378185282,0.967135032150512,-0.0436275202749086,0.119259661758421,0.2772796318957308,0.785222201664437,0.8572584742458849,0.5303468846769098
Cox5a,3.969199015638645e-05,0.0007541478129713,0.0221084385171072,0.1615124470009887,0.2374711804723931,0.3348035909167547,1.61885466842729,1.9019421160485328,0.011645445297975423
Scamp2,0.1833292887597734,0.6965221546336016,1.0,-0.2603927270405085,0.1143230650569303,28.96907168574401,0.465076779876785,0.5057945708432083,0.7369247736704468
Nptn,0.0007562054668203,0.0224229731645763,0.2919972715734465,-29.264693639048826,-2.148393351256757,-0.2337932449637379,0.571281620232196,0.1237240322719675,0.1030370531576378
Arih1,0.0449313328570294,0.4319679288719536,1.0,-0.3243278580657207,-0.1548650231612324,0.0839714714231008,0.8054831521047745,0.7197275787471585,0.6373926772688382
Hexa,0.0003673342536058,0.0042842898008292,0.0481795027003062,-29.484342245438928,-0.9283486063915952,-0.531324521891862,0.731878082197845,0.3912118718004072,0.035783250663529415
Pkm,0.1673414304993252,0.6503532587123918,1.0,-0.1216770543238532,-0.0140373863513397,0.1951972223879147,1.01594031872363,0.9948520222455872,0.7033136217997201
Tle3,0.0007504451813164,0.0077354407219647,0.1198301182821306,-0.7629841908861756,-0.5641575703103706,-0.2947580425260406,0.900694490866204,0.5967050854261504,0.05378358784695875
Rplp1,0.0007541478129713,0.0170675557672461,0.1198301182821306,-0.059061832469187,-0.0345426354765036,-0.0120688749955518,3.758167676757,3.673182051102815,0.08618142227719705
Rpl4,0.0007541478129713,0.0283400809716599,0.2991188378185282,0.0239334802088801,0.0718611874383022,0.1300296028560886,2.272410825245765,2.383455750046855,0.12219359587780632
Dennd4a,0.0017861395570373,0.0283400809716599,0.2614114471699611,-0.2362641662092244,-0.1575813304695772,-0.064029218197957,1.85010591607086,1.655498802469756,0.12219359587780632
Ppib,0.0283400809716599,0.535841867111217,1.0,-0.0483149302517844,0.0222567836272009,0.1061983270178924,1.63773045570316,1.6569589749807774,0.6868706559109036
Rab8b,3.969199015638645e-05,0.0007541478129713,0.0170675557672461,-0.3726630104865635,-0.2717351573904413,-0.1640591013965218,1.8113177824829496,1.4994657593236251,0.011645445297975423
Rps27l,7.938398031277289e-05,0.0011907597046915,0.0449313328570294,-0.3969096049900016,-0.3095098683019507,-0.1907018975999247,2.30127214710084,1.85358634681484,0.015205085459906845
Lactb,0.009764229578471,0.195562435500516,0.8369453044375644,-0.005591567370306,0.2165395466682702,0.3917184935406131,0.773188112440654,0.904008227331318,0.4175352320654104
Anxa2,7.938398031277289e-05,0.0017861395570373,0.0222642295784709,-0.7096683977893568,-0.525120886525964,-0.3214131354068517,1.45199342338189,1.00338146391532,0.019284498632077516
Arpp19,0.005239342700643,0.0449313328570294,0.384456616654759,0.0951648561881903,0.216292541717961,0.3546893937720193,0.949108646987985,1.100801925267265,0.16347619187434262
Tmod3,0.0004023043007102,0.0011158224689312,0.0159635965629785,0.2191169031756432,1.4408764529433689,29.40017360026629,0.2568881348417915,0.6777845927053475,0.015205085459906845
Eef1a1,0.0001587679606255,0.0017861395570373,0.0170675557672461,0.0431891214693535,0.0564165016348039,0.0791582427234049,3.810850131904675,3.963444871035677,0.019284498632077516
Cox7a2,0.0011907597046915,0.0170675557672461,0.1203897753433352,0.1187510289348244,0.2072177750665812,0.2889010681695323,1.18255488967298,1.3606400000293677,0.08618142227719705
Senp6,0.156554449949774,0.6992777448622138,1.0,-0.4105574304107253,0.0560542868554503,28.99446921825644,0.4987778789351705,0.4951677541599034,0.7369247736704468
Syncrip,0.0129792807811383,0.1422164007303326,0.6503532587123918,-0.4599516937547834,-0.1943789333559093,-0.0202434048784114,0.8083808707121942,0.7198183253509964,0.3497470003145957
