gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
Cd86,0.2268397237437485,0.7108438517107247,1.0,-0.0857371181500317,-0.0019135999985974,0.0593674297535812,1.55982441054256,1.5592725104544,0.7391665364273239
Hcls1,0.3308744891371221,0.8325897513232108,1.0,-0.2807976484395913,-0.0432366671614895,0.1457856006713449,0.723632404484391,0.7030762958060618,0.8350994416060238
Ndufb4,0.1198301182821306,0.5918075732317218,1.0,-0.1961661816193419,-0.0468402217973979,0.0906576891182817,0.770088888871837,0.7463543761818625,0.7171666837996632
Cox17,0.1198301182821306,0.4824164483607208,0.967135032150512,-0.0199089072903118,0.0598354856097376,0.17359288685122,1.48138821445583,1.53917568916203,0.7171666837996632
Cd80,0.009764229578471,0.2268397237437485,0.967135032150512,-0.3611701567640658,-0.1884949574255894,0.0319885256939016,0.94481095382257,0.828561112577717,0.6074922983962359
Cd47,0.3833511947289038,0.7732396602365642,1.0,-0.0345502707120997,0.028850342332291,0.1274993293934416,1.74835067798793,1.7784186651217,0.7767411228489561
Alcam,0.005239342700643,0.0449313328570294,0.2991188378185282,-0.5429405162162827,-0.3320883329078093,-0.1052016548621136,0.857561286064301,0.6660688741155543,0.2844618635502147
Rpl24,7.938398031277289e-05,0.0017861395570373,0.0358418671112169,0.0434082630610505,0.073689373432168,0.1058037745801152,2.94642797937159,3.095064604240465,0.06792433572618989
Pcnp,0.0270975086943181,0.468595074670454,1.0,-0.2165164086653074,1.2125191719994124,29.02835233639892,0.2187263579268865,0.510323839757328,0.7171666837996632
Cldnd1,0.0952288276084754,0.4630107554157069,0.9649791246930368,-29.25480866507418,-1.5555199059681146,27.753093583577137,0.488677227386961,0.187959541502517,0.7171666837996632
Cggbp1,0.0358418671112169,0.4723279998326053,0.9679566563467484,-0.1387128965398596,0.1344005996758936,0.3394552876741724,0.6549652493061605,0.730324728425148,0.7171666837996632
Samsn1,0.0283400809716599,0.384456616654759,0.967135032150512,-0.0782639926381409,0.0812575630212911,0.2304555604961258,1.47045314787078,1.56522764044798,0.7171666837996632
Nrip1,0.0073959247660962,0.1356553584260904,0.7677823924567785,-0.0035938146262404,0.6458073968710099,29.39591504677542,0.42921374133058,0.6626563850287122,0.490388677129722
Atp5j,0.0449313328570294,0.5918075732317218,1.0,-0.0900218899531826,-0.0081773312276978,0.0860572118889679,1.47615728415992,1.47088607617384,0.7171666837996632
App,0.0007541478129713,0.009764229578471,0.0683496070492974,-0.4395138175970774,-0.3415748717081375,-0.2149400176422783,1.19856343271331,0.9453412727602806,0.13227424243758742
Cct8,0.0831150273874732,0.5918075732317218,1.0,-0.1195688561422279,0.0575915167014044,0.2529837564349679,0.7558554686731755,0.7881916921566927,0.7171666837996632
Sod1,0.0219824164483607,0.3402397396205445,0.967135032150512,-0.0432473165935467,0.1222699227511238,0.3387476703701565,0.845018657121341,0.9138112787270768,0.7098104912773427
Synj1,0.1629806968918196,0.6503532587123918,1.0,-0.2449138024682378,0.0572964519784713,0.3584362370136649,0.781490090211042,0.8141564151294143,0.7171666837996632
Ifnar2,0.1899905000758136,0.6419036360134158,1.0,-0.1452632413343633,0.0478189691001793,1.2083120143906876,0.583166538006771,0.6097135956660552,0.7171666837996632
Ifnar1,0.0283400809716599,0.384456616654759,0.967135032150512,-0.3062982354735716,-0.1548253006492835,0.0562449861285224,1.075519352949635,0.9619777349756808,0.7171666837996632
Ifngr2,0.1002619671350321,0.5918075732317218,1.0,-0.2283670178046351,0.0558407027154931,0.280691370545428,0.696804397889204,0.7205101131982481,0.7171666837996632
Tmem50b,0.0170675557672461,0.3083630951453936,0.966299884947446,-0.3422449863711906,-0.1521661626438472,0.0572855443311641,0.781282984358385,0.6978920266821449,0.6932960804704711
Son,0.0827458918790188,0.6503532587123918,1.0,-0.1028975063152444,-0.0386771262508652,0.1057067504777476,1.57952984285661,1.537781965034969,0.7171666837996632
Atp5o,0.0037310470747003,0.1422164007303326,0.9018020163531,-0.0072120871741979,0.1062062406566798,0.2329143425255868,0.8650507185775955,0.9301514733875564,0.490388677129722
Runx1,0.0044401823684458,0.0687166915200418,0.4212186277512375,-0.6093203024059296,-0.2532002486397023,-0.0585661295103821,0.8354274888455945,0.7033251513356357,0.3374978465430835
Hmgn1,0.1177655400828241,0.535841867111217,1.0,-0.3554015748515823,-0.1634446004179994,0.1173965635508844,0.7345656165406436,0.639067053210036,0.7171666837996632
Gtf2h5,0.0567876091511873,0.3504203796385164,0.932349983715403,-0.0729584042293025,0.1755652993598982,29.11259372514448,0.538669323289545,0.6151363279583699,0.7171666837996632
Ezr,7.938398031277289e-05,0.0062117964594744,0.1422164007303326,-0.5111836548633621,-0.335555789284772,-0.1143994930165696,1.01308280654394,0.8017192020407136,0.120346666898668
Mpc1,0.0129792807811383,0.0831150273874732,0.3402397396205445,0.0914469271406588,0.3185575971872749,0.5905175978057021,0.9769845939405724,1.2009110269479026,0.3675285762549064
Qk,0.0690734596458646,0.5823509671154823,1.0,-0.2437663280853413,-0.0103823255558435,0.4219340780295705,0.597477223813441,0.5959864431040467,0.7171666837996632
Agpat4,0.0017712550607287,0.0449313328570294,0.2614114471699611,-0.5518477341871094,-0.3414830248248023,-0.1150485683769362,0.9104387651783497,0.7166025765898649,0.2844618635502147
Tcp1,0.1673414304993252,0.7108438517107247,1.0,-0.1386921927001172,0.0166300044223662,0.2022299246530945,0.72741078697341,0.730121095517585,0.7391665364273239
Sod2,0.0626831591137432,0.5106357691608849,1.0,-0.3273495546275449,-0.1115745035405383,0.2387836617679197,0.595188363047181,0.5540026254254523,0.7171666837996632
Psmb1,0.0002778439310947,0.0170675557672461,0.2614114471699611,0.0669793177585229,0.1686304426218047,0.30780227952891,1.0898952357645602,1.2273938339817425,0.16111288458301107
Srrm2,0.1198301182821306,0.5918075732317218,1.0,-0.0588719839857218,0.0355150975421241,0.1484976598359551,1.5720968538943652,1.60157847404306,0.7171666837996632
Elob,0.1002619671350321,0.5918075732317218,1.0,-0.0332993429175883,0.0301420848920985,0.1015183497418343,1.60667033389394,1.64147510408804,0.7171666837996632
Atp6v0c,0.0071842502183059,0.0831150273874732,0.4319679288719536,0.1011653044639672,0.2152529014197955,0.327078380229058,1.60624557133513,1.865204024405416,0.3675285762549064
Rps2,0.0017861395570373,0.009764229578471,0.0358418671112169,0.0747381949226038,0.1137784908229668,0.1801961830435533,2.6004934117521,2.81415241716757,0.13227424243758742
Ndufb10,0.0004763038818766,0.0129792807811383,0.1002619671350321,0.157181064442543,0.3022525425409452,0.4387356151640685,0.741298872018096,0.921693851642433,0.146401887455043
Ube2i,0.1198301182821306,0.535841867111217,1.0,-0.0857436184539481,0.1219512002336448,0.3292197508188936,0.889888221279125,0.9656097066016076,0.7171666837996632
Dusp1,0.0026196713503215,0.0170675557672461,0.1422164007303326,-1.385712945511697,-1.0613927790033078,-0.7223399160912468,1.61673095205238,0.7430288859330919,0.16111288458301107
