gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Iscu,0.0014034822813198,0.0235255986784301,0.1816653005134988,0.2691697954935306,0.6487823033362679,29.640823100490188,0.5056240252043296,0.7930251964688645,0.11424301516503825
Selplg,0.0938616938616938,0.3356643356643357,0.8665112665112666,0.0218297215312087,0.2693969997676647,0.510017776721683,0.714085493842578,0.8539443646765177,0.5839521303438829
Gltp,0.1983681032556137,0.7260951618325295,1.0,-0.8745722581979916,1.0341059517709978,28.94143467371698,0.2300874545329125,0.458837719679429,0.7597359980647611
Dynll1,0.0037296037296037,0.0721056721056721,0.5358197358197359,-0.5848362992573307,-0.3136794003308716,-0.0596409108488877,0.992042378995571,0.7940643179636464,0.23614638663814144
Srsf9,0.0059052059052059,0.0938616938616938,0.4634032634032634,0.0971806787005905,0.3871405831441986,0.6492069426389679,0.644571088611299,0.8434296987631072,0.2754636667680144
Cox6a1,0.151981351981352,0.6943278943278944,1.0,-0.1770708249993518,0.0586963732122807,0.2329428100798339,1.0784244092985649,1.133081303718672,0.730586638614698
Rplp0,0.280963480963481,0.778865578865579,1.0,-0.0138808314500317,0.0173815587193264,0.0527015691498493,3.34761523299085,3.396445093771214,0.7806002460790881
Pebp1,0.0721056721056721,0.6125874125874127,1.0,-0.1085767909511643,0.1118989341195365,0.3097970232735475,0.7846369388531109,0.8461864579781465,0.730586638614698
Med13l,0.1270314942171347,0.5568598338696402,1.0,-29.11933270202523,-0.2805214459798346,28.439949190078483,0.1784875995789615,0.0987095900914807,0.730586638614698
Rpl6,0.0003108003108003,0.0037296037296037,0.0289044289044289,0.1095085474241769,0.1507976671501636,0.2112834381377595,2.927644177112535,3.2468026311584373,0.04161128128070244
Erp29,0.0021756021756021,0.0721056721056721,0.4634032634032634,0.0917029795282451,0.279651069761683,0.4791346359817194,1.098177911310605,1.34601380270533,0.23614638663814144
Aldh2,0.0390798595217323,0.4502910796846515,1.0,-2.7292634160329383,-0.3601723578216734,28.70290114730781,0.517527627016472,0.3604134381368067,0.6874663797740721
Vps29,0.0400701632416586,0.3248386127491286,1.0,-0.1315022072734057,0.1054643651444726,29.205691880699227,0.5837726484890124,0.6332366664271561,0.5839521303438829
Arpc3,0.054079254079254,0.5358197358197359,1.0,-0.0568478959379886,0.0195506264697706,0.1168894354290398,2.17230204133699,2.20085682660478,0.7233566433566434
Rsrc2,0.0205128205128205,0.151981351981352,0.6125874125874127,0.0678500436003844,0.2144067241890762,0.4094456088631495,0.872284428411974,1.0053729231520152,0.3670390432465567
Vps37b,0.0175635119089976,0.271160359877409,0.9550893550893552,-0.0336071308772199,0.1876606930629115,0.6585862667002998,0.781490090211042,0.8665000322369061,0.5253472289483371
Sbno1,0.268920938345118,0.772139521993872,1.0,-0.2613937681764186,-0.0435831525293916,0.1889448872836674,0.6565217047517,0.6391335105225082,0.7806002460790881
Rilpl2,0.0003108003108003,0.0037296037296037,0.0563736727102106,-0.8716617628072656,-0.5733055860659924,-0.2873618396226983,1.22482113901828,0.8182317257771676,0.04161128128070244
Tmed2,0.151981351981352,0.5358197358197359,1.0,-0.1004253373443273,0.0981182810991111,0.360259272312644,0.9904648642890694,1.035542616996673,0.7233566433566434
Ubc,0.054079254079254,0.3356643356643357,0.9550893550893552,-0.5687528820528002,-0.313244461123618,0.1153135441276337,0.958640371600831,0.7556335357590173,0.5839521303438829
Ran,0.0059052059052059,0.0721056721056721,0.5358197358197359,0.0465849960436733,0.1945302871962378,0.4247398431497181,0.992042378995571,1.13229833535435,0.23614638663814144
Cct6a,0.280963480963481,0.778865578865579,1.0,-0.1133127925886271,0.0478116493392135,0.2462161076865207,0.756755441104426,0.7762762398362257,0.7806002460790881
Chchd2,0.3356643356643357,0.778865578865579,1.0,-0.0555550083996078,-0.0014297933776821,0.0538504464778295,2.12326124608028,2.1136474099872977,0.7806002460790881
Sbds,0.1165462837344336,0.6604192593759595,1.0,-28.73705294956953,0.1580874875949232,28.76806093359497,0.1784875995789615,0.2015506248111597,0.730586638614698
Ncf1,0.0013213216663899,0.0125222247240691,0.1168971876059197,0.4057865141177598,1.9194131595116648,29.65144012599955,0.2041001766712285,0.7484856567139928,0.08906188151471116
Eif4h,0.0425939820941403,0.4634032634032634,1.0,-0.1036598484591265,0.1069304428885269,0.3349829740936061,0.6540840804383625,0.7049888594796172,0.6874663797740721
Mdh2,0.0037296037296037,0.0938616938616938,0.4882830430282611,0.1246311529955484,0.2986426458186321,0.4903934633300243,1.25769549273298,1.5529656313695264,0.2754636667680144
Ywhag,0.063883279325563,0.5534785755500186,1.0,-28.08243690494784,-0.2238882542888762,28.77438784305713,0.3397783004838413,0.3448843048055232,0.730586638614698
Fis1,0.0003108003108003,0.0014457807008947,0.0091553779041863,0.4578756031560867,0.6746069726337351,29.774287236022687,0.6025387323802549,0.9505850101033002,0.028702999208938897
Gnb2,0.054079254079254,0.4634032634032634,0.9550893550893552,-0.0162911802612853,0.1241727753428074,0.277907037434935,1.07453825681622,1.1695247525543802,0.6874663797740721
Actb,0.2318570318570318,0.6943278943278944,1.0,-0.0462200895463926,-0.0187842400357042,0.0044642095665448,4.4316094482399695,4.38397530961386,0.730586638614698
Rac1,0.1892773892773893,0.5358197358197359,1.0,-0.2176476058136358,-0.0929309548700028,0.0194804048941762,1.430110268744345,1.3385910623406576,0.7233566433566434
Bri3,0.0398939912983274,0.2318570318570318,0.778865578865579,0.0092651463864343,0.2067215327627981,0.4873553278079099,0.7723321903939575,0.8855353004749121,0.4735355416142102
Arpc1b,0.0289044289044289,0.3356643356643357,0.9550893550893552,-0.0058883078396983,0.0685822775448158,0.1296570220499251,2.2594462832760147,2.3799341165458303,0.5839521303438829
Pdap1,0.0060656947207601,0.1178837571664433,0.778865578865579,0.0477762203647705,0.3841433391204527,29.50395876545968,0.5524107201290724,0.7204847488321084,0.3192102015631428
Atp5j2,0.0933177933177933,0.6125874125874127,1.0,-0.072495646929006,0.0249980397700684,0.1179177282678694,1.55362088041835,1.5711834155429214,0.730586638614698
Rpl21,0.0003108003108003,0.0059052059052059,0.054079254079254,0.0406414307765194,0.0703525497554164,0.1028535268565268,3.0602771488804,3.205516746178259,0.053503543436429296
Polr1d,0.04009324009324,0.4634032634032634,1.0,-0.0519671113339655,0.1367948564206917,0.3054962442987234,0.990355189610093,1.0839627988748377,0.6874663797740721
Pomp,0.0003108003108003,0.0059052059052059,0.0938616938616938,0.1651239294937071,0.3123881388491589,0.451679071578447,1.25886777432624,1.5683387349531412,0.053503543436429296
Ubl3,0.2318570318570318,0.7365967365967367,1.0,-0.1480679191566409,0.0261398258381529,0.204298086085817,1.30637319409577,1.336102391315815,0.7672882672882675
Hmgb1,0.151981351981352,0.6125874125874127,1.0,-0.0820092287836133,0.067286162064522,0.2181735559512724,1.35406823515782,1.414952679574005,0.730586638614698
Alox5ap,0.04009324009324,0.3968919968919969,0.8665112665112666,0.0530467373832366,0.16675427163693,0.3015999680077132,1.40501431686915,1.5665011299284224,0.6424510741057504
N4bp2l2,0.0675950307453798,0.6325851216960414,1.0,-2.2203484042045045,0.4639071040986329,28.979157998944345,0.2363673482180095,0.3535384360570005,0.730586638614698
Sem1,0.054079254079254,0.5358197358197359,1.0,-0.1018907412474868,-0.0419175042217237,0.0482245158557103,2.0926925668460097,2.03117640032954,0.7233566433566434
Ndufa4,0.0721056721056721,0.5358197358197359,1.0,-0.1014960541716997,-0.0359023385795153,0.0640043540947181,1.78785416428424,1.7396600353499612,0.7233566433566434
Tes,0.0003108003108003,0.0021440236871193,0.0239017976171966,-2.500193859053736,-0.8483287768494856,-0.4822408629379377,0.937328674950752,0.5123522073990999,0.032275416890800386
Capza2,0.0205128205128205,0.3356643356643357,0.9550893550893552,-0.2013677855244885,-0.0745847252163161,0.061572302934455,1.425263330766915,1.3497779655730149,0.5839521303438829
Ndufa5,0.0370731471147282,0.4502910796846515,1.0,-0.3417706328117815,-0.111036868189974,0.1556526214287604,0.641052821654643,0.595632235854074,0.6874663797740721
Arf5,0.0721056721056721,0.4634032634032634,1.0,-0.0389539803877696,0.1164814185872503,0.2878762261767021,1.10647573674859,1.2006754739775274,0.6874663797740721
Hilpda,0.0003108003108003,0.0003108003108003,0.0014457807008947,-2.3354392842828973,-1.692239095505516,-1.4086751795896877,1.842413369987715,0.5690947669369213,0.013111888111887657
Atp6v1f,0.0205128205128205,0.4634032634032634,1.0,-0.0571858513238132,0.0516504174335146,0.1795785052806976,1.490847454885325,1.5450517065486662,0.6874663797740721
Irf5,0.0003108003108003,0.0205128205128205,0.1892773892773893,-0.6091411184655015,-0.4045953986653256,-0.1900762981410279,0.914285433624995,0.690929004345836,0.1022436378509493
1810058I24Rik,0.2698712949217355,0.7703347136423385,1.0,-0.4512500737405853,-0.0866468817936371,1.0358611113252922,0.571986718246761,0.5479243546027904,0.7806002460790881
Mtpn,0.054079254079254,0.3968919968919969,0.9550893550893552,0.023552261324637,0.1580676898942228,0.2940529199820899,1.05947544700324,1.1846730829837775,0.6424510741057504
Zc3hav1,0.0235255986784301,0.0489385496433655,0.271160359877409,-0.9812020281018408,-0.5584178823681106,-0.2386205084772422,0.756665371938181,0.5152085664236342,0.19149867251751718
Luc7l2,0.1892773892773893,0.6943278943278944,1.0,-0.2429871349720494,-0.0730458817897344,0.123237598700652,1.1758622241795549,1.108133442907465,0.730586638614698
Kdm7a,0.2672744816446535,0.7703347136423385,1.0,-0.3255058019098003,0.0393272696390605,0.396450839242125,0.649235408448556,0.669502618772725,0.7806002460790881
Mkrn1,0.0721056721056721,0.2318570318570318,0.5358197358197359,0.1351317097551084,0.3399456039441963,0.5515370230365944,0.6993883841939705,0.8750449992332012,0.4735355416142102
Ndufb2,0.0718263311415725,0.413686226993168,1.0,-0.1331308012708967,0.3111617514069722,29.42309191483505,0.5437752483282445,0.6891518926065558,0.665645299691033
Mrps33,0.0139553926052987,0.3235367862420667,1.0,-0.0779513709954535,0.1642229030100113,1.3553204574480584,0.558663880572896,0.6353600959667194,0.5839521303438829
Zyx,0.0037296037296037,0.0421027181166023,0.280963480963481,-0.9057595194063656,-0.4325967391770957,-0.151760759522133,0.737068117305014,0.5550069333440503,0.1691627067184914
Tmem176b,0.0044341093233441,0.0235255986784301,0.1168971876059197,-3.1463128308203085,-1.2764373109354272,-0.5947354003968977,1.24973552330378,0.5096918686097152,0.11424301516503825
Tmem176a,0.0011915043302341,0.0030599755224886,0.0409970611329001,-30.357944988871512,-1.876190152148528,-0.8183814094672742,1.30591521364908,0.3514868914857049,0.04161128128070244
Tra2a,0.0012432012432012,0.0721056721056721,0.778865578865579,-0.0220201055790371,0.1875395943787929,0.4110797003719759,0.72741078697341,0.8319047903898167,0.23614638663814144
Mpp6,0.2226536979813717,0.6843747548063993,1.0,-0.274154123706995,0.0318139485174127,0.4283917142659708,0.624777092750165,0.6322178613366387,0.730586638614698
Cycs,0.0938616938616938,0.4634032634032634,0.9550893550893552,-0.0371900346986464,0.200957283601326,0.3937267747642177,0.781090406894083,0.8873501172696348,0.6874663797740721
Hnrnpa2b1,0.1892773892773893,0.6943278943278944,1.0,-0.0665532621458705,0.0276586906336138,0.0938346586809232,1.758271482046925,1.7909849913906,0.730586638614698
Skap2,0.0037296037296037,0.0205128205128205,0.1892773892773893,0.1687055048533862,0.3538276316751207,0.5164603864831429,0.7627575546675456,0.9760916636569292,0.1022436378509493
Tax1bp1,0.0093240093240093,0.1205905205905206,0.6125874125874127,0.1166619690124509,0.2160157694887929,0.3844506674322568,1.31521134979737,1.5275073929816738,0.3192102015631428
Serbp1,0.0289044289044289,0.3356643356643357,0.9550893550893552,-0.0393449927709135,0.1013711344740561,0.2475689847197502,1.45031030611127,1.5561574473491189,0.5839521303438829
Igkc,0.3356643356643357,0.6943278943278944,1.0,-0.0879743637036574,0.0452059462865202,0.1639231465036583,1.83453710154832,1.893666721443215,0.730586638614698
Vamp8,0.0003108003108003,0.0093240093240093,0.1205905205905206,0.2035803554010153,0.3752522232280724,0.5437054062075147,0.914957807705891,1.1796642289042776,0.07071580105287952
Mat2a,0.0112833336286544,0.0769241046186093,0.3602408127769453,-29.69874519881185,-2.1753817563960203,-0.7865853620343257,0.74753954215312,0.1737023548143375,0.24963351258442917
Tgoln1,0.0721056721056721,0.3662781662781663,0.9550893550893552,0.001926679069585,0.3055646605750245,0.5356365096017776,0.7276701017099987,0.8917521225354708,0.6315140797899419
Tmsb10,0.054079254079254,0.3968919968919969,1.0,-0.0272505993232692,0.0603949470764453,0.1298104073348107,2.62054803059491,2.745168884915939,0.6424510741057504
