"Ligand","Receptor","From","To","LR_score","TF","TF_activity","Combined_score"
"Tnf","Tnfrsf1a","M5","M0",0.441463258443572,"Egr1",1.62161727769935,0.715884447361548
"Ccl7","Ccr1","M5","M3",0.456398047128327,"Foxo1",1.5660531765895,0.714743611494558
"Tnf","Tnfrsf1a","M5","M0",0.441463258443572,"Jund",1.61640462823066,0.71358325414198
"Il6","Il6ra","M3","M5",0.601667936059988,"Lef1",1.1849620516363,0.712953671917419
"Ccl2","Ccr1","M5","M3",0.427166307323673,"Stat5a",1.66539579265451,0.71140097098061
"Il6","Il6ra","M3","M5",0.601667936059988,"Hif1a",1.18181465190299,0.711059982415928
"Ccl7","Ccr1","M5","M3",0.456398047128327,"Relb",1.55684305291437,0.710540129035421
"Ccl9","Ccr1","M5","M3",0.438454659295079,"Stat3",1.62049763535197,0.71051473859673
"Ccl4","Ccr1","M5","M3",0.453219132170595,"Foxo1",1.5660531765895,0.709765261626894
"Ifng","Ifngr2","M5","M5",0.51188752548219,"Tbx21",1.38407161892653,0.708488996102432
"Ccl4","Ccr1","M5","M3",0.453219132170595,"Relb",1.55684305291437,0.70559105736767
"Ccl3","Ccr1","M5","M3",0.447719728363712,"Foxo1",1.5660531765895,0.701152902825777
"Il6","Il6ra","M3","M5",0.601667936059988,"Nr1h3",1.16440208319374,0.700583398139126
"Ccl2","Ccr5","M5","T4",0.434361345802266,"Hif1a",1.61243559260554,0.700379694023616
"Cxcl14","Cxcr4","M5","M3",0.446403955482941,"Foxo1",1.5660531765895,0.699092332526176
"Inhba","Acvr2a","M5","M3",0.418885195623026,"Stat5a",1.66539579265451,0.69760964239585
"Ccl3","Ccr1","M5","M3",0.447719728363712,"Relb",1.55684305291437,0.697029348755754
"Fasl","Fas","M5","T4",0.388077346184219,"Rbpj",1.79473944373661,0.696497720417446
"Cxcl14","Cxcr4","M5","M3",0.446403955482941,"Relb",1.55684305291437,0.694980896887113
"Ccl2","Ccr1","M5","M3",0.427166307323673,"Stat3",1.62049763535197,0.692221990920047
"Tnf","Tnfrsf1a","M0","T4",0.353063052474376,"Ets1",1.95022776531686,0.688553367843052
"Ccl9","Ccr1","M5","M3",0.438454659295079,"Foxo1",1.5660531765895,0.686643311979523
"Ccl7","Ccr5","M5","M3",0.39600257417802,"Stat4",1.72979620592574,0.685003750349966
"Ccl9","Ccr1","M5","M3",0.438454659295079,"Relb",1.55684305291437,0.682605090341481
"Osm","Il6st","M5","M0",0.406659640249423,"Mitf",1.67135383867107,0.679672150763469
