gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median,FDR_BH
Psma3,0.1123793122104393,0.6238787012780821,1.0,-0.1382991445581775,0.0720155312747193,0.4444833395655208,1.07447439863213,1.1265842143781435,0.6728278147877748
Hif1a,1.5876796062554575e-05,6.35071842502183e-05,0.004096213384139,-0.3240898273981994,-0.2412394668869545,-0.1595788954121261,2.553650090321826,2.157129354836221,0.008001905215527506
Zfp36l1,1.5876796062554575e-05,0.0276556527566731,0.2968939270753236,-0.5894782481706686,-0.4095758920007694,-0.1984356774292263,1.679777694045935,1.27179140753939,0.07743582771868468
Srsf5,0.004096213384139,0.0473446058585377,0.3837421608319441,-0.2572372304517659,-0.1678599830356849,-0.0710098889270081,1.6792072119302026,1.4973416515920626,0.10979301235906289
Rbm25,0.0054933714376438,0.0473446058585377,0.296907573377952,-0.4258200817573289,-0.293351888467398,-0.1238388543936993,1.55111246193249,1.2632269245974923,0.10979301235906289
Npc2,0.0690958164642375,0.5713582599031516,1.0,-0.1124867818442217,0.0353820632851128,0.3341709847551869,1.1680899365943174,1.1948911701746274,0.6525101790889528
Tmed10,0.0256131025643269,0.2911284248433565,0.9671227617061148,-30.006118312407388,-29.37077384093657,0.0,0.7603124705965627,0.0,0.43756081348226145
Batf,0.0001720247930818,0.0007335473709934,0.0007335473709934,-30.325845251249504,-30.11317110389139,-29.881984723607573,1.1613624137766476,0.0,0.012055691575456749
Snw1,0.0027786850681888,0.009501095540355,0.088567502575371,-29.51780253681209,-26.991435734820445,0.0,0.1334233310206662,0.0,0.03457282492641769
Calm1,1.5876796062554575e-05,0.0004763038818766,0.0029848376597602,0.1764436867531138,0.2445821503506796,0.3277604336169755,2.1689342891134373,2.5694518240181377,0.012055691575456749
Ndufb1-ps,0.1349368897356513,0.64330403310901,1.0,-0.1998603762952258,0.0094435241521099,0.4315548519495114,1.27939476900672,1.2907671589245235,0.6908208082818346
Ddx24,0.0689678582813591,0.4602017451187122,1.0,-0.3124818124281244,-0.1274039406325008,0.408426528948168,1.2002103461630176,1.0833307329047637,0.5935831897960201
Ifi27l2a,0.0001529566816353,0.0018792173730716,0.0284504266710261,-30.889126832257148,-30.594124070369578,-1.6575668923614553,1.6696240685195276,0.0,0.021435570526027885
Bcl11b,0.0027786850681888,0.0027786850681888,0.0298677932975399,-29.805982037933035,-28.65769832846912,0.0,0.4234740501117837,0.0,0.021435570526027885
Hsp90aa1,0.1152655394141462,0.3837421608319441,0.9116011748829072,-0.0778391455839221,0.0138907461344969,0.1403812805794714,1.804580814963225,1.82062238838223,0.5125602006871903
