gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Capza2,0.1501208222419232,0.7058654396235203,1.0,-29.522651718287985,-0.3468643191336172,2.0061690850754923,0.7132100685675827,0.5958199222158888,0.7807185978859797
Arf5,0.0821262551222226,0.4361802647236477,1.0,-1.1903904537928534,-0.1101313990730802,0.1110833560872427,1.3029393935660123,1.2057420144926,0.7807185978859797
Atp6v1f,0.2257768083327037,0.7123816042098661,1.0,-0.1090312361397189,0.1225076712323705,0.5388549847809757,1.1809174826473587,1.28719268338957,0.7807185978859797
Zc3hav1,0.1038262693385791,0.6549402754623503,1.0,-28.585741866509903,27.54614023538595,29.704008984727647,0.0,0.367248067780205,0.7807185978859797
Luc7l2,0.1948717948717948,0.7209013209013208,1.0,-0.1759295477860848,-0.0033783720508074,0.2610996337471382,1.5232002938082436,1.5171365258222198,0.7807185978859797
Trbc1,0.2344988344988344,0.7209013209013208,1.0,-0.256289457342426,0.2565834666751475,0.7601532352109831,1.407420193472305,1.69690234070303,0.7807185978859797
Trbc2,0.1605283605283605,0.7209013209013208,1.0,-0.074523788422531,0.0257239258753686,0.1145739227769575,2.503469015412935,2.5503301288284552,0.7807185978859797
Gimap4,0.0649572649572649,0.3822843822843822,0.959129759129759,-0.3473194979976395,-0.1055023105287966,0.1028973866011859,1.4998972939793471,1.399459062296895,0.7807185978859797
Gimap6,0.0379176379176379,0.3822843822843822,0.959129759129759,-0.0467643140688631,0.0932589442837824,0.2081227381912192,1.78035776981207,1.900706738292,0.7807185978859797
Gimap7,0.1119097370670114,0.6549402754623503,1.0,-29.634867970592698,-0.1055025966819798,29.435323851012864,0.253718428610035,0.0,0.7807185978859797
Gimap1,0.0235358787657099,0.3769809145987279,1.0,-1.066942503162279,-0.2350576245243467,0.0701283955427644,1.2441315876823924,1.05841625991247,0.7807185978859797
Gimap5,0.0402162497314596,0.312686223816409,0.9538571530616036,-29.844956053757898,-28.631050746325204,0.0,0.415723984360263,0.0,0.7807185978859797
Gimap3,0.0829836829836829,0.5737373737373737,1.0,-0.1171386351133932,0.0717446899796123,0.263313401056311,1.600222382533265,1.68132202187865,0.7807185978859797
Tra2a,0.1220693218353719,0.4883708485316103,1.0,-0.7943766526390261,1.2208277420115563,29.961321554586764,0.3566808294920049,0.8556569542251975,0.7807185978859797
Hnrnpa2b1,0.0379176379176379,0.5053613053613053,1.0,-0.2063775388783147,-0.0521860697374304,0.0974556508496448,1.84047789202408,1.77227727474469,0.7807185978859797
