gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
Cd28,0.0007541478129713,0.0283400809716599,0.4824164483607208,-0.5636460646611399,-0.2667625753669224,-0.1124851557056723,1.8498800654113,1.54014540403848,0.34949522199983546
Ctla4,0.0037310470747003,0.0159635965629785,0.0571147457932555,0.1978108546419577,0.3845229505542138,0.5549451239509227,1.5434113505944,2.027846608421034,0.2645471143923146
Icos,0.009764229578471,0.0683496070492974,0.4824164483607208,0.0258215528253383,0.3292976280033739,0.6303426365080065,1.80862327528006,2.262008052406185,0.4844006648202884
Eef1b2,0.0221084385171072,0.2802651424942446,0.967135032150512,-0.0231939136204029,0.034603945190353,0.1017222185110285,2.60655636723982,2.670806272830074,0.7104072398190046
Rpl37a,0.4824164483607208,0.9018020163531,1.0,-0.0349066814152791,-0.016241945163744,-0.0005442542424269,3.97927286214841,3.930177503162732,0.9018020163531
Arpc2,0.0037310470747003,0.2991188378185282,0.9679566563467484,-0.0385300706082693,0.1081807782847629,0.2660704313978812,2.134355949536535,2.292252239472431,0.7104072398190046
Ncl,0.005239342700643,0.1002619671350321,0.535841867111217,-0.2088778643100665,-0.1190760320734978,-0.0102772529290456,2.2019108769821347,2.049167909131715,0.5467990615049436
Ptma,0.0221084385171072,0.1422164007303326,0.535841867111217,-0.1322031115803691,-0.045698193479007,-0.006727995947262,3.01485362096831,2.916985208671715,0.6026292088501144
Actr3,0.1900050984733419,0.6419036360134158,1.0,-0.3150369945454389,-0.1285890999698296,1.0686852005223666,1.34739250373263,1.22329111845368,0.7696452732676781
Snrpe,0.0556481701992537,0.4723279998326053,0.967135032150512,-0.1252359089509274,-0.0432399450472493,0.0671308365663832,1.46505633091344,1.4139875137877589,0.7696452732676781
Btg2,0.0007541478129713,0.0283400809716599,0.4319679288719536,-0.5151351971187392,-0.3191937343780014,-0.2011392934151036,1.79301056409911,1.43852350531329,0.34949522199983546
Ptprc,0.0170675557672461,0.0683496070492974,0.3402397396205445,-0.2540606109434968,-0.1552234944006774,-0.0338317262254028,2.5037680331382,2.2583551353811986,0.4844006648202884
Rgs2,0.0007527869112264,0.036078010054225,0.3706266179443429,1.1831838928962712,30.257723223817308,30.344944054428463,0.0,1.292920634142795,0.37274229898622085
Rgs1,0.0221084385171072,0.0556481701992537,0.4824164483607208,0.1027313711719563,0.3016384951711211,0.622260284646304,1.801464497645485,2.257351210898489,0.44597202386732426
Tpr,0.0198981713239897,0.1177655400828241,0.4824164483607208,0.3002184285149601,1.439451608327389,30.50666343871901,0.549906865271355,1.5106221696251376,0.5931087367073523
Arpc5,0.0250492914657497,0.2905542727973867,0.9034128159483664,0.0015030330107695,0.1446048963669085,0.774510295252838,1.29580270219512,1.425995251684335,0.7104072398190046
4930523C07Rik,0.2536212327108274,0.7313172045350196,1.0,-0.3914147468081883,-0.0858814076983877,29.903844934036805,1.15059116719208,1.05857108686878,0.7874695310258255
Gas5,0.0556481701992537,0.535841867111217,1.0,-0.0895336808210343,0.066748549817494,0.1978211683235829,1.55010236289611,1.6118954874992824,0.7696452732676781
Prdx6,0.0170675557672461,0.2991188378185282,0.967135032150512,-0.0752808255963358,0.1736326760130041,0.4999424144855109,1.462634698746075,1.6518282921977,0.7104072398190046
Prrc2c,0.0683496070492974,0.535841867111217,1.0,-0.1011443543173779,0.0090972571420633,0.2713746028144421,1.83734175178422,1.8462574678628936,0.7696452732676781
Tagln2,0.0158250082707493,0.1146957578294307,0.4199884090390556,-0.5395466745121476,-0.3989537191610552,-0.2314850873806904,1.56041831239381,1.182247543230854,0.5931087367073523
Hnrnpu,0.0017861395570373,0.0449313328570294,0.2991188378185282,-0.412290232690544,-0.2754246192649185,-0.0859006460336827,1.52010483234034,1.2735270442713738,0.411013418556443
Itpkb,0.0012982623324188,0.0164559030127128,0.0662742596212287,-30.46660710231781,-30.297030486787357,0.0,1.31921310141975,0.0,0.2645471143923146
H3f3a,0.0071842502183059,0.2991188378185282,0.967135032150512,-0.1375489342767069,-0.0456836818666618,0.0206554122781747,2.58474520449285,2.5097241320205974,0.7104072398190046
Srp9,0.0071976224173992,0.1743948311275974,0.9331910794922312,-0.0769675859651815,0.9637005650781896,30.13259035533929,0.594236091753515,1.1419054669481414,0.6263326556960662
Fam107b,0.009764229578471,0.1422164007303326,0.6503532587123918,-0.4535746591596579,-0.299270504820131,-0.0481508352144649,1.60196005252185,1.2998312206054663,0.6026292088501144
Celf2,0.012970313967227,0.4723279998326053,1.0,-0.064251328677459,0.1012150379382159,1.296388717157665,1.3513929496746049,1.4478678140910364,0.7696452732676781
Vim,0.2268397237437485,0.5918075732317218,0.9018020163531,-0.3353876721611363,-0.2312770079407708,-0.1129433504924633,2.20078805549461,1.8786562077911373,0.7696452732676781
Edf1,0.0296825706912336,0.3235446436077284,0.9659938147885658,-0.0838510550782473,1.0720934155383597,30.15563031292633,0.549906865271355,1.151709393138645,0.7357829926059923
Rpl7a,0.0071842502183059,0.2614114471699611,0.8369453044375644,0.0044970912953841,0.0699142270585349,0.1680670479477574,2.391974455889655,2.499855114626264,0.7104072398190046
Set,0.0669978764581105,0.286498866504372,0.8952067286783347,-2.2497449223105943,-0.3231805907042163,29.34418412375766,1.21815743931789,0.9944999456179175,0.7104072398190046
Rpl12,0.2268397237437485,0.7108438517107247,1.0,-0.0465811389568729,0.0038288330254471,0.0401861131638916,3.692295447508255,3.701162852529893,0.7696452732676781
Hspa5,0.1198301182821306,0.384456616654759,0.5918075732317218,-0.2698478428564316,-0.1772561612221403,-0.0831514021101757,2.16169204616848,1.9333268911575847,0.7573409605674015
Traf1,0.0135839874111353,0.2040590666842787,0.9300256853640896,-30.470679618848383,-3.0157333787068348,28.628770474158333,0.864402761245295,0.0,0.671456928922012
Rpl35,0.1002619671350321,0.4319679288719536,0.967135032150512,-0.1240591883972007,-0.0455894832654156,0.0271650074125262,2.57781820946429,2.492325831987376,0.7696452732676781
Cytip,0.0358418671112169,0.195562435500516,0.9018020163531,0.0073380092831812,0.0641990032475477,0.2716640999142926,2.22153018051283,2.3289908878524685,0.6582072829131653
Ssb,0.13824564313806,0.5825996812113596,0.9662340001638232,-0.1420898527590201,0.2553048979616201,30.2060905205435,1.07301650392516,1.232437695251935,0.7696452732676781
Atp5g3,0.0190355559668588,0.2346601471514037,0.932349983715403,-0.051331719569786,30.09628661206331,30.17280543636545,0.0,1.180078446788725,0.6910700302428103
Hnrnpa3,0.195562435500516,0.8369453044375644,1.0,-0.1553022633701478,-0.0270566829550616,0.1038176653860038,1.45666876632877,1.4341396509591688,0.8397969068376925
Cd44,0.1673414304993252,0.7108438517107247,1.0,-0.2228876361301317,-0.0240732262067426,0.220737512477452,1.32954458757593,1.309018409916615,0.7696452732676781
Nop10,0.1097586938026613,0.5027842415672923,1.0,0.0,29.722706249867905,29.9526570564582,0.0,0.8859845448247765,0.7696452732676781
Srp14,0.0375466511100235,0.3302367937943543,1.0,-0.0598340923983781,0.5847076828031594,30.21160304418264,0.805439734782585,1.2226232550450664,0.7367691420459586
Pdia3,0.0037049089277288,0.1389615849030182,0.9326171489301228,-0.4131151575324919,-0.2593803780944014,0.0536088831584051,1.44310956872518,1.2052166257820365,0.6026292088501144
Serf2,0.0831150273874732,0.5918075732317218,1.0,-0.0584281339650125,0.0246987059351514,0.1522682432915895,2.2383217373567,2.2757511914638324,0.7696452732676781
