gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Gnas,0.1205905205905206,0.5624846616632901,1.0,-0.3177006346543962,-0.1040280302128371,0.0555335562592065,1.71361678606073,1.611270692725415,0.8100202020202021
Atp5e,0.4634032634032634,0.8665112665112666,1.0,-0.1541624773371016,-0.0393632843563968,0.1353121736745327,2.06366651798777,1.9999706433895923,0.8683667510219975
Rps21,0.0205128205128205,0.1205905205905206,0.4634032634032634,0.0266123274856777,0.0851259122981607,0.1277601579501568,3.73604901830682,3.9735916733081074,0.49943684633950125
Rpl22l1,0.0003108003108003,0.0093240093240093,0.152913752913752,0.1078318387129683,0.2028336875339879,0.3305070361484681,2.34325298141563,2.6765361636482674,0.198347107438016
Sec62,0.0314437345458923,0.1514939924042201,0.5906786252963061,-30.479354268470733,-1.917035596103445,-0.1132534282469501,1.17453454950401,0.3543298867368624,0.5429562803608605
Mbnl1,0.280963480963481,0.6125874125874127,1.0,-0.0328812391320106,0.1082363631711938,0.2148090877565825,2.06462131982743,2.218679207114305,0.8100202020202021
Ccnl1,0.0440870312584946,0.3502013891792955,0.952362288442386,-30.216313471403584,-1.363419754234177,0.1575466042734195,1.11761986999033,0.354740726417435,0.6915369204046848
Pdcd10,0.1703897319667617,0.6835629105167564,1.0,-29.589951433774736,0.0,29.723560385072208,0.549906865271355,0.4764055105076092,0.8100202020202021
Rps3a1,0.2318570318570318,0.4634032634032634,0.778865578865579,0.0344597837237695,0.0911896119803207,0.1480975404065082,3.2186074348854,3.4622189020836025,0.7857707509881422
Tpm3,0.2238991155035703,0.7715426535572856,1.0,-0.1894896696108313,-0.0125112480626811,0.6680485488621509,1.57574788905112,1.5338383873255488,0.8100202020202021
Rps27,0.0006138306138306,0.0021756021756021,0.0139860139860139,0.0853092414788888,0.1166455042504905,0.1418197584845287,4.08755070280069,4.409142548062878,0.1131313131313092
S100a11,0.0205128205128205,0.0289044289044289,0.1205905205905206,-0.6868838659658987,-0.4763962170601202,-0.2318235076071728,2.26960053364799,1.6371889288056112,0.30408807786342856
S100a10,0.0003108003108003,0.0012432012432012,0.0093240093240093,-0.8338889060582682,-0.6585425521689035,-0.4913554671236619,2.74429009354073,1.7469333080055174,0.1131313131313092
Mcl1,0.280963480963481,0.778865578865579,1.0,-0.2806824852374978,-0.0663911566520077,0.1675943090470791,1.47459645912824,1.4365117007069574,0.8100202020202021
Cd2,0.04009324009324,0.3356643356643357,0.9550893550893552,-0.0432430876364477,0.2035769407461185,0.7760127750179547,1.3090630131839,1.5250348576304575,0.6684719535783366
Ptpn22,0.384993546056126,0.8616968286082338,1.0,-0.2440433458098413,-0.1008973289877335,0.1188773089744648,1.640901441334095,1.5234416701827849,0.8683667510219975
Rap1a,0.2932707266977624,0.7703347136423385,1.0,-0.6681990070340652,0.0732035859256297,30.101919266618545,1.02473330981504,1.1445501397992224,0.8100202020202021
