gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rps27a,0.0037296037296037,0.0289044289044289,0.1892773892773893,0.0224390252962838,0.0526080209583066,0.0890499191888969,3.83495714705208,3.9894692107757943,0.18334898931913854
Npm1,0.054079254079254,0.2318570318570318,0.6943278943278944,-0.1401046442352334,-0.097351884074007,-0.0603678680471749,2.50582445885049,2.344071849465805,0.5297808523614974
Clint1,0.0551597247598195,0.4174708539811019,1.0,-0.3963775141007654,-0.1197182113100628,0.7181768245080131,1.300881024484465,1.2147318605713826,0.6985240667006626
Itk,0.1146687981746683,0.5207033237981002,1.0,-0.0517586283034333,0.1440679423617978,0.4144335492742806,1.25030614492977,1.37251191706203,0.7772129273835758
Rack1,0.1892773892773893,0.6125874125874127,1.0,-0.0070640060445171,0.0554011468247858,0.0955034561222718,3.05068081184419,3.17319371301744,0.7932509545412773
Ube2b,0.1892773892773893,0.6943278943278944,1.0,-0.2596425567888242,-0.0213562233067143,0.1643977593395287,1.58369730864913,1.57505771395375,0.7932509545412773
Ppp2ca,0.0321117669640537,0.2238991155035703,0.8597155037202089,-0.6337652173069527,-0.1526179986783819,0.0452320812734808,1.27572901997831,1.17261281066071,0.5297808523614974
Hint1,0.1205228515049186,0.6125874125874127,1.0,-0.2534336947535525,0.0477791186005284,0.9749376160135608,1.24920297897551,1.306469332013805,0.7932509545412773
Ncor1,0.0635959734241105,0.5624846616632901,1.0,-0.3764760838571006,-0.1500781860086536,0.474094453408125,1.45666876632877,1.297872763655265,0.7932509545412773
Ubb,0.0721056721056721,0.5358197358197359,1.0,-0.0872154040419594,-0.0194071494052304,0.0541906308757575,3.06077060041333,3.0245533520488,0.7772129273835758
2410006H16Rik,0.0617066900283126,0.2698712949217355,0.6943278943278944,-0.5932484219658034,-0.3139525846484187,-0.106110852001457,1.47459645912824,1.17734095230794,0.5740840356224972
Rpl26,0.0037296037296037,0.054079254079254,0.2318570318570318,0.0365216502309398,0.0656172054118296,0.1325564243598017,3.44298181977368,3.6072555768204073,0.24193350509139946
Eif4a1,0.1828417017123981,0.6851773174958848,1.0,-0.2347579820760083,-0.105448979638658,0.0345870719214329,1.53793562934172,1.4183589408662425,0.7932509545412773
Eif5a,0.0166710088037554,0.2672744816446535,0.9538159449155053,0.0285765005650511,0.7317753021700757,30.458356265314595,0.843598968066475,1.419698147216475,0.5740840356224972
Pfn1,0.0139860139860139,0.2318570318570318,0.9550893550893552,-0.0222791917674898,0.0930219991482632,0.1403891363966079,2.3034855883273,2.461308475611913,0.5297808523614974
Pafah1b1,0.0316624349894849,0.223276406742471,0.7715426535572856,-0.7916392619360408,-0.3056114243171136,0.048732581732993,1.42181933228228,1.14476310796625,0.5297808523614974
Rpl23a,0.054079254079254,0.4634032634032634,0.9550893550893552,-0.0310966369996939,0.0242526447835347,0.0926044733445893,2.79154064765565,2.8303645056489826,0.724067599067599
Supt4a,0.0205128205128205,0.054079254079254,0.2318570318570318,0.10934973787959,0.3321470980826256,1.1494910641803429,1.30219950096246,1.61894862118939,0.24193350509139946
Nme2,0.0037296037296037,0.0938616938616938,0.6943278943278944,-0.4552294704133448,-0.213104586587488,-0.0276448650406419,1.80862327528006,1.57321338469478,0.3191297591297589
Atp5g1,0.2585954908026854,0.7603899357833063,1.0,-29.321671895757664,0.5362024861059279,30.04424164140704,0.67096947517441,0.8872562619659095,0.8073606610191977
Skap1,0.0014457807008947,0.008969389134836,0.0421027181166023,0.2902977684987672,0.6283045187647471,30.677922235389666,1.09238462841862,1.70581264456191,0.11655011655011624
Rpl23,0.0938616938616938,0.3968919968919969,0.9550893550893552,0.0125167562468474,0.0369727474958347,0.0523930958279398,4.09970730900184,4.20354955303476,0.6693615026948361
Rpl19,0.0093240093240093,0.0938616938616938,0.3356643356643357,0.0709038042080564,0.0860326985085824,0.1121439897770665,3.80193198510024,4.041300271858136,0.3191297591297589
Eif1,0.0003108003108003,0.0003108003108003,0.0014457807008947,-0.3065679690753088,-0.2366870613843226,-0.1899174319341701,3.5701647759465898,3.0325417741081298,0.02201502201502125
Stat3,0.3094091389923075,0.7536651375079032,1.0,-29.92183825925966,0.0,29.8617311697923,0.4517254079075985,0.3518818462684545,0.8073606610191977
Rpl27,0.054079254079254,0.4634032634032634,1.0,-0.0290914525064765,0.0118787774081213,0.0697902811640084,3.417270571111895,3.445949237687235,0.724067599067599
Ddx5,0.054079254079254,0.4634032634032634,1.0,-0.0164705618087307,0.0596196448972111,0.1369216496836373,2.77352672062016,2.9010119441437023,0.724067599067599
Gna13,0.0093240093240093,0.054079254079254,0.280963480963481,-0.4803190615948995,-0.3207351804435836,-0.1367605260488154,1.88542018273827,1.51124545238258,0.24193350509139946
Prkar1a,0.0021756021756021,0.042658103683907,0.4634032634032634,-0.5469210002245927,-0.2884159760687985,-0.0292949488118966,1.56041831239381,1.297026329760795,0.2294897982994997
Rpl38,0.1892773892773893,0.3356643356643357,0.6943278943278944,0.0151350237892117,0.0633419782689053,0.1014707893648673,3.35835307156423,3.51562039925955,0.6229578281980029
Atp5h,0.054079254079254,0.3968919968919969,0.9550893550893552,-0.1782396740426066,-0.0689755628275635,0.0422903483922134,1.85259490584447,1.779704181356205,0.6693615026948361
Sumo2,0.0289044289044289,0.3968919968919969,0.9550893550893552,-0.2095094985427193,-0.0994759870044446,0.0509086677757958,1.69097711722387,1.570572591559575,0.6693615026948361
H3f3b,0.0139860139860139,0.04009324009324,0.1205905205905206,-0.342971437489208,-0.2814319360820069,-0.1989868363490053,3.48993661656595,2.866294115927775,0.22925988133529662
Ubald2,0.2318570318570318,0.778865578865579,1.0,-0.0838319667786886,0.0108634266968173,0.1599292792021228,1.6791123641967398,1.67595687718594,0.8073606610191977
