gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_Salmonella_infTLSwk6_median,FDR_BH
Snrpf,0.0485338272976736,0.312686223816409,0.955270926520046,-30.18899614239054,-29.12970182671513,0.7585262665577283,0.87197474896919,0.0,0.7016890853100431
Eea1,0.024610569200446,0.1832329769288219,0.7011912626598479,1.1548747436104962,30.16999177422494,30.34347698995304,0.0,1.255014699780715,0.5352909884030214
Btg1,0.0829836829836829,0.2786324786324786,0.8784770784770783,0.0170431194665696,0.0658973368437134,0.1245584015476695,2.9532732467516047,3.08962989781073,0.6587667887667887
Atp2b1,0.0021117910020389,0.0131325729425316,0.1267066554338549,-30.436624801139835,-1.824960008129215,-0.400908582457728,1.3627179501618687,0.385169072766065,0.16271321880459363
Ppp1r12a,0.0639791935653712,0.451913458279073,1.0,-29.659814154660083,-27.725535276616384,28.488058851937005,0.2219308937576587,0.0,0.7648023628792858
Nap1l1,0.2197615780678967,0.7111541697294341,1.0,-0.1951828569247829,0.4506604620694353,30.01998795351937,0.8354524459817525,1.123620981650585,0.7648023628792858
Cct2,0.1182122887796561,0.5465237317126098,1.0,-29.802823017223403,-1.4347711645239796,28.776291963576277,0.335850558083815,0.0,0.7648023628792858
Lyz2,0.0092177973470549,0.0728488583209919,0.4522632674980461,1.88445849844937,29.91562053778511,30.115273638494664,0.0,1.020639905681056,0.3686926049342153
Rap1b,0.0069930069930069,0.1605283605283605,0.8794225964650968,-0.3374819082467614,-0.1622787099264824,0.0280889474088328,1.44249819838271,1.28827578810064,0.5169006949942875
Llph,0.0127769927806435,0.1419908466507321,0.7495587827451977,-29.626687134113592,-28.148002942456085,0.0,0.2974357741979175,0.0,0.4820407204245367
Naca,0.0403587536690418,0.5457726731892637,0.959129759129759,-0.0266501823526243,0.021499234490483,0.0630860832539735,2.5867353087528557,2.62797437247378,0.7648023628792858
Ptges3,0.0641787341204117,0.5244497218060842,1.0,-28.924114261645983,1.2660717613775208,30.01427214213388,0.2219308937576587,0.561391943722445,0.7648023628792858
Atp5b,0.2900470430093371,0.7874819012707261,1.0,-0.1974613595278519,0.0640337565617257,1.1954957724006685,1.19584398082858,1.2418798579096524,0.8032997735125392
Myl6,0.1605283605283605,0.7209013209013208,1.0,-0.0932282256180198,0.0068727576591653,0.129801442435118,2.071054027330585,2.0766577165468023,0.7648023628792858
Rpl41,0.2344988344988344,0.6453768453768453,1.0,-0.0427864342953708,-0.0148704743708651,0.0140058843586284,3.71907473795574,3.68256270465976,0.7648023628792858
Rps26,0.0069930069930069,0.1948717948717948,0.8784770784770783,-0.0797812440853603,-0.0396103060852387,-0.0033670428370411,3.429201028894855,3.33663293299186,0.5352909884030214
Tespa1,0.0127769927806435,0.091125993228696,0.3654215579150202,0.0,29.66737984688245,29.98278486095744,0.0,0.8526508437585595,0.3968776810355049
Uqcr10,0.0550394824230302,0.3854182323682291,1.0,-0.1122456139785373,1.3286176117582107,30.109583886049407,0.41519825635455,1.1045598233198,0.737418698924184
Ppia,0.0018648018648018,0.0379176379176379,0.2786324786324786,-0.0990696490941005,-0.0685491729373345,-0.0319279984640766,3.127669629820633,2.983345237846435,0.2587781062007865
Ramp3,0.312686223816409,0.7898534698691263,1.0,-0.4505243923856323,1.843618353591746,30.349482968193307,0.333154643129385,1.1607540397779297,0.8032997735125392
Sec61g,0.0495843045843046,0.5053613053613053,1.0,-0.2173020523946836,-0.0903654217559172,0.0561685659238562,1.57061003855168,1.47556115453791,0.7648023628792858
Actr2,0.0984722781285988,0.4883708485316103,1.0,-30.04687341721844,-0.2219989027024808,0.4587359531058341,1.153473058290852,0.9848620965344814,0.7648023628792858
Peli1,0.2147580662912051,0.6355065570939342,1.0,-1.079093225049464,-0.089095223363806,0.4998655383961077,1.1894972095767202,1.129033724874545,0.7648023628792858
B3gnt2,0.0127769927806435,0.1651999264393238,0.8621866944007625,0.0,28.51741902586261,29.99546570483791,0.0,0.3965115887050785,0.5232648387695328
Rel,0.0069775792535389,0.0984722781285988,0.4186613785292437,0.8361284021731002,1.3195921595311204,30.46717225691621,0.58951353989633,1.453883472141675,0.4060851429272478
Rps27a,0.1605283605283605,0.7209013209013208,1.0,-0.0174212163754567,0.0064588932417659,0.0294872497169729,3.97142468484105,3.988656646549245,0.7648023628792858
Npm1,0.2344988344988344,0.7209013209013208,1.0,-0.0930042058125054,-0.0253164874254124,0.0454817768760689,2.3873636683078576,2.34532435550872,0.7648023628792858
Dock2,0.0128412623372195,0.1782588513308433,0.8484602097695688,-30.016948952107203,-29.13264583513925,0.0,0.6864487025180515,0.0,0.5352909884030214
Clint1,0.0038499238704509,0.1303807303807303,0.7984459984459983,-0.4105223979353553,-0.1964685380192336,0.0028546056207778,1.39302464302897,1.214118348641795,0.4568862784195202
Itk,0.0443081504947016,0.3706183398171955,0.95799832386793,-0.0204992278432259,0.5363500622159468,2.3271798307084697,0.9373474112278876,1.37210195231931,0.7335427857166986
Rack1,0.0206682206682206,0.1948717948717948,0.7984459984459983,-0.0802903896264132,-0.0370886204757814,-0.0038128583700597,3.2552830110101025,3.17540213720302,0.5352909884030214
Hnrnpab,0.0127769927806435,0.1419908466507321,0.6025243523612969,-29.96243014647456,-28.87910963539655,-27.35739407459211,0.4937171887619862,0.0,0.4820407204245367
Ube2b,0.0069930069930069,0.0498834498834498,0.4418026418026417,0.0509988254758637,0.2277240347365325,0.3900146847347089,1.34618105400497,1.57321338469478,0.30020767111676155
Ppp2ca,0.1774702543186136,0.7111541697294341,1.0,-0.4574600179340627,0.0149638655970213,1.0077695669889817,1.15296455649304,1.176568281279995,0.7648023628792858
Tcf7,0.0018882244778923,0.0180440947460136,0.0822338280891007,0.3928170331203617,0.9302558749369026,2.698140404814484,0.8852627277148926,1.6705457762737677,0.1926643664816291
Uqcrq,0.1782588513308433,0.7011912626598479,1.0,-29.47851858445257,0.0,29.81287506406826,0.2219308937576587,0.4069639833321815,0.7648023628792858
Rapgef6,0.0324742023051655,0.180008443727484,0.7495587827451977,-29.44381209851137,-27.35739407459211,0.0,0.1719476390760952,0.0,0.5352909884030214
Hint1,0.0069930069930069,0.120801029659698,0.7209013209013208,-0.3010479163834685,-0.1500529903374842,-0.0166229636402836,1.4449617580621226,1.3053705678536776,0.45180950076113036
Arf1,0.0892626890842453,0.4186613785292437,1.0,-30.065402713763884,-28.70902045069449,0.5739899844797594,0.9100969372855536,0.0,0.7648023628792858
Ncor1,0.1025458809789091,0.6453768453768453,1.0,-0.1946275616598626,0.0089702418182578,0.5381546805757328,1.2971373140828175,1.2982866504529298,0.7648023628792858
Ubb,0.0069930069930069,0.1048951048951048,0.4418026418026417,0.0355593916065243,0.0836189815434125,0.134407926941166,2.8494137331600786,3.021584198050335,0.4060851429272478
2410006H16Rik,0.1385464150989199,0.5992415158356712,1.0,-0.148153521009368,0.4143737370437179,30.055921243545303,0.8680828521318951,1.1713421021973849,0.7648023628792858
Rpl26,0.0379176379176379,0.3822843822843822,1.0,-0.0316076605903694,-0.0101571870735052,0.0095162446635101,3.6312305798234426,3.6066388333678634,0.7335427857166986
Kdm6b,0.0024552337317397,0.0176722763867224,0.1104651304114385,-30.29010909237088,-29.85678872726984,-28.57150750770639,0.97227469054251,0.0,0.1926643664816291
Eif4a1,0.0404213463806162,0.3822843822843822,0.959129759129759,-0.0382677991713585,0.1661491723559606,0.6842643301843467,1.2619977381151886,1.42004258434567,0.7335427857166986
Eif5a,0.000930972271575,0.0379176379176379,0.3448676138108178,0.1072825211163451,0.2398817099054971,0.5545237618122213,1.2092895936540762,1.42268371716628,0.2587781062007865
Gabarap,0.0053485092573125,0.0829836829836829,0.7509759591787715,-0.0007444724903135,0.5680972828129862,2.5718198547152484,0.8483464559294387,1.254856064061865,0.3686926049342153
Rnasek,0.0287082281575455,0.214946955169527,0.9157395749897528,-0.0705231575519345,1.3911464780669929,30.1493367325487,0.4403120352737936,1.166452231520175,0.5784344891147434
Pfn1,0.1948717948717948,0.7209013209013208,1.0,-0.100908631474503,-0.0303119636706541,0.0699173816553563,2.514429564845562,2.4631619325602703,0.7648023628792858
Pafah1b1,0.2040054820961939,0.7111541697294341,1.0,-0.3973423884130707,0.1205638769781775,1.8527943652631724,1.0687931858832074,1.145615363230975,0.7648023628792858
Ssh2,0.0207687088228081,0.1859940458034531,0.7922976624962125,0.038842099769524,0.2771644813839002,1.4015816560843894,1.10533756178743,1.344141479723335,0.5352909884030214
Rpl23a,0.0206682206682206,0.1948717948717948,0.8784770784770783,-0.1363353492502652,-0.0819593721355894,-0.0133748658945784,2.99986148418128,2.833313074274765,0.5352909884030214
Crlf3,0.1275273133578452,0.6355065570939342,1.0,-0.3078341190539222,-0.037706417830589,0.995839053681128,1.25185069587081,1.2179062431258374,0.7648023628792858
Slfn2,0.0179620677464387,0.1843442585092005,0.7111848555914448,0.0388699610479303,0.2601042287518219,0.8274995900882353,1.268425903618935,1.5082533699837777,0.5352909884030214
Vmp1,0.0072324526252633,0.1266856129229834,0.7111848555914448,0.1248797903390799,0.9230373045169796,30.217854194650133,0.662843333011935,1.262570263091205,0.4568862784195202
Supt4a,0.0001554001554001,0.0006216006216006,0.0100266559492814,0.2442695965211964,0.4257835953230569,1.1084454456305444,1.207725936057091,1.620312555185975,0.0685832685832662
Nme2,0.0104118104118104,0.1048951048951048,0.4418026418026417,-0.4427213893007159,-0.3246721975264744,-0.1961847179185742,1.9728549350525728,1.5783941954778902,0.4060851429272478
Atp5g1,0.1454638334839635,0.6217687412649331,1.0,-30.053150638282524,-0.2700119864845012,0.9121295239056236,1.0150818836915103,0.8866273286527799,0.7648023628792858
Skap1,0.0003108003108003,0.0029526029526029,0.0235436126683159,0.2420978700575774,0.5302575149270572,1.7299269049979864,1.18017872941962,1.7064442532873776,0.11946119345705974
Rpl23,0.1303807303807303,0.3822843822843822,0.8784770784770783,-0.0339146321124251,-0.0165597921378909,0.0031947918428571,4.253544915282665,4.2037948233760005,0.7335427857166986
Rpl19,0.2344988344988344,0.7209013209013208,1.0,-0.0148243616213736,0.0019121205668138,0.0200490026042582,4.035732683538706,4.04125132007124,0.7648023628792858
Eif1,0.0001554001554001,0.0104118104118104,0.1605283605283605,-0.1099913377423109,-0.0778819488435229,-0.0409276836519199,3.20331570981633,3.032777460912075,0.15316929983596633
Stat5b,0.1480106940237816,0.3654215579150202,0.9490942518180976,-29.595970347006894,-28.04025154770113,0.0,0.2760303272147787,0.0,0.7335427857166986
Stat3,0.0298406889515168,0.2143384593166685,0.9039463242886904,0.0,28.39051584996602,29.92286748319039,0.0,0.3518818462684545,0.5784344891147434
Rpl27,0.0498834498834498,0.2344988344988344,0.7984459984459983,-0.0550817162339499,-0.0286301598944916,-0.0054135145987454,3.509882067618055,3.4437841375263,0.5993753993753991
Limd2,0.001087801087801,0.0829836829836829,0.6453768453768453,0.0314415439293481,0.1246125991837127,0.234311269194844,1.3237404728150723,1.4448365501150375,0.3686926049342153
Ddx5,0.2786324786324786,0.7984459984459983,1.0,-0.0525830126998398,-0.0038745095562099,0.045866896203232,2.913761322611059,2.904210816804715,0.8032997735125392
Gna13,0.0281274281274281,0.2932663384219456,0.959129759129759,-0.0071257206095594,0.1605157529696351,0.4060761325050817,1.3513933940628098,1.5036202530673377,0.6908979218339074
Prkar1a,0.1275062708469737,0.6741981971505068,1.0,-0.1765841425663614,0.0551212503572149,0.5629911095834349,1.2445448834859176,1.29623613433908,0.7648023628792858
Rpl38,0.3822843822843822,0.7984459984459983,1.0,-0.0584690555316991,0.0084006421958018,0.0457385247110212,3.49639305720124,3.51623087789374,0.8032997735125392
Atp5h,0.1948717948717948,0.6453768453768453,1.0,-0.0625925001930517,0.0368399679539521,0.1238990832858939,1.7322421535359749,1.783582041465615,0.7648023628792858
Sumo2,0.1297435897435897,0.6453768453768453,1.0,-0.1023209364722515,0.0174882648186612,0.0996444093598865,1.5460644827069812,1.5696052072456426,0.7648023628792858
H3f3b,0.0003108003108003,0.0104118104118104,0.1055322455322449,-0.1689569469379938,-0.1203326367999166,-0.0712751617531398,3.115250473314678,2.86520566210276,0.15316929983596633
Ubald2,0.1303807303807303,0.6408155567716205,1.0,-0.0863617270551972,0.0445565669865281,0.1672962618215614,1.62535819867468,1.6759919291028975,0.7648023628792858
Actg1,0.0001554001554001,0.0006216006216006,0.0069930069930069,-0.4647049351933661,-0.3308398640059744,-0.221621693026693,2.62696467973827,2.08457241400343,0.0685832685832662
Sf3b6,0.0287082281575455,0.2516139128667293,0.9039463242886904,-30.03953398293717,-28.58711950273072,0.4188983107984491,0.5039587469928499,0.0,0.6309409481733893
Trib2,0.3252709799742125,0.8092796797798605,1.0,-29.444803902044097,-27.267972600894403,0.0,0.1616135131783212,0.0,0.8105040060730222
Odc1,0.0820772977283139,0.451913458279073,1.0,-29.584756986986896,-27.943451877534,0.0,0.2581173488938325,0.0,0.7648023628792858
Id2,0.0045693045692244,0.0535024501087161,0.4881429337396992,-29.809443115154444,-28.088396554102964,0.0,0.2853973205104925,0.0,0.31343913249531025
Rps7,0.0206682206682206,0.2786324786324786,0.959129759129759,-0.0501038287512001,-0.0249412167890641,0.004369213302782,3.93773228872194,3.872196468089193,0.6587667887667887
Bzw2,0.0131325729425316,0.1388637976716842,0.5532410744982393,0.6598844148537203,29.99271581655513,30.23981290984529,0.0,1.1722651986143924,0.47879080238882776
Ifrd1,0.0045693045692244,0.0820772977283139,0.36552334199739,-30.159412826329813,-29.535756381621887,-27.725535276616384,0.7783034480608833,0.0,0.3686926049342153
Baz1a,0.0127769927806435,0.1651999264393238,0.8360458001367134,0.0,28.44614531216985,29.792971911296547,0.0,0.3657151896924005,0.5232648387695328
Nfkbia,0.3643644646604955,0.7925220947447302,1.0,-0.8531816774872238,0.0754847561479157,0.6626274071777521,1.347975977511145,1.407743637944895,0.8032997735125392
