gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Hsp90b1,0.0111942588425956,0.2189761727516554,0.967135032150512,-0.2828934701854485,-0.1585359696843171,0.1137272794763805,1.41649528794692,1.258253563129185,0.5327512285505079
Slc25a3,0.0358418671112169,0.535841867111217,1.0,-0.1948848795050439,-0.0468504049367961,0.0592378552562614,1.81107659147822,1.7552932177079523,0.7611456512731224
Snrpf,0.0190355559668588,0.1356553584260904,0.4976345889422713,0.1191858223800681,1.22547529121343,30.374706588476705,0.587267274752005,1.3561940927482574,0.4172164817343941
Btg1,0.2268397237437485,0.6503532587123918,1.0,-0.0984730982229336,0.007184086225572,0.151864427653605,2.8399454878132726,2.8369925576798765,0.7611456512731224
Atp2b1,0.009764229578471,0.009764229578471,0.0683496070492974,-0.4800204827493691,-0.3806208698073037,-0.2965467581924483,1.84621762228176,1.4190091056703849,0.11458024505348621
Ppp1r12a,0.0066358898527179,0.0537771224294564,0.3839092970818034,-30.32639542880826,-29.074178250780367,0.0,0.565196875064045,0.0,0.25195037688638483
Nap1l1,0.124362104645174,0.6352050366129651,1.0,-0.5291858214119117,0.9878173759751444,30.08238643389164,0.549906865271355,1.0419670944026491,0.7611456512731224
Rap1b,0.0011907597046915,0.0170675557672461,0.1680469556243543,-0.3684393154316452,-0.2178508885302763,-0.0981963435640182,1.71596562985852,1.46556691398255,0.1486946146388865
Naca,0.0001587679606255,0.0026855211958398,0.1002619671350321,0.0767060577862369,0.1905295652800454,0.2937852879114063,2.31209800129763,2.6433554539613557,0.07018975852763114
Ptges3,0.0190681923508541,0.1725199962070955,0.913405101819618,-0.3733926091866284,29.12656563219821,29.887619987959614,0.0,0.643945977431909,0.4679198010333958
Atp5b,0.5821022530196049,0.6503532587123918,1.0,-0.1283320195548318,0.1301130289419262,0.8038809929722536,1.17453454950401,1.291947643101055,0.7611456512731224
Myl6,0.2981761530523141,0.7108438517107247,1.0,-0.0989979357974633,-0.0246134359863696,0.1514210255106142,2.31491749448671,2.2707916335988574,0.7611456512731224
Rpl41,0.0129792807811383,0.2991188378185282,0.967135032150512,-0.0085003818356507,0.0316880367360605,0.0463588594856677,3.666763166870165,3.753888561865296,0.5992799015528004
Rps26,0.0071842502183059,0.1002619671350321,0.6503532587123918,0.0058831568260219,0.0672383608801258,0.0939756617120413,3.21983632440176,3.3774835930690577,0.36258258555121675
Uqcr10,0.0068495995829749,0.2088516448139163,0.931590849261792,0.5303041078857516,30.040711699783976,30.172968540369222,0.0,1.1712103952790351,0.5221291120347907
Ppia,0.0449313328570294,0.3402397396205445,0.9018020163531,-0.0927163856093234,-0.0524934445181525,0.0106726772309898,3.28121923685103,3.1619965368435348,0.6290606118386273
Purb,0.0126631805582279,0.1182046075748602,0.5912267210577168,-30.25112954574901,-29.28111434507674,0.0,0.65236961302432,0.0,0.3982792948683532
Ramp3,3.969199015638645e-05,0.0001587679606255,0.0129792807811383,0.2508754167738445,0.4795624839294034,0.829774856525173,1.71596562985852,2.3934344583969738,0.022822894339915623
Sec61g,0.1198301182821306,0.4319679288719536,0.967135032150512,-0.0563958419261975,0.0989616721373045,0.2891706978483737,1.54573084079698,1.6592439417011275,0.7056294292652652
Actr2,0.2348193869804887,0.68089429484237,1.0,-0.7850029921524755,28.6608190984208,29.797145685430472,0.0,0.430428695086418,0.7611456512731224
Peli1,0.009764229578471,0.1673414304993252,0.8990759188445385,-0.4298739726959145,-0.2608425805201476,0.0404533803749486,1.474429387152115,1.2158819612209075,0.4560252252943696
Rps27a,0.1422164007303326,0.384456616654759,0.9018020163531,-0.0107651576961775,0.0207877339323827,0.0561092688110222,3.83495714705208,3.897451422465208,0.6739712029770928
Npm1,0.1950760410791195,0.7108438517107247,1.0,-0.0367348303042505,0.0003896247698142,0.0284910758789289,2.50582445885049,2.5059064119240664,0.7611456512731224
Clint1,0.0170675557672461,0.2614114471699611,0.8990759188445385,0.0015166795453109,0.2348425482744444,1.3619330686654765,1.29283775328429,1.5300542529505012,0.5629647270514144
Itk,0.0337170568337707,0.1526965374369194,0.4293451746530331,-2.595341622136833,-0.5708570520422327,-0.1777379170217274,1.25030614492977,0.8509504227490926,0.44343691427388215
Rack1,0.0128989045010716,0.1422164007303326,0.4319679288719536,0.0298656366235592,0.0957253369384537,0.1289652236034341,3.05068081184419,3.258711639349725,0.4172164817343941
Hnrnpab,0.362000457886138,0.8636836523943835,1.0,-0.2601396360009024,0.5699853335565714,30.06102043801948,0.75115414655051,1.0949923960078338,0.8682134617600883
Ube2b,0.0829321115816695,0.5918075732317218,0.9018020163531,-0.0922604512711048,0.1517658228914089,0.3108693553926204,1.58369730864913,1.7663339002204936,0.7611456512731224
Ppp2ca,0.0906343806732271,0.6119337394653838,1.0,-0.2587385278091281,-0.0227397976428419,0.1086334140028837,1.27572901997831,1.2582797313245724,0.7611456512731224
Uqcrq,0.2358320476719947,0.7616243103146927,1.0,-29.321671895757664,0.7321624630113966,29.922280507325365,0.0,0.8358608783824166,0.7996633176906914
Hint1,0.0004499141491537,0.1177655400828241,0.9018020163531,-0.063167326443641,0.2368159271556507,1.137222184908127,1.24920297897551,1.4754475724965712,0.3982792948683532
