gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Atp5g3,0.1746260898116059,0.6860413341329031,1.0,-0.0744567748611695,0.0056109618961583,0.0802980683659704,1.177554449838915,1.1824862459250776,0.7805316302998715
Hnrnpa3,0.0007314819918142,0.0101931049911082,0.078252228526237,0.0615445691791401,0.1006152566170767,0.1411938322635408,1.4338881903994487,1.5375035400756611,0.049201333707079964
Nop10,0.0933102532845503,0.5641015087408363,1.0,-29.90405157149803,-0.5264293588981812,28.451208215573715,0.867424481251978,0.458820033805291,0.6992073021923453
Srp14,0.1120270755085749,0.4356308552430793,0.976869496388966,-0.1460097081223846,-0.0429546986642733,0.0384768273738842,1.221728170502805,1.185936375394035,0.5741123132176685
Pdia3,0.0101766817515518,0.0884645027897022,0.4879463179373326,-0.3446553651391494,-0.1682267767003671,-0.0625636750899348,1.2044706982602362,1.0711457323426905,0.1923980673209663
Serf2,0.0606019697120061,0.2602362026171888,0.7074539677020747,-0.0462100171237116,-0.0239861116438848,4.180165108558671e-05,2.275590304479993,2.2386641698751464,0.4095253094477392
B2m,0.0050868269122213,0.0120228254076174,0.026229387834857,-0.0821617194906591,-0.0669402504879113,-0.0517289468869886,3.462592267279676,3.3048998463028263,0.05437349869030572
Eif2s2,0.0463865932813986,0.3407786135629546,0.9309874465595672,-0.0060153369226103,0.0421001989640349,0.0870579980437673,1.3685420789322138,1.4104259090692002,0.4972990232808233
Rbm39,0.0165749267498532,0.0885337720142295,0.3407786135629546,0.0174478035083629,0.042344477336635,0.0629354406930428,2.3305177991010937,2.399644070649348,0.1923980673209663
Top1,0.1748533068932927,0.5833604667027033,0.9775459989389258,-0.03351177798953,0.0303805755653468,0.0922417519364163,1.3912968890070014,1.4212145118520674,0.7022708735845492
Stk4,0.0002462062328227,0.00200950485566,0.0120228254076174,0.1290092291464048,0.1962194977914078,0.2699058558540785,1.3656447103429823,1.562735003285975,0.023459800873053955
Gnas,0.0011061781840807,0.0141379694559114,0.1123511976904639,-0.1344228410144182,-0.0942262301271971,-0.0488623210579838,1.668666349781866,1.5636455875630435,0.05865504683361589
Atp5e,0.0404041195882236,0.1572127533400038,0.4357306600317365,-0.0733793719267306,-0.0357562527964522,-0.0034981391493873,2.0911454945285923,2.0391468229022127,0.28698473518793427
Psma7,0.0239973237108584,0.2243356109787095,0.7955274323262316,-0.0043385247189524,0.1075042090658407,0.2441779696574353,1.086492507345855,1.172830514786834,0.3753882557043739
Rps21,0.0404041195882236,0.0998774027692641,0.2602362026171888,0.0082889051298689,0.0179981600471908,0.0294195109787028,3.730111545089711,3.777048298487929,0.21066578231164107
Rpl22l1,0.0004776817289569,0.0029456461505329,0.0193733193315928,0.0450693277363784,0.0768310020720596,0.1065409636924609,2.385164476323945,2.514398828704005,0.03017784423607175
