gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_Salmonella_infTLSwk6_median,FDR_BH
Ndufa13,0.0014643616000969,0.0131325729425316,0.1562756599569991,-30.34878428994015,-1.3665115615016812,-0.1709800298920924,1.266463878496155,0.4870029142426155,0.30548084394238106
Uba52,0.1382498950445215,0.2900470430093371,0.55774647261636,-1.173031587703174,-0.9877954486102928,-0.1309203381340637,1.4259763984906,0.69680688375005,0.6726090911164799
Jund,0.001087801087801,0.0498834498834498,0.4418026418026417,0.0406973645724189,0.1120680783692423,0.202079093223488,2.2880889459653027,2.47131355555271,0.3946661181955293
Rpl18a,0.0649572649572649,0.4418026418026417,1.0,-0.0413626420966258,-0.0114201148457562,0.0182581004982135,3.82625581218325,3.794560103499645,0.7742339455694504
Smarca5,0.0591504362583107,0.3883232289789247,1.0,-0.8316205196436691,0.6191020210398184,30.00425926568381,0.6963045136006555,1.0769651905172473,0.7461353471095052
D8Ertd738e,0.0649572649572649,0.5737373737373737,1.0,-0.0777560922482439,0.0942286882304459,0.2384097472614688,1.30282405968019,1.3876317034146974,0.7756898212898211
Junb,0.0206682206682206,0.2344988344988344,0.8004467754467735,0.0147621258210091,0.1434730727917069,0.2923536351854111,1.63842518010248,1.815336267291265,0.6154164534652337
Maf,0.0018648018648018,0.0498834498834498,0.3448676138108178,0.1360308969380197,0.317083815037594,0.5011508483552185,1.2899596630823835,1.6130459450721726,0.3946661181955293
Cox4i1,0.0046620046620046,0.1048951048951048,0.5737373737373737,-0.1445006268046513,-0.0819359100651512,-0.0209400519549927,2.1951778048059776,2.071007680899175,0.4625702166685769
Map1lc3b,0.1948717948717948,0.7209013209013208,1.0,-0.1193943800865886,0.0192453304980115,0.153800441782062,1.5200356946427425,1.544578258501415,0.7756898212898211
Ankrd11,0.0379176379176379,0.3282051282051281,0.8784770784770783,0.0696806492383058,0.1776156569912969,0.2981749671153103,1.5725355944626398,1.7777849943525177,0.6979223674875846
Rpl13,0.2344988344988344,0.7209013209013208,1.0,-0.0256798309343645,0.002373954726771,0.0251374126603704,4.187035002463075,4.193737322125255,0.7756898212898211
Tcf25,0.3514015705829848,0.8292484591829462,1.0,-1.058831756877192,0.7201311432707325,29.78117914769245,0.4976102133165725,0.8633243998437695,0.8323426698515393
Irf2bp2,0.0424886615917809,0.2976405854092169,0.955270926520046,-30.230856498558595,-1.2498466578171767,-0.3025266708345113,1.15012519629474,0.501458255886715,0.6785196396193165
Tomm20,0.001087801087801,0.0498834498834498,0.5737373737373737,-0.2119860892919753,-0.1286900034104393,-0.0176994548221327,1.747500434192045,1.59645455805837,0.3946661181955293
Sesn3,0.0984722781285988,0.4675077652819017,1.0,-1.5579119866531348,-0.9284849813426024,0.1410167599293646,1.1041751712182246,0.57980081054536,0.7756898212898211
Ubl5,0.0206682206682206,0.1605283605283605,0.7209013209013208,-0.2981567011351537,-0.1782391563319823,-0.0360856861457776,1.88158722290656,1.66485614321536,0.5331127034830737
Sept7,0.0513398264234592,0.4295368450634365,1.0,-0.0551565611658442,0.1186986834758509,0.2924249520645749,1.1565028681623926,1.25966658860368,0.7742339455694504
Ets1,0.1948717948717948,0.7209013209013208,1.0,-0.0868965351053992,-0.0310655508289213,0.0410420534402207,2.407075902332715,2.349888786395835,0.7756898212898211
Hspa8,0.0104118104118104,0.1605283605283605,0.7209013209013208,-0.1713283357302739,-0.0637293723874088,0.0055434750900874,1.98928572957936,1.91126620382234,0.5331127034830737
Rps25,0.2344988344988344,0.7209013209013208,1.0,-0.0447811340978454,-0.0054315740938839,0.0510785150316729,3.009174283467522,2.9914099310604376,0.7756898212898211
Ddx6,0.0379176379176379,0.3822843822843822,1.0,-0.0284322400798342,0.1123408868372061,0.2696878469831307,1.2566372100733676,1.3519170615610752,0.7398165383776893
Atp5l,0.0006216006216006,0.0206682206682206,0.2344988344988344,-0.1845223272995415,-0.1048836029690943,-0.0422978864811793,1.970883293565545,1.8310266992812023,0.33695462786371766
Cd3g,0.0281274281274281,0.2344988344988344,0.7209013209013208,-0.2057842700790016,-0.1187605174977234,-0.0219862867250038,2.052340787585725,1.890964012498825,0.6154164534652337
Cd3d,0.1605283605283605,0.7209013209013208,1.0,-0.069638264165637,0.0152206322738191,0.0933472181745149,2.211484442156481,2.2327348300479524,0.7756898212898211
Cd3e,0.1948717948717948,0.6453768453768453,1.0,-0.1727841247947606,-0.0593104218079002,0.0701944438011658,1.93427715693302,1.8568673884673277,0.7756898212898211
Cox5a,0.0262329846413724,0.2444968573844136,0.9152124550092317,-1.4995233029717605,-0.1344675034712135,0.105835906327002,1.1910887697467023,1.10155470259236,0.629374685515859
Rplp1,0.0206682206682206,0.1303807303807303,0.4418026418026417,0.0195437354067026,0.0398367937808488,0.0603948156220888,4.344006462615587,4.46833628990723,0.48711689545022857
Rpl4,0.0206682206682206,0.1605283605283605,0.5737373737373737,-0.0855714040142068,-0.0570888794668613,-0.0254843028722267,2.7572127613777324,2.6492404741743174,0.5331127034830737
