Edge Name,U_statistic,p_value,infTLSwk3_median,KOTLS_median,note
Rpl13_M5<==>Tspo_M3,0.0,4.4212905550252896e-05,-0.7999999999999998,-0.3095238095238095,
Rpl13_M5<==>Txndc17_M4,2.0,0.00010772000006096566,-0.7999999999999998,-0.3452380952380952,
Rpl13_M5<==>Uba52_T4,,,,,insufficient data
Rpl13_T5<==>Rpl15_T5,121.0,6.485738399827786e-05,0.7999999999999998,0.6071428571428572,
Rpl13_T5<==>Rpl18_T5,,,,,insufficient data
Rpl13_T5<==>Rpl19_T5,121.0,2.5224605330959902e-05,1.0,0.4047619047619047,
Rpl13_T5<==>Rpl26_T5,121.0,7.042584107210719e-05,0.8999999999999999,0.4047619047619047,
Rpl13_T5<==>Rpl27a_T5,,,,,insufficient data
Rpl13_T5<==>Rpl32_T5,,,,,insufficient data
Rpl13_T5<==>Rpl8_T5,121.0,7.110429039363549e-05,0.8999999999999999,0.4523809523809523,
Rpl13_T5<==>Rpl9_T5,,,,,insufficient data
Rpl13_T5<==>Rps14_T5,121.0,5.3635433606434596e-05,1.0,0.3928571428571428,
Rpl13_T5<==>Rps16_T5,,,,,insufficient data
Rpl13_T5<==>Rps18_T5,121.0,3.493796286718787e-05,0.7999999999999998,0.5476190476190477,
Rpl13_T5<==>Rps27a_T5,121.0,4.492506677942165e-05,1.0,0.5833333333333333,
Rpl13_T5<==>Rps3_T5,,,,,insufficient data
Rpl13_T5<==>Rps4x_T5,121.0,4.397748065164283e-05,1.0,0.4166666666666666,
Rpl13_T5<==>Rps6_T5,,,,,insufficient data
Rpl13_T5<==>Rps7_T5,121.0,6.174378022263762e-05,0.7999999999999998,0.369047619047619,
