Edge Name,U_statistic,p_value,infTLSwk6_median,KOTLS_median,infTLSwk6_nw_5-25_0.7pb_nw0,infTLSwk6_nw_5-25_0.7pb_nw1,infTLSwk6_nw_5-25_0.7pb_nw10,infTLSwk6_nw_5-25_0.7pb_nw2,infTLSwk6_nw_5-25_0.7pb_nw3,infTLSwk6_nw_5-25_0.7pb_nw4,infTLSwk6_nw_5-25_0.7pb_nw5,infTLSwk6_nw_5-25_0.7pb_nw6,infTLSwk6_nw_5-25_0.7pb_nw7,infTLSwk6_nw_5-25_0.7pb_nw8,infTLSwk6_nw_5-25_0.7pb_nw9,KOTLS_nw_5-25_0.7pb_nw0,KOTLS_nw_5-25_0.7pb_nw1,KOTLS_nw_5-25_0.7pb_nw10,KOTLS_nw_5-25_0.7pb_nw2,KOTLS_nw_5-25_0.7pb_nw3,KOTLS_nw_5-25_0.7pb_nw4,KOTLS_nw_5-25_0.7pb_nw5,KOTLS_nw_5-25_0.7pb_nw6,KOTLS_nw_5-25_0.7pb_nw7,KOTLS_nw_5-25_0.7pb_nw8,KOTLS_nw_5-25_0.7pb_nw9,FDR_BH
Rpl21_T2<==>Rps10_T2,72.0,0.46795705541875743,0.6999999999999998,0.6190476190476191,0.7999999999999998,0.5999999999999999,0.8999999999999999,0.7999999999999998,0.3999999999999999,0.3999999999999999,0.7999999999999998,0.3999999999999999,0.6999999999999998,0.5999999999999999,0.7999999999999998,0.5357142857142858,0.6547619047619048,0.6785714285714286,0.6071428571428572,0.5357142857142858,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.4880952380952381,0.7261904761904763,0.6547619047619048,0.49440292385827256
Rpl21_T2<==>Rsbn1l_T3,100.0,0.01009428322810522,0.6999999999999998,0.5238095238095238,0.5999999999999999,0.6999999999999998,0.4999999999999999,0.6999999999999998,0.7999999999999998,0.4999999999999999,0.7999999999999998,0.3999999999999999,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.369047619047619,0.6428571428571428,0.3928571428571428,0.5833333333333334,0.4880952380952381,0.5238095238095238,0.2976190476190476,0.5714285714285714,0.5595238095238095,0.5714285714285714,0.4166666666666666,0.013612113579565112
Rpl21_T2<==>Ybx1_M3,22.0,0.012164587829699702,-0.5999999999999999,-0.4404761904761904,-0.4999999999999999,-0.6999999999999998,-0.5999999999999999,-0.6999999999999998,-0.7999999999999998,-0.6999999999999998,-0.5999999999999999,-0.5999999999999999,-0.3999999999999999,-0.4999999999999999,-0.6999999999999998,-0.2976190476190476,-0.4285714285714286,-0.4285714285714285,-0.6071428571428572,-0.4404761904761904,-0.5595238095238095,-0.5952380952380952,-0.369047619047619,-0.369047619047619,-0.4404761904761904,-0.6309523809523809,0.01617894778948182
Rpl22_B1<==>Rpl31_T1,121.0,6.84202319775224e-05,0.7999999999999998,0.4285714285714286,0.7999999999999998,1.0,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,1.0,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.6999999999999998,0.2619047619047618,0.4523809523809523,0.4761904761904761,0.5357142857142857,0.4285714285714285,0.3809523809523809,0.3928571428571428,0.5119047619047619,0.5238095238095238,0.4285714285714286,0.4047619047619047,0.00023412063543791804
Rpl22_B1<==>Rpl36_B1,116.0,0.00023845202600001573,0.7999999999999998,0.4880952380952381,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.4999999999999999,0.7999999999999998,0.6999999999999998,0.5238095238095238,0.5357142857142857,0.3333333333333333,0.4404761904761904,0.369047619047619,0.5,0.5,0.5238095238095238,0.4880952380952381,0.2857142857142857,0.4880952380952381,0.0005275542263749225
Rpl22_B1<==>Rpl39_B1,76.0,0.3193883851969298,0.7999999999999998,0.7023809523809523,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.3999999999999999,0.4999999999999999,0.5999999999999999,0.6999999999999998,0.6904761904761905,0.7380952380952381,0.75,0.7857142857142857,0.6190476190476191,0.6904761904761905,0.6071428571428572,0.7380952380952381,0.7261904761904763,0.7023809523809523,0.6785714285714286,0.34564159970810876
Rpl22_B1<==>Rpl39_T4,121.0,6.328585543071478e-05,0.7999999999999998,0.3809523809523809,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.6999999999999998,0.6999999999999998,0.5833333333333333,0.3809523809523809,0.4761904761904761,0.1428571428571428,0.2976190476190476,0.2976190476190476,0.2976190476190476,0.3809523809523809,0.369047619047619,0.3809523809523809,0.4880952380952381,0.00023412063543791804
Rpl22_B1<==>Rps26_B1,110.0,0.001185289352728398,0.6999999999999998,0.5238095238095238,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.6999999999999998,0.6999999999999998,0.5999999999999999,0.3999999999999999,0.7999999999999998,0.5999999999999999,0.5238095238095238,0.5119047619047619,0.5238095238095238,0.5238095238095238,0.5,0.5476190476190477,0.5952380952380952,0.5952380952380952,0.5,0.5,0.5833333333333333,0.001997894664414851
Rpl22_B3<==>Rpl35a_B3,121.0,6.941748277774133e-05,0.8999999999999999,0.6547619047619048,0.8999999999999999,0.7999999999999998,0.7999999999999998,1.0,1.0,0.8999999999999999,0.7999999999999998,0.7999999999999998,1.0,1.0,0.7999999999999998,0.5476190476190477,0.7380952380952381,0.6428571428571429,0.7619047619047619,0.6309523809523809,0.6071428571428572,0.6071428571428572,0.6547619047619048,0.6547619047619048,0.6666666666666667,0.7380952380952381,0.00023412063543791804
Rpl22_M4<==>Rps26_M4,117.0,0.00016330419731051815,0.7999999999999998,0.5714285714285714,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.5357142857142858,0.4047619047619047,0.7738095238095237,0.5238095238095238,0.4166666666666666,0.4642857142857143,0.5952380952380952,0.6309523809523809,0.6666666666666667,0.5714285714285714,0.6666666666666667,0.00039521900387102404
Rpl22_T2<==>Rpl34_T2,77.0,0.2910964463872483,0.6999999999999998,0.5952380952380952,0.2999999999999999,0.6999999999999998,0.7999999999999998,0.3999999999999999,0.6999999999999998,0.7999999999999998,0.6999999999999998,0.3999999999999999,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.5952380952380952,0.6666666666666667,0.5476190476190477,0.7023809523809523,0.6071428571428572,0.7142857142857143,0.6071428571428572,0.5714285714285714,0.5357142857142857,0.5476190476190477,0.5238095238095238,0.31619096762752835
Rpl22_T2<==>Rpl39_T2,57.0,0.8410150808122601,0.7999999999999998,0.8095238095238095,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.7999999999999998,1.0,0.8214285714285714,0.7976190476190477,0.8214285714285714,0.7976190476190477,0.8571428571428572,0.8095238095238095,0.8571428571428571,0.7619047619047619,0.7619047619047619,0.8214285714285714,0.7738095238095238,0.8553760626802355
Rpl22_T2<==>Rpl6_T2,32.0,0.06513112370625875,0.6999999999999998,0.7857142857142857,0.4999999999999999,0.5999999999999999,0.6999999999999998,0.1999999999999999,0.6999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.0999999999999999,0.8999999999999999,0.8095238095238095,0.7619047619047619,0.7261904761904763,0.7976190476190477,0.7619047619047619,0.75,0.8214285714285714,0.7857142857142857,0.8095238095238095,0.8095238095238095,0.7738095238095237,0.07714082941899567
Rpl22_T2<==>Shtn1_M4,102.0,0.00648080742038501,0.7999999999999998,0.5595238095238095,0.1999999999999999,0.6999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.6785714285714286,0.5595238095238095,0.4166666666666666,0.7380952380952381,0.6309523809523809,0.5238095238095237,0.4761904761904761,0.5714285714285714,0.5595238095238095,0.5714285714285714,0.4642857142857143,0.009118737030121891
