cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B4,T2,15.689746596606177,25,0.6275898638642471
B3,O10,15.530455109675922,24,0.6471022962364967
B1,T0,14.630074579652721,22,0.6650033899842146
M0,T3,14.19285714285714,22,0.64512987012987
M4,M5,13.059523809523807,21,0.6218820861678003
B3,T7,13.044887264438858,21,0.6211851078304218
B0,B3,12.848762044958187,20,0.6424381022479093
M3,T7,12.724327782069135,21,0.6059203705747207
M3,T0,12.664285714285711,20,0.6332142857142855
B5,T7,12.452265727019642,20,0.6226132863509821
B0,T1,12.404761904761903,19,0.6528822055137844
B2,M4,12.3354434262975,20,0.616772171314875
M0,O7,12.240476190476189,18,0.680026455026455
B2,M5,12.185373819920207,19,0.6413354642063267
B4,T1,12.047619047619042,19,0.6340852130325811
M0,T7,11.91591285092222,18,0.6619951583845678
T4,T7,11.85952380952381,18,0.6588624338624338
B4,M1,11.83024870204379,19,0.6226446685286205
B4,B5,11.790476190476188,19,0.6205513784461152
M5,T3,11.514285714285712,18,0.6396825396825396
B0,B2,10.966666666666665,17,0.6450980392156862
B0,M1,10.904761904761905,17,0.6414565826330533
M1,O10,10.864285714285709,17,0.6390756302521005
M3,O7,10.42993735349601,17,0.6135257266762358
B0,M3,10.103884103462244,16,0.6314927564663902
B3,M2,10.07245849432389,15,0.6714972329549259
M5,T1,9.935714285714283,16,0.6209821428571427
B0,B5,9.543108824903442,15,0.6362072549935628
B4,M4,9.02142857142857,15,0.6014285714285713
M5,T5,8.985714285714284,14,0.6418367346938775
O10,T4,8.952380952380949,14,0.6394557823129249
B5,M5,8.914285714285713,14,0.6367346938775509
T2,T6_2,8.842857142857142,11,0.8038961038961038
T0,T2,8.757142857142856,13,0.6736263736263736
B4,M0,8.707930002574816,13,0.669840769428832
M4,T7,8.54047619047619,14,0.6100340136054421
B0,T2,8.223809523809521,13,0.6326007326007324
M1,O7,8.190476190476188,13,0.6300366300366298
M1,T0,8.116666666666665,12,0.6763888888888888
B4,M5,7.75864600822415,12,0.6465538340186792
B4,T5,7.73095238095238,12,0.6442460317460317
B1,T6,7.730074579652722,12,0.6441728816377269
T2,T6,7.37142857142857,11,0.67012987012987
B1,M7,7.328571428571427,12,0.6107142857142857
B1,O10,7.223809523809522,11,0.6567099567099566
B4,T7,7.221428571428571,12,0.6017857142857143
T0,T3,7.147619047619046,10,0.7147619047619046
O7,T5,7.080398254941243,10,0.7080398254941243
M3,T6,7.007142857142855,11,0.6370129870129868
T0,T4,6.807142857142856,10,0.6807142857142856
B0,T4,6.772019593674061,10,0.6772019593674061
M5,T7,6.585714285714284,11,0.5987012987012985
T1,T7,6.221313346067262,10,0.6221313346067262
M2,M3,6.185714285714284,9,0.6873015873015871
T0,T1,6.185714285714284,9,0.6873015873015871
B3,T0,6.078571428571427,9,0.6753968253968252
B2,T7,6.0285714285714285,9,0.6698412698412698
M5,T0,5.990476190476189,9,0.6656084656084654
M2,T2,5.8809523809523805,10,0.588095238095238
M3,M7,5.833333333333333,10,0.5833333333333333
M4,O10,5.776190476190475,9,0.6417989417989417
B5,M7,5.7759600254678585,9,0.6417733361630954
T3,T7,5.7347212590533205,9,0.6371912510059246
M0,T0,5.714285714285713,8,0.7142857142857141
T1,T6_2,5.469047619047618,7,0.7812925170068026
B0,B4,5.449445873988864,9,0.6054939859987627
B5,O7,5.340130514392265,8,0.6675163142990331
B0,T3,5.3,8,0.6625
B2,T6,5.239255031094387,8,0.6549068788867983
M0,M2,5.207918650597574,8,0.6509898313246968
B1,M2,4.899999999999999,7,0.6999999999999998
B0,M5,4.8372983346207405,8,0.6046622918275926
T0,T5,4.671428571428571,7,0.6673469387755101
B0,M4,4.53095238095238,7,0.6472789115646257
B2,B4,4.523809523809524,7,0.6462585034013605
B5,T0,4.33095238095238,6,0.7218253968253966
M7,T2,4.2142857142857135,7,0.6020408163265305
B3,T6,4.19047619047619,7,0.5986394557823128
M7,T4,4.18095238095238,6,0.6968253968253967
B0,T5,4.173809523809523,7,0.5962585034013604
B1,T6_2,4.1,5,0.82
T5,T7,4.054761904761905,6,0.6757936507936507
B2,O7,4.015673640005701,6,0.6692789400009502
M0,M7,3.9309523809523803,6,0.65515873015873
M5,O7,3.921428571428571,6,0.6535714285714285
O7,T3,3.8238095238095227,6,0.6373015873015871
M0,T6,3.814285714285714,6,0.6357142857142857
B4,O7,3.7452380952380944,6,0.6242063492063491
B0,O7,3.5880952380952382,6,0.598015873015873
T2,T7,3.421198120705954,5,0.6842396241411908
M4,T0,3.407142857142856,5,0.6814285714285713
T5,T6,3.3999999999999995,5,0.6799999999999999
B4,T3,3.2976190476190474,5,0.6595238095238095
B4,T6,3.2142857142857135,5,0.6428571428571427
B2,T0,3.164993439361832,5,0.6329986878723665
B5,O10,3.09047619047619,5,0.618095238095238
M5,O10,3.0904761904761897,5,0.6180952380952379
M7,T1,3.0428571428571423,5,0.6085714285714284
B2,M2,3.0293472220261455,5,0.605869444405229
M5,M7,2.999999999999999,5,0.5999999999999999
T1,T6,2.999999999999999,4,0.7499999999999998
M1,M2,2.9976190476190476,5,0.5995238095238096
M2,M4,2.7999999999999994,4,0.6999999999999998
B3,T6_2,2.6999999999999993,4,0.6749999999999998
B7,T1,2.6717932403008935,4,0.6679483100752234
M2,T1,2.5785714285714283,4,0.6446428571428571
T4,T6,2.5785714285714283,4,0.6446428571428571
