cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
M4,T5,42.22380952380953,69,0.6119392684610077
B5,M4,42.122653207677786,70,0.6017521886811112
B3,B4,41.4503256685548,66,0.6280352374023455
M5,T2,40.5761904761905,65,0.6242490842490845
B2,B3,40.43540623722043,63,0.6418318450352448
M0,T1,39.8857142857143,63,0.633106575963719
T1,T3,38.716666666666676,59,0.6562146892655368
B3,O7,38.098091242827046,60,0.6349681873804508
M0,T3,38.07857142857145,60,0.6346428571428575
B2,T5,36.909791156480786,56,0.6591034135085855
B3,M5,36.69699619848965,57,0.6438069508506956
B3,O10,35.05574553772027,58,0.6044094058227633
M4,T3,33.80952380952383,53,0.6379155435759214
T3,T5,32.71190476190477,48,0.6814980158730161
M4,M5,32.1809523809524,54,0.5959435626102296
B2,T3,31.853636607803008,47,0.6777369491021916
M3,T7,31.853294109699593,55,0.5791508019945381
B2,M4,29.66409026542928,48,0.6180018805297767
B1,T0,29.004714247321225,46,0.6305372662461136
M1,T7,28.923615969321272,47,0.6153960844536441
M5,T5,28.1404761904762,45,0.6253439153439155
O7,T2,28.09285714285715,43,0.6533222591362128
B1,T7,27.289598389176543,44,0.6202181452085578
B4,M0,27.085172963489658,43,0.6298877433369688
B4,T2,26.85165135851094,44,0.6102648036025213
B5,M5,26.297619047619055,43,0.6115725359911408
M0,T7,25.822386356692633,41,0.6298143013827472
O7,T1,25.68809523809525,41,0.6265389082462256
B2,M5,25.2181530272424,39,0.6466193083908308
M5,T3,24.892857142857153,39,0.6382783882783886
M0,O7,24.70238095238096,38,0.6500626566416042
B5,T7,24.68706788389812,39,0.6330017406127723
B4,B5,22.831739526384347,37,0.617074041253631
O7,T5,22.4375411120841,36,0.6232650308912251
B0,B3,22.240893508111327,36,0.6178025974475368
B3,T7,22.181839922975676,36,0.6161622200826576
M3,O7,22.11203488270502,36,0.6142231911862506
M3,T0,22.083333333333332,34,0.6495098039215685
B4,M1,21.85167727347236,36,0.6069910353742323
B0,B5,21.14627597596342,35,0.6041793135989548
M5,T1,20.685714285714283,35,0.5910204081632653
B4,T1,20.51163587473242,33,0.62156472347674
O10,T4,19.845238095238095,32,0.6201636904761905
T0,T4,19.733333333333334,30,0.6577777777777778
T4,T7,19.608646008224145,31,0.6325369680072305
B0,M3,19.50388410346224,31,0.6291575517245884
B0,T1,19.371428571428574,31,0.6248847926267281
B4,M4,19.054761904761904,33,0.5774170274170274
M0,T0,18.892857142857142,28,0.6747448979591837
T0,T2,18.745238095238093,27,0.6942680776014108
B3,T0,18.557142857142853,29,0.6399014778325122
B4,M5,17.74674124631939,29,0.6119565947006687
B0,T2,17.732455532033672,30,0.5910818510677891
B1,O10,17.669047619047614,28,0.6310374149659862
M1,O10,17.597619047619048,28,0.6284863945578232
B0,B2,17.46904761904762,27,0.6470017636684303
B4,T5,17.364518733706536,27,0.6431303234706124
B3,M2,17.074101440260105,26,0.6566962092407732
T0,T5,16.43231089452542,25,0.6572924357810167
B0,M1,16.34047619047619,27,0.6052028218694885
M5,T0,16.233333333333324,25,0.649333333333333
B2,B4,15.940476190476186,26,0.6130952380952379
M1,O7,15.521428571428567,26,0.5969780219780219
M1,T0,15.47619047619047,24,0.6448412698412695
M4,O10,15.17142857142857,25,0.6068571428571429
M4,T7,14.12765929973562,23,0.6142460565102443
M3,T6,13.988095238095235,23,0.6081780538302276
M0,M2,13.984109126788047,22,0.6356413239449112
B0,T4,13.519638641293106,21,0.6437923162520527
M5,T7,13.511904761904757,23,0.5874741200828155
T0,T3,13.478571428571428,20,0.6739285714285714
B1,M7,13.128571428571428,22,0.5967532467532467
B1,T6,12.656265055843198,20,0.6328132527921599
T2,T6,12.628571428571426,19,0.6646616541353382
B4,T7,12.55144271383616,21,0.5976877482779124
B0,M4,12.385714285714283,21,0.5897959183673468
M4,T0,12.073809523809523,20,0.6036904761904761
M3,M7,11.576190476190476,20,0.5788095238095238
B0,M5,11.541621338732815,20,0.5770810669366407
M2,M3,11.269047619047617,17,0.6628851540616245
M0,M7,10.939882755954503,17,0.6435225150561472
B5,T0,10.778571428571427,16,0.6736607142857142
M2,T2,10.740476190476187,18,0.5966931216931215
B5,O7,10.459178133439885,17,0.6152457725552873
B0,T5,10.221428571428568,17,0.6012605042016804
