,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
M2,1.3714285714285712,4.899999999999999,3.0293472220261455,10.07245849432389,0.5999999999999999,0.7023809523809523,0.0,0.0,5.207918650597574,2.9976190476190476,0.0,6.185714285714284,2.7999999999999994,2.4999999999999996,0.0,0.5595238095238095,0.6547619047619048,1.3745966692414833,0.0,2.5785714285714283,5.8809523809523805,0.4999999999999999,1.7547619047619043,2.495238095238095,0.6999999999999998,0.0,0.0,0.0
M3,10.103884103462244,147.92619047619036,54.41516173805507,133.497698713991,25.73706788389813,61.37031409625891,0.6428571428571428,1.8952380952380952,105.88340188459114,152.22142857142828,6.185714285714284,0.0,83.93809523809522,40.0714285714286,5.833333333333333,31.573809523809533,0.6547619047619048,10.42993735349601,12.664285714285711,29.569047619047623,64.0857142857143,57.96904761904763,114.6714285714285,43.81190476190479,7.007142857142855,0.6190476190476191,0.0,12.724327782069135
M4,4.53095238095238,47.36666666666668,12.3354434262975,50.28915948852673,9.02142857142857,17.304646679400594,0.0,0.0,25.209523809523812,63.326190476190476,2.7999999999999994,83.93809523809522,0.0,13.059523809523807,2.1999999999999993,5.776190476190475,0.5238095238095237,1.1357142857142857,3.407142857142856,23.092857142857152,23.688095238095244,16.8047619047619,41.92857142857144,19.4047619047619,1.7595238095238093,0.0,0.0,8.54047619047619
M5,4.8372983346207405,45.80793000257485,12.185373819920207,17.6167131689097,7.75864600822415,8.914285714285713,0.0,1.3999999999999997,43.33418062750244,21.714285714285722,2.4999999999999996,40.0714285714286,13.059523809523807,0.0,2.999999999999999,3.0904761904761897,0.0,3.921428571428571,5.990476190476189,9.935714285714283,19.12857142857143,11.514285714285712,33.63095238095239,8.985714285714284,1.8999999999999995,0.0,0.0,6.585714285714284
M7,0.0,7.328571428571427,0.6999999999999998,2.4023809523809523,0.0,5.7759600254678585,0.0,0.0,3.9309523809523803,1.2999999999999998,0.0,5.833333333333333,2.1999999999999993,2.999999999999999,0.0,2.154761904761904,0.0,2.1380952380952376,0.0,3.0428571428571423,4.2142857142857135,1.4785714285714284,4.18095238095238,1.130952380952381,0.0,0.0,0.0,1.5062307283070526
O10,0.7999999999999998,7.223809523809522,0.5952380952380952,15.530455109675922,1.8999999999999997,3.09047619047619,0.0,0.0,1.7238095238095235,10.864285714285709,0.5595238095238095,31.573809523809533,5.776190476190475,3.0904761904761897,2.154761904761904,0.0,0.5595238095238095,1.3999999999999997,2.2086443721446414,1.2999999999999998,1.7999999999999998,1.6999999999999995,8.952380952380949,2.5071428571428567,0.0,0.0,0.0,1.827693627271771
O4,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.6547619047619048,0.6547619047619048,0.5238095238095237,0.0,0.0,0.5595238095238095,0.0,0.6309523809523809,0.0,0.0,0.5476190476190477,0.0,0.6999999999999998,0.0,0.0,0.0,0.0,0.0
O7,3.5880952380952382,23.750949025070156,4.015673640005701,21.32857595027205,3.7452380952380944,5.340130514392265,0.0,1.7714285714285711,12.240476190476189,8.190476190476188,1.3745966692414833,10.42993735349601,1.1357142857142857,3.921428571428571,2.1380952380952376,1.3999999999999997,0.6309523809523809,0.0,0.6999999999999998,16.20238095238095,17.416666666666668,3.8238095238095227,1.9190476190476187,7.080398254941243,0.7023809523809523,0.0,0.0,2.039598389176533
T0,0.5999999999999999,14.630074579652721,3.164993439361832,6.078571428571427,1.1547619047619047,4.33095238095238,0.0,0.0,5.714285714285713,8.116666666666665,0.0,12.664285714285711,3.407142857142856,5.990476190476189,0.0,2.2086443721446414,0.0,0.6999999999999998,0.0,6.185714285714284,8.757142857142856,7.147619047619046,6.807142857142856,4.671428571428571,0.0,0.5999999999999999,0.0,0.0
T1,12.404761904761903,97.51666666666661,27.318168181668455,39.81273625896925,12.047619047619042,31.6309523809524,0.7999999999999998,2.6717932403008935,21.738095238095237,34.53333333333334,2.5785714285714283,29.569047619047623,23.092857142857152,9.935714285714283,3.0428571428571423,1.2999999999999998,0.0,16.20238095238095,6.185714285714284,0.0,98.76666666666657,19.35714285714285,30.657142857142862,35.838095238095235,2.999999999999999,5.469047619047618,0.0,6.221313346067262
T2,8.223809523809521,141.79638324349455,56.67970485569999,84.20819196026183,15.689746596606177,25.67495467206615,1.7200503499591375,1.177180136454095,30.520027200242097,59.73571428571432,5.8809523809523805,64.0857142857143,23.688095238095244,19.12857142857143,4.2142857142857135,1.7999999999999998,0.5476190476190477,17.416666666666668,8.757142857142856,98.76666666666657,0.0,39.514285714285734,56.98809523809524,73.07380952380956,7.37142857142857,8.842857142857142,0.0,3.421198120705954
T3,5.3,57.70714285714285,17.611026960605102,33.01627826790681,3.2976190476190474,23.656588731131716,1.2999999999999998,0.6999999999999998,14.19285714285714,28.228571428571435,0.4999999999999999,57.96904761904763,16.8047619047619,11.514285714285712,1.4785714285714284,1.6999999999999995,0.0,3.8238095238095227,7.147619047619046,19.35714285714285,39.514285714285734,0.0,24.123809523809527,19.97619047619047,2.2190476190476187,0.0,0.0,5.7347212590533205
T4,6.772019593674061,123.5023809523808,30.8440559555172,49.39594339696112,30.64602524067007,37.302762391810525,0.0,1.2547619047619047,75.61680569863012,53.50714285714291,1.7547619047619043,114.6714285714285,41.92857142857144,33.63095238095239,4.18095238095238,8.952380952380949,0.6999999999999998,1.9190476190476187,6.807142857142856,30.657142857142862,56.98809523809524,24.123809523809527,0.0,31.714285714285722,2.5785714285714283,0.6999999999999998,1.1999999999999997,11.85952380952381
T5,4.173809523809523,69.5238095238095,16.219047619047615,25.91831859241964,7.73095238095238,23.704646679400597,0.0,0.0,61.1952380952381,26.364285714285717,2.495238095238095,43.81190476190479,19.4047619047619,8.985714285714284,1.130952380952381,2.5071428571428567,0.0,7.080398254941243,4.671428571428571,35.838095238095235,73.07380952380956,19.97619047619047,31.714285714285722,0.0,3.3999999999999995,1.3999999999999997,0.0,4.054761904761905
T6,1.8571428571428572,7.730074579652722,5.239255031094387,4.19047619047619,3.2142857142857135,2.0999999999999996,0.0,0.0,3.814285714285714,2.483333333333333,0.6999999999999998,7.007142857142855,1.7595238095238093,1.8999999999999995,0.0,0.0,0.0,0.7023809523809523,0.0,2.999999999999999,7.37142857142857,2.2190476190476187,2.5785714285714283,3.3999999999999995,0.0,0.7999999999999998,0.0,1.3476190476190475
T6_2,0.0,4.1,1.9238095238095236,2.6999999999999993,0.5999999999999999,0.0,0.0,0.0,1.1999999999999997,0.6071428571428572,0.0,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,5.469047619047618,8.842857142857142,0.0,0.6999999999999998,1.3999999999999997,0.7999999999999998,0.0,0.0,0.0
T6_3,0.6689323936863109,1.883333333333333,0.0,1.2999999999999998,0.4999999999999999,0.0,0.0,0.0,0.0,0.5357142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,1.1378647873726218
T7,2.5261904761904757,18.668169817747962,6.0285714285714285,13.044887264438858,7.221428571428571,12.452265727019642,0.0,0.545544725589981,11.91591285092222,18.02904722545561,0.0,12.724327782069135,8.54047619047619,6.585714285714284,1.5062307283070526,1.827693627271771,0.0,2.039598389176533,0.0,6.221313346067262,3.421198120705954,5.7347212590533205,11.85952380952381,4.054761904761905,1.3476190476190475,0.0,1.1378647873726218,0.0
