"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wdfy3",0.467601247640741,0.841191473261865,0,0.001,1
"Hsd17b13",0.467601247640741,0.755741940881672,0,0.001,1
"Gm28050",0.467601247640741,0.556814839333894,0,0.001,1
"Gm15728",0.467601247640741,0.658459701557865,0,0.001,1
"Sdsl",0.467601247640741,0.63193352036304,0,0.001,1
"P2rx7",0.467601247640741,0.795947578419337,0,0.001,1
"Wdr66",0.467601247640741,0.975578244490915,0,0.001,1
"Mlxipl",0.467601247640741,0.420176824294456,0,0.001,1
"Muc3a",0.467601247640741,0.608940016369818,0,0.001,1
"Nxpe5",0.467601247640741,0.78752145617351,0,0.001,1
"Gm15672",0.467601247640741,0.630139450811409,0,0.001,1
"Radil",0.467601247640741,0.756399111179014,0,0.001,1
"D430018E03Rik",0.467601247640741,-0.0495376011826085,0,0.001,1
"Peg10",0.467601247640741,0.707232018803241,0,0.001,1
"Thsd7a",0.467601247640741,0.785748408254584,0,0.001,1
"Wnt2",0.467601247640741,0.503232927871835,0,0.001,1
"Cttnbp2",0.467601247640741,0.172341929393408,0,0.001,1
"Flnc",0.467601247640741,0.833116748510736,0,0.001,1
"Tcaf1",0.467601247640741,0.680336282835968,0,0.001,1
"Chn2",0.467601247640741,0.513939790140338,0,0.001,1
"Aqp1",0.467601247640741,0.516277148585253,0,0.001,1
"Pde1c",0.467601247640741,0.5642845314431,0,0.001,1
"Gm26640",0.467601247640741,0.84561111010149,0,0.001,1
"Actg2",0.467601247640741,0.592284198839652,0,0.001,1
"Pianp",0.467601247640741,0.303665230440743,0,0.001,1
"Tspan9",0.467601247640741,0.998830718731671,0,0.001,1
"Nrip2",0.467601247640741,1.03424174632435,0,0.001,1
"Klre1",0.467601247640741,0.815260702832061,0,0.001,1
"Far2",0.467601247640741,0.884615847073668,0,0.001,1
"Tmem150b",0.467601247640741,0.818522998742898,0,0.001,1
"Ssc5d",0.467601247640741,0.564057028499173,0,0.001,1
"Rtn2",0.467601247640741,0.689406185820181,0,0.001,1
"Cblc",0.467601247640741,0.887324091829431,0,0.001,1
"Wtip",0.467601247640741,0.573562756025526,0,0.001,1
"Grin2d",0.467601247640741,0.828709004054543,0,0.001,1
"Gm45311",0.467601247640741,0.916160018022783,0,0.001,1
