gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Dhodh,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ist1,0.012031859799468726,0.1425303019847767,0.8468259210736391,0.13995712589328518,0.5039801989026624,0.6723680243060196,0.48969745122673847,0.698797217271568
Zfp821,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atxn1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ap1g1,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Phlpp2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Marveld3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp612,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cmtr2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vac14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mtss2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sf3b3,0.002778685068188869,0.029867793297539916,0.2615722360139493,-28.05581049372318,0.0,0.0,0.0,0.0
Cog4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fcsk,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St3gal2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ddx19a,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ddx19b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aars,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdpr,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9430091E24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Glg1,0.009501095540355024,0.029867793297539916,0.2615722360139493,-27.285347763355315,0.0,0.0,0.0,0.0
