"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Casp6",0.166620613813004,0.264912683622595,0.036,0.025,1
"Sys1",0.166720989596495,-0.0025199819950833,0.555,0.467,1
"Cd79b",0.166772414359611,-0.785602767127051,0.04,0.052,1
"Asf1a",0.166897606491459,-0.238145404440252,0.155,0.124,1
"Npc1",0.166901529949071,-0.762661382248182,0.049,0.062,1
"Pttg1",0.166926417058956,0.00501784446239162,0.088,0.069,1
"Clk3",0.167005171378507,-0.149705983854898,0.186,0.153,1
"Prkca",0.167041741088221,-0.274860932135993,0.04,0.028,1
"Pou2af1",0.167088972867229,-1.28611149887317,0.011,0.019,1
"Med6",0.167308181291879,-0.202995613537421,0.075,0.058,1
"Aste1",0.167701237949809,-1.58626907833718,0.005,0.011,1
"Atp6v0a2",0.167744591633193,-0.222926146463851,0.085,0.066,1
"Ctbs",0.16776982682084,-0.115354949733081,0.032,0.022,1
"Fry",0.167811243482184,0.272140827031759,0.025,0.016,1
"Foxd2",0.1680527029431,-1.54229627230384,0.005,0.011,1
"Mettl25",0.168052706198108,-1.55944482486228,0.005,0.011,1
"Krr1",0.168083658013535,-0.112672337306583,0.13,0.105,1
"Ppp1r3f",0.168261447256747,-1.0610463647833,0.011,0.019,1
"Rmrp",0.16835189276996,-1.2842718351865,0.011,0.019,1
"Fubp1",0.168635715409342,-0.0657703181718944,0.436,0.355,1
"Uba5",0.16886299517689,-0.268636715253488,0.136,0.109,1
"Chkb",0.168891624912509,-0.0636008738047456,0.062,0.047,1
"Mtor",0.168995140785716,-0.252185939061143,0.07,0.053,1
"Bnip1",0.169499985094106,0.468519208098233,0.025,0.016,1
"Actl6a",0.169593448223824,-0.218831432001542,0.203,0.164,1
"Nfil3",0.169630852157159,-0.108148821607876,0.292,0.244,1
"Fpgt",0.169814647226017,-0.833428711793962,0.036,0.047,1
"Tradd",0.169849869029355,-0.235374268424654,0.074,0.057,1
"Ifi27l2a",0.169849869029355,-0.54700021297513,0.074,0.057,1
"Slc37a1",0.169914195021833,0.175097153465882,0.018,0.011,1
"Pgam5",0.170257107483401,0.152038407656331,0.059,0.045,1
"Cgrrf1",0.170508640397716,-0.165100603404586,0.062,0.047,1
"Ndufb11",0.170582570451814,-0.0297694047432917,0.726,0.596,1
"Arap3",0.170601550094056,-0.9487343023215,0.01,0.017,1
"Eif4a2",0.170689060602456,-0.0942551656000524,0.496,0.4,1
"Uqcrfs1",0.170734188756596,-0.112201611589605,0.514,0.417,1
"Itprip",0.170821708748564,-1.30727067030927,0.016,0.025,1
"Slc46a3",0.170879394051629,1.33062500095579,0.01,0.005,1
"Zfp317",0.17107617948826,0.187393274539311,0.036,0.025,1
"Gpx2",0.171106406548388,-1.65469868673073,0.007,0.013,1
"Slc4a8",0.171116061611959,0.0500016208166967,0.025,0.016,1
"Traf6",0.171201195032053,-0.169960804581212,0.082,0.064,1
"Ptpn11",0.171699240186486,-0.343619719649458,0.181,0.145,1
"Nop53",0.171945101788529,-0.315722728048385,0.455,0.42,1
"Acer3",0.172043339667691,0.386797991777107,0.026,0.017,1
"Mtfmt",0.172363372476557,-1.12906950307298,0.025,0.035,1
"Trbv19",0.172647408999398,1.03954766943277,0.01,0.005,1
"Fam78a",0.172760475413057,-0.23688999852796,0.033,0.023,1
"Snhg10",0.172788264560089,-0.172871953321309,0.018,0.011,1
"Oip5os1",0.172805672347132,-0.150757156898759,0.39,0.316,1
"Rprd1a",0.172854185539802,-0.202082591780091,0.047,0.034,1
"Tanc1",0.172943252207084,-1.28407006268261,0.008,0.015,1
"Insrr",0.172984691257783,2.58714265834323,0.003,0.001,1
"Glis1",0.172984691257783,2.00149767814358,0.003,0.001,1
"Lrrc32",0.172984691257783,2.13631902244246,0.003,0.001,1
"Ido1",0.172984691257783,2.45183565767876,0.003,0.001,1
"March1",0.172984691257783,2.32777207898099,0.003,0.001,1
"Hsd17b2",0.172984691257783,2.05103623750155,0.003,0.001,1
