gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Mrpl20,0.00409621338413908,0.049055642335885316,0.34314519329999205,0.13468226865246544,0.4149721922384342,0.722007307890462,0.539531813961676,0.7209184080314001
Ccnl2,0.12954500207068584,0.6564077338807045,1.0,-1.176798318492219,0.046317695358361305,1.1316686542645644,0.47067845835426825,0.479866584264911
Aurkaip1,0.0004045515741784786,0.0021358168527197555,0.017749943418327762,-29.346759462865226,-0.6612483117648134,-0.3878656864875856,0.6926733581888074,0.44267451108462086
Mxra8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dvl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cptp,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ints11,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pusl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Acap3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2j2,1.5876796062554575e-05,0.000246293970482502,0.000585110770471496,0.5892215537430863,0.8470110628799736,2.038510915058114,0.5086978631174502,0.9116898305104771
C1qtnf12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
B3galt6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sdf4,0.13231801788911673,0.64330403310901,1.0,-0.17785686857960248,-0.001627111560200407,0.14398422813686337,0.5827657289836472,0.5822545584729762
Tnfrsf4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16008,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tnfrsf18,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
9430015G10Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Agrn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Isg15,3.5291394948257277e-05,3.5291394948257277e-05,3.5291394948257277e-05,-29.742774577397984,-29.554600294731504,-29.293344108726945,0.788535405417664,0.0
AW011738,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plekhn1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Noc2l,0.029867793297539916,0.08856750257537103,1.0,0.0,0.0,0.0,0.0,0.0
