gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Enpp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Enpp3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Med23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Akap7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Epb41l2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm36543,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem200a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Samd3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
L3mbtl3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgap18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lama2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptprk,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Themis,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm46218,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Echdc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf146,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rspo3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cenpw,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trmt11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm20300,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hint3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hddc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf217,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zup1,0.08710000984342534,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
A830082N09Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rwdd1,0.21626681002829287,0.7513591117305192,1.0,-29.10628547247858,0.0,29.213263188578104,0.0,0.0
Gm48045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
