"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pabpc1",4.22869470675122e-13,-0.505120737358682,0.958,0.987,8.48656740697901e-09
"Ttc39a",4.40029840797586e-13,1.24016524643569,0.536,0.2,8.83095887496676e-09
"Atp6v0a2",4.40069466298897e-13,1.32158381192426,0.693,0.333,8.83175411915256e-09
"Itga4",4.48675787854327e-13,-1.03025159513331,0.885,0.914,9.00447438644849e-09
"Psme2",4.76113963730151e-13,0.604690921757581,0.969,0.892,9.5551311381004e-09
"Aif1",4.95604081881272e-13,0.442767424522053,0.984,0.965,9.94627831927524e-09
"Jtb",5.71988403208368e-13,-0.926719961447802,0.849,0.876,1.14792352639887e-08
"Fam49b",5.80819228873641e-13,0.479657003185415,0.974,0.924,1.16564611042651e-08
"C1qb",6.75391880281774e-13,3.03291596679356,0.26,0.041,1.35544396453749e-08
"Fem1c",7.280600391209e-13,-1.22518194289632,0.615,0.737,1.46114369251173e-08
"Nt5c",7.58701564716622e-13,0.807813724971275,0.854,0.581,1.52263817022979e-08
"Upp1",8.05785625411083e-13,1.95975941504259,0.349,0.089,1.6171311716375e-08
"P2ry10",8.31086170434775e-13,-0.979019324270489,0.74,0.844,1.66790683544555e-08
"Ifi47",9.74434591227154e-13,2.26244891998645,0.208,0.019,1.95559278113378e-08
"Bloc1s2",1.00343610459808e-12,0.777007946481242,0.896,0.721,2.01379591831789e-08
"H2-Q6",1.04732924582607e-12,0.881782018314846,0.854,0.562,2.10188506344834e-08
"Pnp",1.48460097278381e-12,1.16955178496069,0.724,0.384,2.97944569227982e-08
"Zfp36",1.52850192275844e-12,-0.780073560947229,0.969,0.965,3.0675505087839e-08
"Arid4a",1.74284247318252e-12,0.908092812089568,0.896,0.698,3.49771055943e-08
"Cycs",1.74696524464606e-12,0.654287817439368,0.948,0.851,3.50598454948018e-08
"Ctla2b",1.96564551411116e-12,1.46276139345477,0.573,0.241,3.94485398226968e-08
"Slamf8",2.1030293570264e-12,1.07500686630978,0.682,0.321,4.22056961661627e-08
"Hacd2",2.29253144290188e-12,1.03426626649112,0.693,0.352,4.60088135275978e-08
"Shtn1",2.30941002659578e-12,0.831883263137136,0.87,0.641,4.63475498237507e-08
"Sp110",2.40334853509922e-12,0.891894793573193,0.807,0.53,4.82328017509062e-08
"Rhof",2.42896895117009e-12,-3.1310218748654,0.057,0.314,4.87469778810326e-08
"Junb",2.49970663842091e-12,-0.621569363375575,0.984,0.99,5.01666125264693e-08
"Cpne3",2.57547335619871e-12,0.98256580092351,0.776,0.479,5.1687174785552e-08
"Atf3",2.63108222993645e-12,0.88924867683594,0.667,0.362,5.28031892725945e-08
"Hmbs",2.93828470276004e-12,1.46854174573929,0.359,0.089,5.89684356996913e-08
"Vwa5a",3.00204228709637e-12,1.19318335537198,0.495,0.175,6.0247986659737e-08
"Mycl",3.35737313814723e-12,1.86890118677716,0.417,0.13,6.73791215094768e-08
"Gbp3",3.37296119566653e-12,3.20455082879663,0.193,0.016,6.76919582358317e-08
"Cd9",3.50413867962834e-12,-0.575983764852094,0.969,0.981,7.03245591614612e-08
"Ctnnbip1",3.62165313613872e-12,1.05179211930578,0.714,0.387,7.2682956789168e-08
"Lgals3bp",3.74938714429325e-12,1.43522437070072,0.401,0.121,7.52464505988212e-08
"Ndufs7",3.83093821708339e-12,0.999899946090565,0.76,0.413,7.68830990786465e-08
"Atp5b",4.26075525539401e-12,0.524024625397445,0.974,0.949,8.55090972205025e-08
"H13",4.61562700679742e-12,0.878394571922146,0.786,0.432,9.26310183994175e-08
"Tlcd2",5.89112509370033e-12,2.53425812385383,0.229,0.032,1.18228989505472e-07
"Cabp4",6.13704721783494e-12,3.43993259859924,0.198,0.019,1.23164400614729e-07
"Rpl30",6.61097545412504e-12,-0.25530361911518,0.995,0.997,1.32675666388835e-07
"Nmi",7.05450202208208e-12,1.09031153506984,0.589,0.251,1.41576801081165e-07
"Gbp5",7.33298906470162e-12,2.2305630636234,0.297,0.067,1.47165757539497e-07
"Spag9",7.70133676794299e-12,-0.659566955863,0.922,0.971,1.54558127595848e-07
"Ptpn18",7.8469694722451e-12,0.45780412237934,0.974,0.956,1.57480830338487e-07
"Gpx1",9.73603906410054e-12,0.530499840890406,0.979,0.956,1.95392567977434e-07
"Gfpt1",1.11194729752678e-11,-1.06440823175844,0.667,0.765,2.23156703140649e-07
"Sema4d",1.121107630442e-11,1.12677313544153,0.531,0.194,2.24995090353404e-07
"Emilin2",1.16387218256155e-11,-1.99468037376363,0.219,0.47,2.33577508318277e-07
"Rps6ka1",1.1799841198094e-11,1.32178135544228,0.401,0.124,2.36811013004548e-07
"Zfp992",1.20473349918879e-11,3.29197464147884,0.177,0.013,2.41777965952199e-07
"Nampt",1.20679223905303e-11,0.767448262920137,0.823,0.473,2.42191134455553e-07
"Map4k1",1.21175207698415e-11,1.12894551288614,0.547,0.216,2.43186524329949e-07
"Trpm2",1.22419876457924e-11,1.46317478701123,0.599,0.295,2.45684450063407e-07
"Rps16",1.26126566967803e-11,-0.204616087239528,0.995,1,2.53123407247683e-07
"Zfp36l1",1.268588709057e-11,0.819271915530851,0.88,0.61,2.5459306802065e-07
"Ptpre",1.44571561243284e-11,1.15024179229943,0.672,0.349,2.90140666259147e-07
"Sept9",1.53464270344558e-11,0.950092637451855,0.667,0.311,3.07987444154493e-07
"Lcp2",1.54804031148941e-11,1.22315466163074,0.432,0.143,3.1067621011281e-07
"Cd69",1.61767167193624e-11,1.95291536863861,0.234,0.038,3.24650527840883e-07
"Rnf19b",1.67264705954299e-11,1.04603811491295,0.76,0.438,3.35683538379682e-07
"Adam17",1.76168355099914e-11,1.12244165119069,0.672,0.321,3.53552271850017e-07
"Card11",1.78925673357937e-11,0.984843721348494,0.51,0.19,3.59085933862044e-07
"Tspan33",1.89967365729884e-11,0.994020781074579,0.667,0.317,3.81245506283305e-07
"Fcer1g",1.9358759373376e-11,1.20085882772132,0.714,0.387,3.88510941864284e-07
"Stx16",1.94174159937137e-11,1.04600777084044,0.682,0.33,3.8968812157784e-07
"Slc38a1",1.9896422422944e-11,-0.943952812897192,0.729,0.851,3.99301301606063e-07
"Ifi44",2.1329432737139e-11,1.96392963121218,0.208,0.025,4.28060385601643e-07
"Ocel1",2.24428013638612e-11,1.3607380442562,0.458,0.162,4.50404580571331e-07
"Hipk2",2.42860872507535e-11,1.20417459970528,0.693,0.368,4.87397485035373e-07
"Tbcb",2.45920373207841e-11,0.803622913221168,0.891,0.654,4.93537596990816e-07
"Smdt1",2.68478632070706e-11,0.487628016643387,0.964,0.937,5.38809766702699e-07
"Commd3",2.76548249938653e-11,0.944675428382425,0.615,0.295,5.55004682801884e-07
"Bmyc",3.14260059103531e-11,1.59618634012073,0.38,0.121,6.30688512614876e-07
"Rab8b",3.20675163492149e-11,-0.697685093602858,0.917,0.946,6.43562985612394e-07
"Dpp3",3.51485463391364e-11,1.48194881395984,0.365,0.102,7.05396176480129e-07
"Timm10b",3.63707009981891e-11,0.686874511785473,0.891,0.717,7.29923598332657e-07
"Akr1b10",3.71548617079006e-11,1.81373068549992,0.318,0.083,7.45660919615858e-07
"Il18bp",3.75414181687811e-11,2.76674259048076,0.188,0.019,7.53418721229267e-07
"Lgals1",3.88681001551634e-11,-1.05532820254871,0.573,0.752,7.80043902013975e-07
"Adam19",3.97619466291273e-11,-1.01790085440962,0.672,0.762,7.97982506899955e-07
"Glo1",4.14316601878646e-11,0.970393578222381,0.729,0.384,8.31491988310255e-07
"Phyh",4.44682975121032e-11,1.08312885880546,0.542,0.229,8.924342627704e-07
"Sumo3",4.46869355953439e-11,0.78356130580964,0.755,0.422,8.96822110462958e-07
"Coro2a",4.95548545231214e-11,0.799013599310387,0.75,0.387,9.94516375424523e-07
"Ppp1r12b",5.13394314149771e-11,2.12121641130571,0.219,0.032,1.03033104906718e-06
"Unc119",5.29099019725811e-11,0.799597808551848,0.745,0.425,1.06184882268773e-06
"Grn",5.36025846023817e-11,0.820704584349925,0.865,0.689,1.0757502703852e-06
