"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mir9-3hg",0.104399683003048,-1.38884346654918,0,0.007,1
"Gp2",0.104399683003048,-2.22644236505596,0,0.007,1
"Ern2",0.104399683003048,-1.26285452981597,0,0.007,1
"Sh2d4a",0.104399683003048,-2.19422930424698,0,0.007,1
"Gm47204",0.104399683003048,-1.33319497042606,0,0.007,1
"2810408A11Rik",0.104399683003048,-1.64204656785568,0,0.007,1
"Ang4",0.104399683003048,-1.68314070458679,0,0.007,1
"Mcpt1",0.104399683003048,-1.70152446084956,0,0.007,1
"Loxl2",0.104399683003048,-2.1535772670541,0,0.007,1
"Gm49785",0.104399683003048,-1.77907526207797,0,0.007,1
"Gm50228",0.104399683003048,-2.00636550422916,0,0.007,1
"Tceal5",0.104399683003048,-1.9027451998611,0,0.007,1
"Sez6l2",0.104399683003048,-1.15431904310844,0,0.007,1
"Asb7",0.104447499019298,-0.944791726831777,0.026,0.044,1
"Arhgap18",0.104461017597104,-0.435409012069172,0.336,0.356,1
"Mrpl35",0.104696700273541,0.0917283975145951,0.318,0.264,1
"Card9",0.10492887491431,0.14284202138182,0.219,0.173,1
"Vsig10l",0.104985108777441,1.22750582909561,0.016,0.007,1
"Nufip2",0.105091257872892,-0.212275118728064,0.513,0.527,1
"Wdr36",0.105112634674597,-0.395753617515846,0.208,0.237,1
"Pdk2",0.105141598896399,1.32337446756447,0.016,0.007,1
"Exosc1",0.105193616343361,0.0324651747195088,0.224,0.178,1
"Cd3d",0.105505634034701,1.07906088680567,0.023,0.012,1
"Tcf12",0.105662929674045,-0.663340422174725,0.107,0.134,1
"Pf4",0.105752502036341,0.909087138308701,0.034,0.02,1
"Haus8",0.105921962387816,0.185707054859543,0.232,0.189,1
"Nav2",0.105926828362034,0.62082541574553,0.016,0.007,1
"Phf10",0.106033447772386,0.0446785076038969,0.273,0.224,1
"Nfe2l1",0.106128791744657,-0.214855818500252,0.414,0.445,1
"Dip2a",0.106206127796467,0.381909017867956,0.039,0.024,1
"Trp53rka",0.106221625596301,0.340108739373435,0.078,0.055,1
"Pop1",0.106241043551255,-1.23580162767496,0.021,0.037,1
"Vmac",0.106242219481092,1.06436799743896,0.016,0.007,1
"Brwd3",0.106449528746705,0.239289491316476,0.161,0.128,1
"Bcl9l",0.10646256375279,-0.193521586197894,0.083,0.112,1
"Tfpt",0.106512713726824,0.434829714429686,0.076,0.053,1
"Tmem88",0.106565275005417,-0.66827109314025,0.076,0.101,1
"Rps12",0.106585074798212,-0.051244761042911,0.997,0.997,1
"Wdr13",0.106604206976887,0.612705416352225,0.107,0.081,1
"Hist1h2br",0.106716701682943,1.03761129029496,0.016,0.007,1
"Zfp143",0.106742607865394,-0.874702628644229,0.062,0.087,1
"Tmem94",0.10679712960809,0.520104726511576,0.076,0.053,1
"A530013C23Rik",0.106814262550066,2.68553135219092,0.008,0.002,1
"Scfd2",0.106837646379365,0.618092765494678,0.034,0.02,1
"Lpar1",0.106854210366769,0.684523484184903,0.023,0.012,1
"Cd2bp2",0.106859989182598,0.0114415256321265,0.32,0.258,1
"Tex30",0.107046102970618,0.102665864601136,0.185,0.145,1
"Slc39a2",0.107064527848618,2.4840866454537,0.008,0.002,1
"Sclt1",0.107156661543633,0.109305920753523,0.135,0.103,1
"Isoc2a",0.107165419172135,-1.4565799743661,0.005,0.016,1
"Gm20939",0.107173562047849,-1.23675809515963,0.013,0.027,1
"Trappc12",0.107192496659401,0.566304523093709,0.06,0.04,1
"Gm44699",0.107224364780867,0.960775478923732,0.023,0.012,1
"Rps19bp1",0.107301808219722,-0.394351016172803,0.271,0.299,1
"Sptb",0.107315257492572,1.99400048534434,0.008,0.002,1
"Nipsnap3b",0.107440029531094,0.117406322298282,0.305,0.252,1
"Fam13b",0.107444773706875,0.136411535740557,0.307,0.258,1
"Il7",0.10756645201112,1.5073050149089,0.008,0.002,1
"A430033K04Rik",0.10756645201112,2.60121089600646,0.008,0.002,1
"Ldhd",0.10756645201112,0.0919155762412922,0.008,0.002,1
"Gm26660",0.10756645201112,2.01673001541197,0.008,0.002,1
"Gm15420",0.10756645201112,2.05211352575954,0.008,0.002,1
"Timp3",0.107658935419655,-1.01724557452777,0.013,0.027,1
"Stag3",0.107670703343677,0.849480470976698,0.016,0.007,1
"Tln2",0.107810359049968,-1.31305727307102,0.005,0.016,1
"4732419C18Rik",0.107818111933202,2.21369152169529,0.008,0.002,1
"Kif5a",0.107818111933202,1.72774171861363,0.008,0.002,1
"Npff",0.107818111933202,2.25137584707365,0.008,0.002,1
"Gadd45gip1",0.107920078844278,-0.424634794827069,0.242,0.271,1
"Impdh1",0.108057795815362,0.276346521532788,0.086,0.062,1
"Hist2h3c2",0.108070237787508,1.71342761170802,0.008,0.002,1
"Gm43463",0.108070237787508,1.62082280628831,0.008,0.002,1
"Syngr1",0.108070237787508,1.25893154579683,0.008,0.002,1
"Pyroxd2",0.108070237787508,0.532220450609596,0.008,0.002,1
"Pigg",0.108131445066233,0.72609608550913,0.034,0.02,1
"Gm37065",0.108198795624206,-1.29421639238334,0.005,0.016,1
"Ncoa3",0.108206903844564,0.15135189787531,0.315,0.264,1
"Atmin",0.108242271875546,-0.0202885893250271,0.247,0.289,1
"Rpl18a",0.108248989536763,0.0522667859602022,0.997,0.996,1
"Hmcn2",0.108302219309085,-1.50832842257564,0.008,0.02,1
"Phyhd1",0.108310447446629,0.847739330857488,0.016,0.007,1
"Armc3",0.108322830102469,1.73842817584789,0.008,0.002,1
"Cstad",0.108322830102469,1.43711725032246,0.008,0.002,1
"Gm43514",0.108322830102469,1.5558267349427,0.008,0.002,1
"Dyrk4",0.108322830102469,1.62300569020098,0.008,0.002,1
"Lpar2",0.108322830102469,1.39516638899604,0.008,0.002,1
"Acpp",0.108322830102469,1.61405003444528,0.008,0.002,1
"Cmbl",0.108322830102469,1.46345478425936,0.008,0.002,1
"Gm11769",0.108322830102469,2.97410351740535,0.008,0.002,1
"Trac",0.10847085258243,-0.18508764835883,0.016,0.007,1
"Ctdspl2",0.108506128441154,0.122883021973319,0.31,0.253,1
"Pdcd2",0.108551128724874,0.220479605481955,0.161,0.127,1
"Gm42699",0.108575889406262,1.31604202307641,0.008,0.002,1
"Efcab7",0.108575889406262,0.960257757022993,0.008,0.002,1
"Med9os",0.108575889406262,1.468942448299,0.008,0.002,1
"Olfr482",0.10858833904281,-1.19119864428473,0.005,0.016,1
"Arl6",0.108729666648182,0.308417518858891,0.078,0.055,1
"Gm13205",0.108829416226801,1.30147848360429,0.008,0.002,1
"Nccrp1",0.108965200588604,0.238825054368824,0.023,0.012,1
"Apip",0.10900196941197,0.170746245096045,0.292,0.242,1
"Nsd1",0.109017974029486,0.132708579737503,0.523,0.457,1
"Tex264",0.109037884795926,0.00774172942412621,0.12,0.089,1
"Msantd1",0.109083411091737,1.21661340163449,0.008,0.002,1
"Oas1g",0.109083411091737,1.11609227755199,0.008,0.002,1
"Rasgef1a",0.109083411091737,0.411054886929791,0.008,0.002,1
"Mtfp1",0.109083411091737,1.07946216246633,0.008,0.002,1
"Thrb",0.109083411091737,0.611439179535253,0.008,0.002,1
"Endou",0.109083411091737,0.931076216656973,0.008,0.002,1
"Sh2d1a",0.109083411091737,0.937228428194855,0.008,0.002,1
