gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrps9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gpr45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tgfbrap1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8430432A02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AI597479,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fhl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nck2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uxs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tpp2,0.0007335473709934008,0.022438890030895015,0.3887558059849098,-28.62566210057234,-27.97064302128421,0.0,0.26302834101510275,0.0
Gm8251,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tex30,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Poglut2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bivm,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ercc5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gulp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Col3a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Col5a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wdr75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc40a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dnah7b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc39a10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4933411E06Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmeff2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cavin2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nabp1,0.000246293970482502,0.0037609181263990434,0.03941094231550701,0.5335329570409105,0.9230497968572395,3.215343892066297,0.44472534705502464,0.842831838978643
Gm17767,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Myo1b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stat4,1.5876796062554575e-05,0.00043860957713416177,0.00411139027198682,0.7490665928624952,1.0008641799186893,3.5521620215515064,0.529402457515832,1.05950017925659
Stat1,1.5876796062554575e-05,1.5876796062554575e-05,0.000246293970482502,-1.3357778600799495,-1.1775784171129553,-0.9723644854005108,1.8594295362177926,0.82336271774473
Gls,0.02524410573946178,0.3053901722632373,0.910105580693816,0.029559397127905788,0.17210032166047912,0.3209007183553758,0.7544419944360296,0.8458016955776017
Nab1,0.0315078594360238,0.3140483223727142,0.9689946775534558,-1.1169063893295954,-0.15178819019932,0.09143118926076278,0.5608880906083705,0.5031910954642242
Nemp2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd6,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29670,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hibch,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1700019D03Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pms1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ormdl1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Osgepl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Asnsd1,0.0007335473709934008,0.002778685068188869,0.04801397289426615,-28.609411088976945,-28.152357678361266,0.0,0.2983349323888565,0.0
Stk17b,1.5876796062554575e-05,0.0010637453361911566,0.03892355322695861,-0.5315344144377814,-0.36114218191165204,-0.21202647258456328,1.16334935854217,0.905165618875701
Hecw2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gtf3c3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pgap1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd44,0.00016907075718644346,0.0016408810607041523,0.030173926796862066,-29.280497548679893,-29.150523339353285,-1.6119821555261393,0.5987708242791754,0.0
Sf3b1,0.015860919266492024,0.08249583234103358,0.3837421608319441,-0.25557116692521087,-0.13422734480392096,-0.02348184428563706,1.5039901621116476,1.371102803004925
Coq10b,0.0003005389112932323,0.0016416423005410031,0.017749943418327762,-2.0930108547585338,-0.8520218736718816,-0.41611710791167383,0.7900834928772245,0.45337546383001276
Hspd1,0.0583492399385958,0.5713582599031516,1.0,-0.2347040665818891,-0.049126317182572335,0.24301891289873204,0.600926349915121,0.5820596251747798
Hspe1,6.35071842502183e-05,0.0015241724220052392,0.05737874097007224,-0.3232169982499223,-0.2191496421733436,-0.12400733024213945,1.463306949797795,1.2595779067837314
Mob4,0.022436969601454453,0.3887558059849098,0.8822739356449067,-27.902946461448785,0.0,0.0,0.0,0.0
Rftn2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm10561,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mars2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plcl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Satb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9130024F11Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1700066M21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tyw5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Maip1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Spats2l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kctd18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sgo2a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aox1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bzw1,0.020131777407319206,0.2082876875446535,0.8521179645947434,0.024041382721966452,0.14659780847302037,0.2796236237181819,0.8357095465482467,0.925399190694304
Clk1,0.0010637453361911566,0.04734460585853775,0.4726680955783123,-0.2718536159993707,-0.14741599383801884,-0.026445318406628317,1.01133516779611,0.9127496788990881
