gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median
Crem,1.5876796062554575e-05,3.175359212510915e-05,0.0007869050746109753,0.9343559649962911,1.1851112809294944,1.4315594201337172,0.6776007736954538,1.54375820268665
Gm6225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cul2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bambi,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map3k8,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
4833419F23Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mtpap,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jcad,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Svil,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26682,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp438,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm10125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zeb1,0.15364199235483264,0.5363951823187205,1.0,0.0,0.0,0.0,0.0,0.0
Arhgap12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kif5b,0.18134476462649837,0.5713582599031516,1.0,-0.2096557062637247,-0.07726368274931229,0.09820362552747937,0.8618313572184599,0.8179306222117417
Epc1,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm28529,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab18,0.0024238779803224205,0.03765027643980603,0.29147411368370935,-28.738786700109948,-27.572413154001378,0.0,0.1995829373400885,0.0
Mkx,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mpp7,0.015860919266492024,0.2702706993728666,0.910105580693816,-0.26525097692811206,-0.14152897571648893,0.027495119150061004,1.0626936792926862,0.9645063917836707
Gm9993,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wac,0.02524410573946178,0.3837421608319441,0.9699293482575216,-0.08005964612948105,0.059832181274255034,0.20849363148801753,0.7054565502430343,0.7333019251732829
Fzd8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccny,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Colec12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Thoc1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Usp14,0.06067621353514402,0.5098433838583576,0.9595657057843286,-27.26568663132461,0.0,0.0,0.0,0.0
Rock1,6.35071842502183e-05,0.012399777724855125,0.23797729618163055,0.14590372796866385,0.2891441377901126,0.4066609719272915,0.9200909172955536,1.12518415852108
Greb1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Esco1,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Snrpd1,0.09788044772564897,0.5713582599031516,1.0,-0.15919914349964084,0.04055057324951942,0.2525074978366801,0.915267211731827,0.9405277598916036
Abhd3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mib1,0.2615722360139493,0.8822739356449067,1.0,0.0,0.0,0.0,0.0,0.0
Gata6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rbbp8,0.08710000984342534,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Gm50069,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm6277,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cables1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem241,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Riok3,0.0015241724220052392,0.03717119456199921,0.2382024193694528,0.09153496491145104,0.30451719719952275,0.5649505419270534,0.578407482599212,0.7136977963701738
Rmc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Npc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd29,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lama3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ttc39c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cabyr,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Osbpl1a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Impact,0.002778685068188869,0.029867793297539916,0.08856750257537103,-28.384609890698584,0.0,0.0,0.0,0.0
Zfp521,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ss18,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Psma8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Taf4b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kctd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aqp4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdh2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dsc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dsg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
